Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Atlanta Falcons,23.0,221.0,0.0,9.6,40.0,905.0,0.0,22.6
Tampa Bay Buccaneers,24.0,128.0,0.0,5.3,25.0,583.0,0.0,23.3
Pittsburgh Steelers,28.0,269.0,0.0,9.6,29.0,717.0,0.0,24.7
New Orleans Saints,29.0,237.0,0.0,8.2,40.0,898.0,0.0,22.5
Dallas Cowboys,22.0,192.0,0.0,8.7,33.0,746.0,0.0,22.6
Philadelphia Eagles,25.0,202.0,1.0,8.1,38.0,712.0,0.0,18.7
Indianapolis Colts,17.0,139.0,0.0,8.2,39.0,825.0,0.0,21.2
Detroit Lions,35.0,210.0,0.0,6.0,23.0,494.0,0.0,21.5
Washington Redskins,27.0,222.0,0.0,8.2,25.0,534.0,1.0,21.4
Denver Broncos,40.0,271.0,0.0,6.8,26.0,526.0,1.0,20.2
Green Bay Packers,16.0,151.0,0.0,9.4,41.0,1080.0,1.0,26.3
Baltimore Ravens,33.0,375.0,1.0,11.4,27.0,559.0,0.0,20.7
San Diego Chargers,33.0,282.0,1.0,8.5,21.0,504.0,0.0,24.0
San Francisco 49ers,40.0,345.0,0.0,8.6,45.0,809.0,0.0,18.0
Arizona Cardinals,33.0,310.0,0.0,9.4,29.0,671.0,1.0,23.1
Tennessee Titans,36.0,347.0,2.0,9.6,21.0,462.0,0.0,22.0
Cleveland Browns,45.0,376.0,0.0,8.4,24.0,510.0,0.0,21.3
Seattle Seahawks,28.0,236.0,0.0,8.4,32.0,654.0,0.0,20.4
Carolina Panthers,40.0,383.0,1.0,9.6,23.0,417.0,0.0,18.1
Buffalo Bills,39.0,262.0,0.0,6.7,46.0,999.0,0.0,21.7
Oakland Raiders,33.0,405.0,1.0,12.3,45.0,896.0,0.0,19.9
Minnesota Vikings,26.0,209.0,0.0,8.0,38.0,980.0,1.0,25.8
Chicago Bears,22.0,282.0,1.0,12.8,36.0,777.0,0.0,21.6
Houston Texans,48.0,477.0,1.0,9.9,48.0,1135.0,1.0,23.6
New York Jets,35.0,319.0,0.0,9.1,29.0,665.0,1.0,22.9
Miami Dolphins,37.0,300.0,0.0,8.1,31.0,632.0,0.0,20.4
New England Patriots,27.0,134.0,0.0,5.0,40.0,771.0,0.0,19.3
New York Giants,37.0,302.0,0.0,8.2,32.0,730.0,0.0,22.8
Jacksonville Jaguars,31.0,389.0,1.0,12.5,13.0,273.0,0.0,21.0
Cincinnati Bengals,38.0,369.0,0.0,9.7,40.0,891.0,0.0,22.3
Kansas City Chiefs,30.0,157.0,0.0,5.2,35.0,843.0,0.0,24.1
Los Angeles Rams,35.0,152.0,0.0,4.3,22.0,430.0,0.0,19.5
Avg Team,31.6,270.4,0.3,8.6,32.4,707.1,0.2,21.8
