Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Miami Dolphins,17.0,138.0,0.0,8.1,66.0,1368.0,0.0,20.7
Denver Broncos,44.0,335.0,0.0,7.6,55.0,1181.0,0.0,21.5
San Francisco 49ers,30.0,190.0,0.0,6.3,78.0,1499.0,0.0,19.2
Houston Oilers,60.0,618.0,0.0,10.3,51.0,986.0,0.0,19.3
San Diego Chargers,43.0,399.0,0.0,9.3,72.0,1437.0,0.0,20.0
Los Angeles Rams,35.0,196.0,0.0,5.6,74.0,1288.0,0.0,17.4
Seattle Seahawks,32.0,205.0,1.0,6.4,67.0,1116.0,0.0,16.7
Kansas City Chiefs,60.0,461.0,0.0,7.7,64.0,1354.0,0.0,21.2
Philadelphia Eagles,58.0,486.0,0.0,8.4,69.0,1298.0,0.0,18.8
Cincinnati Bengals,38.0,310.0,0.0,8.2,69.0,1446.0,1.0,21.0
New York Jets,37.0,242.0,0.0,6.5,48.0,1030.0,0.0,21.5
Cleveland Browns,43.0,489.0,0.0,11.4,52.0,1159.0,0.0,22.3
Tampa Bay Buccaneers,36.0,310.0,0.0,8.6,67.0,1336.0,0.0,19.9
New Orleans Saints,47.0,550.0,1.0,11.7,45.0,916.0,0.0,20.4
Indianapolis Colts,62.0,600.0,0.0,9.7,42.0,849.0,0.0,20.2
Buffalo Bills,52.0,597.0,0.0,11.5,44.0,958.0,0.0,21.8
Detroit Lions,49.0,489.0,1.0,10.0,60.0,1250.0,0.0,20.8
New England Patriots,45.0,442.0,1.0,9.8,73.0,1373.0,0.0,18.8
Atlanta Falcons,42.0,450.0,1.0,10.7,48.0,1053.0,0.0,21.9
Chicago Bears,41.0,249.0,0.0,6.1,68.0,1443.0,1.0,21.2
Washington Redskins,38.0,187.0,0.0,4.9,73.0,1404.0,1.0,19.2
Pittsburgh Steelers,37.0,351.0,1.0,9.5,61.0,1338.0,1.0,21.9
Green Bay Packers,46.0,368.0,0.0,8.0,73.0,1171.0,0.0,16.0
New York Giants,50.0,479.0,2.0,9.6,55.0,1088.0,0.0,19.8
Dallas Cowboys,55.0,230.0,0.0,4.2,65.0,1310.0,0.0,20.2
Minnesota Vikings,49.0,435.0,0.0,8.9,59.0,1281.0,0.0,21.7
St. Louis Cardinals,27.0,239.0,0.0,8.9,85.0,1549.0,1.0,18.2
Los Angeles Raiders,34.0,345.0,0.0,10.1,61.0,1063.0,0.0,17.4
Avg Team,43.1,372.0,0.3,8.6,62.3,1233.7,0.2,19.8
