Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
San Diego Chargers,44.0,432.0,0.0,9.8,32.0,880.0,0.0,27.5
Tampa Bay Buccaneers,27.0,140.0,0.0,5.2,35.0,882.0,0.0,25.2
Carolina Panthers,37.0,288.0,1.0,7.8,34.0,905.0,1.0,26.6
Atlanta Falcons,28.0,272.0,0.0,9.7,22.0,599.0,0.0,27.2
Denver Broncos,36.0,247.0,0.0,6.9,25.0,508.0,0.0,20.3
Pittsburgh Steelers,19.0,165.0,0.0,8.7,54.0,1201.0,0.0,22.2
New Orleans Saints,26.0,215.0,0.0,8.3,37.0,981.0,0.0,26.5
Dallas Cowboys,24.0,162.0,0.0,6.8,23.0,549.0,1.0,23.9
Jacksonville Jaguars,45.0,462.0,0.0,10.3,23.0,553.0,0.0,24.0
Chicago Bears,30.0,229.0,1.0,7.6,39.0,983.0,2.0,25.2
Philadelphia Eagles,42.0,215.0,0.0,5.1,34.0,705.0,0.0,20.7
Green Bay Packers,41.0,174.0,0.0,4.2,37.0,988.0,0.0,26.7
Houston Texans,60.0,612.0,0.0,10.2,40.0,977.0,0.0,24.4
Cleveland Browns,37.0,381.0,1.0,10.3,42.0,894.0,0.0,21.3
Arizona Cardinals,25.0,295.0,0.0,11.8,49.0,1191.0,0.0,24.3
Tennessee Titans,47.0,605.0,1.0,12.9,22.0,599.0,0.0,27.2
San Francisco 49ers,44.0,283.0,0.0,6.4,23.0,591.0,0.0,25.7
New England Patriots,39.0,347.0,1.0,8.9,29.0,533.0,0.0,18.4
Washington Redskins,30.0,258.0,1.0,8.6,29.0,582.0,0.0,20.1
Buffalo Bills,40.0,353.0,0.0,8.8,40.0,688.0,0.0,17.2
Baltimore Ravens,35.0,176.0,0.0,5.0,9.0,229.0,0.0,25.4
St. Louis Rams,40.0,289.0,1.0,7.2,27.0,605.0,0.0,22.4
Detroit Lions,43.0,263.0,0.0,6.1,33.0,814.0,0.0,24.7
New York Giants,30.0,300.0,0.0,10.0,54.0,1095.0,1.0,20.3
Seattle Seahawks,29.0,382.0,1.0,13.2,42.0,1073.0,1.0,25.5
Minnesota Vikings,29.0,152.0,0.0,5.2,40.0,1043.0,0.0,26.1
Cincinnati Bengals,32.0,203.0,0.0,6.3,46.0,1041.0,0.0,22.6
Kansas City Chiefs,26.0,170.0,0.0,6.5,46.0,1137.0,0.0,24.7
Indianapolis Colts,36.0,386.0,3.0,10.7,8.0,156.0,0.0,19.5
Miami Dolphins,50.0,526.0,0.0,10.5,23.0,508.0,0.0,22.1
New York Jets,37.0,470.0,2.0,12.7,49.0,1168.0,0.0,23.8
Oakland Raiders,30.0,201.0,0.0,6.7,35.0,795.0,1.0,22.7
Avg Team,35.6,301.7,0.4,8.5,33.8,795.2,0.2,23.5
