Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
San Francisco 49ers,49.0,373.0,0.0,7.6,71.0,1598.0,1.0,22.5
Buffalo Bills,32.0,260.0,0.0,8.1,56.0,1157.0,0.0,20.7
Minnesota Vikings,40.0,356.0,0.0,8.9,79.0,1532.0,0.0,19.4
New York Giants,41.0,386.0,0.0,9.4,70.0,1362.0,0.0,19.5
Kansas City Chiefs,52.0,572.0,1.0,11.0,71.0,1278.0,0.0,18.0
Cincinnati Bengals,19.0,182.0,0.0,9.6,80.0,1611.0,1.0,20.1
Philadelphia Eagles,63.0,634.0,2.0,10.1,62.0,1261.0,0.0,20.3
Atlanta Falcons,47.0,477.0,3.0,10.1,59.0,1190.0,0.0,20.2
New England Patriots,60.0,565.0,0.0,9.4,81.0,1480.0,0.0,18.3
Los Angeles Rams,47.0,416.0,0.0,8.9,64.0,1282.0,0.0,20.0
Tampa Bay Buccaneers,39.0,414.0,3.0,10.6,46.0,1009.0,1.0,21.9
Denver Broncos,40.0,362.0,0.0,9.1,65.0,1299.0,0.0,20.0
Pittsburgh Steelers,34.0,364.0,0.0,10.7,56.0,1362.0,3.0,24.3
Houston Oilers,40.0,303.0,0.0,7.6,32.0,695.0,0.0,21.7
New York Jets,36.0,165.0,0.0,4.6,62.0,1307.0,0.0,21.1
San Diego Chargers,43.0,370.0,1.0,8.6,60.0,1088.0,0.0,18.1
New Orleans Saints,37.0,234.0,0.0,6.3,35.0,662.0,0.0,18.9
Cleveland Browns,44.0,268.0,0.0,6.1,78.0,1476.0,1.0,18.9
Seattle Seahawks,38.0,298.0,0.0,7.8,59.0,1002.0,0.0,17.0
Miami Dolphins,23.0,200.0,0.0,8.7,53.0,997.0,0.0,18.8
Dallas Cowboys,41.0,301.0,0.0,7.3,66.0,1358.0,0.0,20.6
Chicago Bears,23.0,110.0,0.0,4.8,64.0,1376.0,0.0,21.5
Green Bay Packers,44.0,287.0,0.0,6.5,62.0,1181.0,0.0,19.0
Indianapolis Colts,52.0,533.0,1.0,10.3,43.0,827.0,0.0,19.2
Detroit Lions,39.0,517.0,2.0,13.3,56.0,1096.0,0.0,19.6
Washington Redskins,36.0,220.0,0.0,6.1,50.0,1005.0,0.0,20.1
St. Louis Cardinals,44.0,296.0,0.0,6.7,50.0,886.0,0.0,17.7
Los Angeles Raiders,42.0,357.0,1.0,8.5,63.0,1064.0,0.0,16.9
Avg Team,40.9,350.7,0.5,8.6,60.5,1194.3,0.3,19.8
