Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Indianapolis Colts,25.0,327.0,1.0,13.1,78.0,2029.0,2.0,26.0
Denver Broncos,39.0,268.0,0.0,6.9,55.0,1480.0,0.0,26.9
New York Jets,28.0,205.0,0.0,7.3,69.0,1462.0,0.0,21.2
Pittsburgh Steelers,38.0,219.0,0.0,5.8,70.0,1570.0,1.0,22.4
Baltimore Ravens,44.0,404.0,0.0,9.2,75.0,1636.0,0.0,21.8
Miami Dolphins,49.0,367.0,0.0,7.5,40.0,981.0,0.0,24.5
Jacksonville Jaguars,29.0,343.0,2.0,11.8,60.0,1262.0,0.0,21.0
Houston Texans,36.0,275.0,1.0,7.6,52.0,1215.0,1.0,23.4
Philadelphia Eagles,41.0,380.0,1.0,9.3,71.0,1647.0,0.0,23.2
New England Patriots,29.0,322.0,2.0,11.1,68.0,1547.0,0.0,22.8
St. Louis Rams,27.0,247.0,1.0,9.1,69.0,1701.0,2.0,24.7
Cincinnati Bengals,42.0,236.0,0.0,5.6,70.0,1472.0,0.0,21.0
Kansas City Chiefs,32.0,254.0,0.0,7.9,71.0,1646.0,0.0,23.2
Arizona Cardinals,44.0,547.0,1.0,12.4,58.0,1481.0,0.0,25.5
San Diego Chargers,27.0,216.0,0.0,8.0,90.0,1960.0,0.0,21.8
Buffalo Bills,36.0,265.0,0.0,7.4,60.0,1279.0,0.0,21.3
New York Giants,33.0,191.0,0.0,5.8,65.0,1455.0,0.0,22.4
Dallas Cowboys,31.0,334.0,0.0,10.8,80.0,1571.0,1.0,19.6
Minnesota Vikings,50.0,485.0,1.0,9.7,59.0,1369.0,1.0,23.2
Atlanta Falcons,25.0,279.0,0.0,11.2,53.0,1093.0,0.0,20.6
Cleveland Browns,43.0,312.0,0.0,7.3,48.0,1053.0,1.0,21.9
San Francisco 49ers,35.0,462.0,1.0,13.2,65.0,1373.0,0.0,21.1
Oakland Raiders,34.0,437.0,0.0,12.9,42.0,1200.0,0.0,28.6
Detroit Lions,38.0,267.0,1.0,7.0,63.0,1444.0,0.0,22.9
Chicago Bears,38.0,367.0,0.0,9.7,83.0,1730.0,0.0,20.8
Carolina Panthers,61.0,390.0,1.0,6.4,59.0,1302.0,0.0,22.1
New Orleans Saints,40.0,270.0,0.0,6.8,72.0,1598.0,0.0,22.2
Washington Redskins,45.0,319.0,0.0,7.1,67.0,1396.0,0.0,20.8
Tampa Bay Buccaneers,50.0,487.0,1.0,9.7,46.0,846.0,0.0,18.4
Tennessee Titans,33.0,278.0,0.0,8.4,58.0,1263.0,0.0,21.8
Seattle Seahawks,39.0,343.0,0.0,8.8,61.0,1499.0,0.0,24.6
Green Bay Packers,55.0,503.0,1.0,9.1,60.0,1348.0,0.0,22.5
Avg Team,38.0,332.0,0.5,8.7,63.7,1434.6,0.3,22.5
