Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Indianapolis Colts,22.0,305.0,1.0,13.9,81.0,2029.0,3.0,25.0
San Diego Chargers,29.0,311.0,0.0,10.7,75.0,1566.0,0.0,20.9
Denver Broncos,31.0,334.0,2.0,10.8,62.0,1424.0,1.0,23.0
Jacksonville Jaguars,28.0,218.0,0.0,7.8,67.0,1323.0,2.0,19.7
Dallas Cowboys,35.0,406.0,1.0,11.6,86.0,1979.0,1.0,23.0
Minnesota Vikings,43.0,440.0,1.0,10.2,65.0,1441.0,0.0,22.2
New England Patriots,14.0,75.0,0.0,5.4,92.0,2030.0,1.0,22.1
Detroit Lions,36.0,434.0,0.0,12.1,65.0,1750.0,2.0,26.9
Pittsburgh Steelers,31.0,266.0,1.0,8.6,73.0,1647.0,1.0,22.6
Carolina Panthers,55.0,579.0,1.0,10.5,56.0,1333.0,0.0,23.8
New York Jets,32.0,268.0,0.0,8.4,51.0,1270.0,1.0,24.9
Tennessee Titans,31.0,274.0,1.0,8.8,58.0,1404.0,0.0,24.2
New Orleans Saints,35.0,335.0,1.0,9.6,56.0,1256.0,1.0,22.4
Tampa Bay Buccaneers,38.0,280.0,0.0,7.4,68.0,1328.0,1.0,19.5
Cincinnati Bengals,33.0,299.0,1.0,9.1,76.0,1732.0,0.0,22.8
Baltimore Ravens,38.0,375.0,0.0,9.9,61.0,1444.0,0.0,23.7
Buffalo Bills,37.0,196.0,0.0,5.3,56.0,1150.0,1.0,20.5
Miami Dolphins,39.0,387.0,0.0,9.9,50.0,1292.0,2.0,25.8
Cleveland Browns,34.0,308.0,1.0,9.1,76.0,1590.0,0.0,20.9
Washington Redskins,32.0,202.0,0.0,6.3,66.0,1289.0,1.0,19.5
Kansas City Chiefs,50.0,387.0,1.0,7.7,51.0,1105.0,0.0,21.7
Houston Texans,19.0,151.0,0.0,7.9,69.0,1593.0,0.0,23.1
Atlanta Falcons,41.0,307.0,0.0,7.5,50.0,1148.0,1.0,23.0
New York Giants,28.0,173.0,0.0,6.2,69.0,1596.0,1.0,23.1
Green Bay Packers,19.0,113.0,0.0,5.9,77.0,1610.0,0.0,20.9
Seattle Seahawks,37.0,362.0,0.0,9.8,72.0,1790.0,0.0,24.9
Chicago Bears,40.0,236.0,0.0,5.9,71.0,1370.0,1.0,19.3
St. Louis Rams,48.0,396.0,0.0,8.3,58.0,1578.0,2.0,27.2
Philadelphia Eagles,36.0,409.0,1.0,11.4,69.0,1536.0,0.0,22.3
Oakland Raiders,40.0,389.0,2.0,9.7,43.0,963.0,1.0,22.4
Arizona Cardinals,38.0,496.0,1.0,13.1,60.0,1389.0,0.0,23.2
San Francisco 49ers,53.0,402.0,1.0,7.6,45.0,982.0,1.0,21.8
Avg Team,35.1,319.1,0.5,9.1,64.8,1466.8,0.8,22.6
