Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Atlanta Falcons,2.0,1.0,7.0,7.0,12.0,8.0,11.0,5.0,1.0,0.0,33.0,21.0,63.6,51.0,51.0,100.0,88,3584.0,1.0,40.7
Chicago Bears,1.0,0.0,10.0,7.0,5.0,3.0,7.0,2.0,0.0,0.0,23.0,12.0,52.2,31.0,29.0,93.5,114,4531.0,0.0,39.7
New York Giants,1.0,1.0,9.0,7.0,9.0,7.0,11.0,6.0,8.0,3.0,38.0,24.0,63.2,31.0,31.0,100.0,97,4198.0,0.0,43.3
San Francisco 49ers,2.0,2.0,9.0,7.0,8.0,4.0,10.0,6.0,0.0,0.0,29.0,19.0,65.5,42.0,42.0,100.0,93,3858.0,0.0,41.5
Cincinnati Bengals,0.0,0.0,11.0,9.0,9.0,7.0,11.0,5.0,1.0,1.0,32.0,22.0,68.8,51.0,49.0,96.1,73,3317.0,1.0,45.4
New York Jets,0.0,0.0,13.0,11.0,8.0,6.0,12.0,8.0,3.0,0.0,36.0,25.0,69.4,39.0,38.0,97.4,81,3290.0,0.0,40.6
Dallas Cowboys,1.0,1.0,11.0,11.0,9.0,8.0,12.0,7.0,2.0,0.0,35.0,27.0,77.1,40.0,40.0,100.0,81,3284.0,0.0,40.5
Oakland Raiders,0.0,0.0,8.0,6.0,4.0,2.0,7.0,3.0,5.0,3.0,24.0,14.0,58.3,33.0,27.0,81.8,98,4238.0,0.0,43.2
Denver Broncos,0.0,0.0,9.0,6.0,11.0,5.0,8.0,6.0,2.0,0.0,30.0,17.0,56.7,37.0,36.0,97.3,86,3478.0,0.0,40.4
Miami Dolphins,0.0,0.0,9.0,9.0,12.0,11.0,10.0,4.0,0.0,0.0,31.0,24.0,77.4,38.0,37.0,97.4,83,3386.0,0.0,40.8
Los Angeles Rams,0.0,0.0,9.0,6.0,6.0,5.0,11.0,6.0,0.0,0.0,26.0,17.0,65.4,36.0,36.0,100.0,89,3735.0,0.0,42.0
San Diego Chargers,2.0,2.0,7.0,7.0,8.0,5.0,4.0,3.0,5.0,2.0,26.0,19.0,73.1,61.0,55.0,90.2,63,2581.0,1.0,41.0
Minnesota Vikings,1.0,1.0,6.0,5.0,12.0,11.0,6.0,4.0,0.0,0.0,25.0,21.0,84.0,37.0,34.0,91.9,88,3646.0,0.0,41.4
Tampa Bay Buccaneers,0.0,0.0,7.0,5.0,6.0,4.0,13.0,6.0,2.0,2.0,28.0,17.0,60.7,38.0,36.0,94.7,82,3459.0,2.0,42.2
Pittsburgh Steelers,3.0,3.0,6.0,5.0,2.0,1.0,5.0,3.0,1.0,0.0,17.0,12.0,70.6,46.0,38.0,82.6,84,3641.0,0.0,43.3
Detroit Lions,1.0,1.0,5.0,5.0,14.0,9.0,11.0,7.0,4.0,3.0,35.0,25.0,71.4,46.0,46.0,100.0,64,2784.0,0.0,43.5
Washington Redskins,1.0,1.0,8.0,7.0,8.0,6.0,12.0,5.0,1.0,0.0,30.0,19.0,63.3,42.0,38.0,90.5,73,2923.0,0.0,40.0
Kansas City Chiefs,0.0,0.0,5.0,5.0,15.0,13.0,9.0,7.0,7.0,1.0,36.0,26.0,72.2,38.0,37.0,97.4,70,2697.0,0.0,38.5
Green Bay Packers,2.0,2.0,8.0,7.0,9.0,9.0,3.0,2.0,2.0,2.0,24.0,22.0,91.7,36.0,36.0,100.0,84,3411.0,2.0,40.6
Buffalo Bills,0.0,0.0,6.0,4.0,7.0,5.0,10.0,5.0,1.0,0.0,24.0,14.0,58.3,37.0,37.0,100.0,80,3175.0,0.0,39.7
St. Louis Cardinals,2.0,2.0,8.0,8.0,6.0,4.0,11.0,5.0,5.0,0.0,32.0,19.0,59.4,37.0,36.0,97.3,69,2883.0,0.0,41.8
New England Patriots,0.0,0.0,7.0,7.0,6.0,2.0,7.0,5.0,4.0,1.0,24.0,15.0,62.5,39.0,37.0,94.9,75,2951.0,0.0,39.3
Philadelphia Eagles,0.0,0.0,5.0,5.0,9.0,7.0,13.0,7.0,4.0,1.0,31.0,20.0,64.5,43.0,42.0,97.7,64,2580.0,0.0,40.3
Cleveland Browns,3.0,3.0,8.0,7.0,15.0,7.0,3.0,0.0,4.0,0.0,33.0,17.0,51.5,32.0,31.0,96.9,70,2969.0,2.0,42.4
Houston Oilers,0.0,0.0,4.0,3.0,4.0,4.0,13.0,7.0,1.0,1.0,22.0,15.0,68.2,34.0,32.0,94.1,79,3137.0,0.0,39.7
Seattle Seahawks,0.0,0.0,10.0,9.0,3.0,3.0,9.0,2.0,2.0,1.0,24.0,15.0,62.5,40.0,37.0,92.5,68,2652.0,0.0,39.0
Baltimore Colts,2.0,2.0,3.0,2.0,5.0,3.0,7.0,3.0,1.0,0.0,18.0,10.0,55.6,33.0,29.0,87.9,78,3071.0,0.0,39.4
New Orleans Saints,0.0,0.0,5.0,5.0,9.0,3.0,10.0,5.0,1.0,0.0,25.0,13.0,52.0,24.0,24.0,100.0,66,2672.0,0.0,40.5
Avg Team,0.9,0.8,7.6,6.5,8.3,5.8,9.1,4.8,2.4,0.8,28.3,18.6,65.9,39.0,37.2,95.3,80,3290.4,0.3,41.1
