Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Tampa Bay Buccaneers,0.0,0.0,8.0,7.0,15.0,14.0,10.0,6.0,6.0,5.0,39.0,32.0,82.1,32.0,32.0,100.0,91.0,3879.0,0.0,42.6
Houston Texans,1.0,0.0,3.0,3.0,1.0,1.0,14.0,11.0,5.0,2.0,24.0,17.0,70.8,20.0,20.0,100.0,116.0,4803.0,2.0,41.4
Carolina Panthers,1.0,1.0,6.0,4.0,4.0,2.0,11.0,6.0,3.0,2.0,25.0,15.0,60.0,29.0,29.0,100.0,105.0,4781.0,1.0,45.5
Green Bay Packers,1.0,1.0,9.0,8.0,13.0,12.0,10.0,7.0,1.0,0.0,34.0,28.0,82.4,44.0,44.0,100.0,79.0,3296.0,0.0,41.7
Dallas Cowboys,0.0,0.0,3.0,3.0,7.0,5.0,8.0,4.0,1.0,0.0,19.0,12.0,63.2,25.0,25.0,100.0,113.0,4609.0,1.0,40.8
Philadelphia Eagles,0.0,0.0,9.0,9.0,16.0,14.0,7.0,6.0,2.0,1.0,34.0,30.0,88.2,43.0,43.0,100.0,79.0,3197.0,0.0,40.5
San Diego Chargers,0.0,0.0,8.0,8.0,6.0,5.0,9.0,4.0,3.0,1.0,26.0,18.0,69.2,36.0,35.0,97.2,89.0,3621.0,2.0,40.7
Atlanta Falcons,0.0,0.0,10.0,8.0,14.0,12.0,13.0,11.0,3.0,1.0,40.0,32.0,80.0,43.0,42.0,97.7,67.0,2804.0,0.0,41.9
Detroit Lions,0.0,0.0,8.0,8.0,9.0,8.0,8.0,7.0,3.0,0.0,28.0,23.0,82.1,31.0,31.0,100.0,91.0,3838.0,0.0,42.2
Kansas City Chiefs,0.0,0.0,6.0,6.0,11.0,11.0,9.0,5.0,1.0,1.0,27.0,23.0,85.2,54.0,54.0,100.0,65.0,2460.0,1.0,37.8
Cleveland Browns,0.0,0.0,10.0,9.0,8.0,6.0,7.0,5.0,3.0,2.0,28.0,22.0,78.6,35.0,34.0,97.1,83.0,3424.0,0.0,41.3
Chicago Bears,0.0,0.0,4.0,4.0,6.0,5.0,10.0,8.0,8.0,5.0,28.0,22.0,78.6,29.0,29.0,100.0,87.0,3679.0,0.0,42.3
Baltimore Ravens,0.0,0.0,9.0,9.0,5.0,4.0,10.0,7.0,1.0,1.0,26.0,21.0,80.8,33.0,33.0,100.0,84.0,3484.0,2.0,41.5
Miami Dolphins,0.0,0.0,14.0,13.0,3.0,2.0,11.0,7.0,3.0,2.0,31.0,24.0,77.4,43.0,42.0,97.7,69.0,2772.0,0.0,40.2
Oakland Raiders,0.0,0.0,11.0,10.0,8.0,7.0,12.0,7.0,2.0,2.0,33.0,26.0,78.8,50.0,50.0,100.0,59.0,2505.0,1.0,42.5
Jacksonville Jaguars,0.0,0.0,11.0,11.0,8.0,6.0,6.0,2.0,2.0,0.0,27.0,19.0,70.4,33.0,33.0,100.0,81.0,3583.0,0.0,44.2
New Orleans Saints,0.0,0.0,9.0,9.0,13.0,11.0,12.0,11.0,1.0,0.0,35.0,31.0,88.6,37.0,37.0,100.0,69.0,2860.0,0.0,41.4
Buffalo Bills,0.0,0.0,8.0,7.0,10.0,8.0,10.0,7.0,5.0,3.0,33.0,25.0,75.8,40.0,40.0,100.0,67.0,2887.0,1.0,43.1
Pittsburgh Steelers,1.0,1.0,8.0,7.0,15.0,11.0,14.0,9.0,2.0,1.0,40.0,29.0,72.5,37.0,35.0,94.6,63.0,2625.0,1.0,41.7
