Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Denver Broncos,2.0,2.0,9.0,7.0,11.0,6.0,11.0,8.0,5.0,0.0,38.0,23.0,60.5,44.0,41.0,93.2,94.0,3846.0,2.0,40.9
New England Patriots,1.0,1.0,9.0,7.0,9.0,9.0,9.0,5.0,2.0,2.0,30.0,24.0,80.0,41.0,40.0,97.6,92.0,3953.0,0.0,43.0
Los Angeles Raiders,0.0,0.0,9.0,9.0,10.0,7.0,12.0,3.0,1.0,1.0,32.0,20.0,62.5,42.0,40.0,95.2,89.0,3627.0,0.0,40.8
Pittsburgh Steelers,1.0,1.0,13.0,12.0,15.0,14.0,9.0,5.0,4.0,1.0,42.0,33.0,78.6,40.0,40.0,100.0,79.0,3128.0,1.0,39.6
New York Giants,1.0,1.0,9.0,6.0,9.0,7.0,12.0,7.0,2.0,1.0,33.0,22.0,66.7,47.0,45.0,95.7,81.0,3472.0,0.0,42.9
San Francisco 49ers,0.0,0.0,7.0,5.0,8.0,5.0,5.0,3.0,1.0,0.0,21.0,13.0,61.9,53.0,52.0,98.1,87.0,3462.0,1.0,39.8
Seattle Seahawks,0.0,0.0,5.0,5.0,9.0,7.0,8.0,1.0,3.0,1.0,25.0,14.0,56.0,41.0,41.0,100.0,91.0,3667.0,0.0,40.3
Chicago Bears,2.0,2.0,13.0,13.0,14.0,13.0,6.0,3.0,2.0,0.0,37.0,31.0,83.8,51.0,51.0,100.0,69.0,2912.0,1.0,42.2
Kansas City Chiefs,0.0,0.0,4.0,4.0,11.0,10.0,7.0,7.0,5.0,3.0,27.0,24.0,88.9,35.0,35.0,100.0,95.0,3909.0,2.0,41.1
Los Angeles Rams,0.0,0.0,5.0,5.0,12.0,9.0,8.0,6.0,4.0,2.0,29.0,22.0,75.9,39.0,38.0,97.4,88.0,3804.0,1.0,43.2
Dallas Cowboys,1.0,1.0,5.0,5.0,11.0,8.0,9.0,4.0,2.0,1.0,28.0,19.0,67.9,43.0,42.0,97.7,83.0,3481.0,1.0,41.9
New York Jets,2.0,2.0,11.0,11.0,8.0,6.0,8.0,4.0,5.0,3.0,34.0,26.0,76.5,45.0,43.0,95.6,74.0,2978.0,0.0,40.2
San Diego Chargers,1.0,1.0,8.0,8.0,10.0,6.0,7.0,3.0,2.0,0.0,28.0,18.0,64.3,57.0,53.0,93.0,68.0,2881.0,0.0,42.4
New Orleans Saints,0.0,0.0,5.0,4.0,14.0,13.0,12.0,11.0,4.0,3.0,35.0,31.0,88.6,29.0,27.0,93.1,89.0,3763.0,0.0,42.3
Philadelphia Eagles,0.0,0.0,6.0,6.0,11.0,11.0,8.0,6.0,5.0,2.0,30.0,25.0,83.3,29.0,29.0,100.0,91.0,3777.0,0.0,41.5
Atlanta Falcons,0.0,0.0,9.0,7.0,10.0,8.0,11.0,8.0,1.0,1.0,31.0,24.0,77.4,29.0,30.0,103.4,89.0,3757.0,0.0,42.2
St. Louis Cardinals,1.0,1.0,5.0,3.0,8.0,5.0,10.0,4.0,4.0,0.0,28.0,13.0,46.4,34.0,33.0,97.1,87.0,3628.0,2.0,41.7
Green Bay Packers,0.0,0.0,12.0,10.0,4.0,4.0,9.0,5.0,1.0,0.0,26.0,19.0,73.1,40.0,38.0,95.0,82.0,3262.0,0.0,39.8
Cincinnati Bengals,0.0,0.0,8.0,7.0,13.0,12.0,6.0,4.0,6.0,1.0,33.0,24.0,72.7,50.0,49.0,98.0,63.0,2604.0,1.0,41.3
Indianapolis Colts,0.0,0.0,11.0,9.0,6.0,5.0,6.0,2.0,3.0,0.0,26.0,16.0,61.5,39.0,36.0,92.3,80.0,3676.0,2.0,46.0
Tampa Bay Buccaneers,1.0,1.0,5.0,5.0,10.0,8.0,10.0,5.0,6.0,3.0,32.0,22.0,68.8,32.0,30.0,93.8,79.0,3317.0,2.0,42.0
Houston Oilers,0.0,0.0,7.0,6.0,11.0,8.0,6.0,4.0,3.0,3.0,27.0,21.0,77.8,31.0,29.0,93.5,84.0,3490.0,0.0,41.5
Washington Redskins,0.0,0.0,8.0,7.0,13.0,8.0,13.0,7.0,1.0,0.0,35.0,22.0,62.9,33.0,31.0,93.9,73.0,2973.0,0.0,40.7
Miami Dolphins,0.0,0.0,9.0,8.0,6.0,5.0,9.0,9.0,3.0,0.0,27.0,22.0,81.5,52.0,50.0,96.2,59.0,2576.0,0.0,43.7
Detroit Lions,2.0,2.0,8.0,5.0,11.0,11.0,7.0,6.0,3.0,2.0,31.0,26.0,83.9,33.0,31.0,93.9,73.0,3054.0,0.0,41.8
Minnesota Vikings,2.0,1.0,11.0,10.0,7.0,3.0,5.0,1.0,1.0,0.0,26.0,15.0,57.7,43.0,41.0,95.3,67.0,2867.0,0.0,42.8
Cleveland Browns,1.0,1.0,2.0,2.0,9.0,8.0,5.0,3.0,1.0,0.0,18.0,14.0,77.8,35.0,35.0,100.0,81.0,3261.0,0.0,40.3
Buffalo Bills,0.0,0.0,8.0,7.0,4.0,2.0,5.0,4.0,0.0,0.0,17.0,13.0,76.5,23.0,23.0,100.0,92.0,3818.0,0.0,41.5
Avg Team,0.6,0.6,7.9,6.9,9.8,7.8,8.3,4.9,2.9,1.1,29.5,21.3,72.2,39.6,38.3,96.7,81.4,3390.8,0.6,41.7
