Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Los Angeles Raiders,1.0,1.0,3.0,2.0,5.0,4.0,5.0,3.0,2.0,0.0,16.0,10.0,62.5,33.0,32.0,97.0,47.0,1839.0,0.0,39.1
Minnesota Vikings,0.0,0.0,5.0,4.0,2.0,1.0,6.0,3.0,1.0,0.0,14.0,8.0,57.1,23.0,23.0,100.0,58.0,2384.0,0.0,41.1
Chicago Bears,2.0,2.0,0.0,0.0,6.0,1.0,7.0,5.0,5.0,1.0,20.0,9.0,45.0,16.0,16.0,100.0,59.0,2453.0,0.0,41.6
Washington Redskins,1.0,1.0,6.0,6.0,8.0,8.0,6.0,5.0,0.0,0.0,21.0,20.0,95.2,19.0,16.0,84.2,52.0,1975.0,1.0,38.0
New York Giants,0.0,0.0,5.0,5.0,7.0,5.0,8.0,2.0,1.0,0.0,21.0,12.0,57.1,18.0,18.0,100.0,49.0,2096.0,0.0,42.8
San Francisco 49ers,0.0,0.0,3.0,1.0,6.0,5.0,7.0,6.0,1.0,0.0,17.0,12.0,70.6,25.0,23.0,92.0,45.0,1714.0,1.0,38.1
Green Bay Packers,1.0,1.0,5.0,4.0,5.0,5.0,6.0,3.0,1.0,0.0,18.0,13.0,72.2,27.0,25.0,92.6,42.0,1687.0,0.0,40.2
Los Angeles Rams,0.0,0.0,5.0,4.0,8.0,5.0,0.0,0.0,2.0,0.0,15.0,9.0,60.0,24.0,23.0,95.8,46.0,2005.0,1.0,43.6
New York Jets,1.0,1.0,5.0,3.0,5.0,4.0,6.0,3.0,0.0,0.0,17.0,11.0,64.7,31.0,26.0,83.9,36.0,1387.0,1.0,38.5
Detroit Lions,0.0,0.0,6.0,6.0,5.0,5.0,6.0,5.0,0.0,0.0,17.0,16.0,94.1,19.0,19.0,100.0,48.0,1964.0,0.0,40.9
Pittsburgh Steelers,0.0,0.0,4.0,4.0,2.0,1.0,5.0,5.0,1.0,0.0,12.0,10.0,83.3,22.0,22.0,100.0,49.0,1981.0,0.0,40.4
St. Louis Cardinals,1.0,1.0,3.0,2.0,3.0,3.0,6.0,2.0,0.0,0.0,13.0,8.0,61.5,16.0,15.0,93.8,54.0,2365.0,0.0,43.8
Cleveland Browns,1.0,1.0,4.0,3.0,3.0,1.0,7.0,2.0,1.0,0.0,16.0,7.0,43.8,17.0,17.0,100.0,49.0,1916.0,1.0,39.1
Houston Oilers,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,6.0,4.0,66.7,18.0,16.0,88.9,55.0,2186.0,0.0,39.7
San Diego Chargers,2.0,2.0,7.0,6.0,1.0,0.0,7.0,7.0,5.0,1.0,22.0,16.0,72.7,34.0,32.0,94.1,23.0,951.0,2.0,41.3
New England Patriots,1.0,0.0,5.0,5.0,4.0,2.0,3.0,1.0,0.0,0.0,13.0,8.0,61.5,17.0,15.0,88.2,49.0,2140.0,0.0,43.7
Atlanta Falcons,0.0,0.0,6.0,6.0,3.0,1.0,3.0,2.0,2.0,2.0,14.0,10.0,71.4,22.0,21.0,95.5,43.0,1690.0,0.0,39.3
Kansas City Chiefs,2.0,2.0,4.0,4.0,5.0,5.0,10.0,8.0,3.0,0.0,24.0,19.0,79.2,17.0,17.0,100.0,38.0,1540.0,0.0,40.5
Dallas Cowboys,1.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,14.0,10.0,71.4,28.0,28.0,100.0,37.0,1542.0,0.0,41.7
Philadelphia Eagles,0.0,0.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,0.0,9.0,6.0,66.7,25.0,23.0,92.0,44.0,1784.0,0.0,40.5
Miami Dolphins,0.0,0.0,9.0,8.0,5.0,4.0,2.0,3.0,1.0,0.0,20.0,15.0,75.0,22.0,21.0,95.5,35.0,1353.0,0.0,38.7
Tampa Bay Buccaneers,0.0,0.0,11.0,10.0,6.0,5.0,3.0,1.0,3.0,2.0,23.0,18.0,78.3,14.0,14.0,100.0,40.0,1662.0,1.0,41.6
Seattle Seahawks,0.0,0.0,4.0,3.0,6.0,5.0,3.0,2.0,1.0,0.0,14.0,10.0,71.4,14.0,13.0,92.9,49.0,1889.0,0.0,38.6
Cincinnati Bengals,2.0,2.0,3.0,3.0,6.0,5.0,5.0,3.0,2.0,1.0,18.0,14.0,77.8,26.0,26.0,100.0,31.0,1201.0,0.0,38.7
Baltimore Colts,0.0,0.0,2.0,1.0,8.0,3.0,6.0,4.0,2.0,2.0,18.0,10.0,55.6,11.0,11.0,100.0,46.0,2044.0,0.0,44.4
New Orleans Saints,1.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0,13.0,6.0,46.2,16.0,15.0,93.8,46.0,1976.0,0.0,43.0
Denver Broncos,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,0.0,13.0,11.0,84.6,16.0,15.0,93.8,45.0,2026.0,0.0,45.0
Buffalo Bills,1.0,1.0,4.0,2.0,4.0,2.0,9.0,4.0,0.0,0.0,18.0,9.0,50.0,17.0,15.0,88.2,35.0,1328.0,0.0,37.9
Avg Team,0.7,0.7,4.3,3.6,4.5,3.3,5.2,3.3,1.4,0.4,16.3,11.1,68.2,21.0,19.9,94.9,44.6,1824.2,0.3,40.9
