Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
New Orleans Saints,0.0,0.0,6.0,6.0,13.0,11.0,9.0,6.0,4.0,2.0,32.0,25.0,78.1,38.0,38.0,100.0,87.0,3787.0,1.0,43.5
Washington Redskins,0.0,0.0,9.0,9.0,12.0,10.0,17.0,10.0,5.0,2.0,43.0,31.0,72.1,56.0,56.0,100.0,55.0,2189.0,3.0,39.8
Philadelphia Eagles,2.0,2.0,8.0,8.0,10.0,9.0,10.0,8.0,3.0,1.0,33.0,28.0,84.8,29.0,27.0,93.1,88.0,3682.0,1.0,41.8
Atlanta Falcons,0.0,0.0,12.0,11.0,4.0,4.0,8.0,5.0,2.0,1.0,26.0,21.0,80.8,41.0,40.0,97.6,82.0,3491.0,0.0,42.6
Detroit Lions,1.0,1.0,4.0,3.0,10.0,8.0,9.0,5.0,4.0,2.0,28.0,19.0,67.9,40.0,40.0,100.0,75.0,3092.0,0.0,41.2
Denver Broncos,5.0,5.0,10.0,10.0,12.0,9.0,9.0,3.0,0.0,0.0,36.0,27.0,75.0,32.0,31.0,96.9,74.0,3088.0,1.0,41.7
Green Bay Packers,0.0,0.0,9.0,9.0,5.0,4.0,9.0,4.0,1.0,1.0,24.0,18.0,75.0,31.0,31.0,100.0,86.0,3473.0,0.0,40.4
Buffalo Bills,1.0,1.0,8.0,7.0,7.0,3.0,9.0,5.0,4.0,2.0,29.0,18.0,62.1,58.0,56.0,96.6,54.0,2085.0,0.0,38.6
Pittsburgh Steelers,0.0,0.0,10.0,8.0,11.0,9.0,6.0,5.0,6.0,1.0,33.0,23.0,69.7,31.0,31.0,100.0,75.0,3036.0,1.0,40.5
New York Jets,3.0,3.0,19.0,15.0,12.0,10.0,7.0,2.0,2.0,0.0,43.0,30.0,69.8,32.0,32.0,100.0,64.0,2521.0,0.0,39.4
San Diego Chargers,1.0,1.0,6.0,6.0,8.0,6.0,10.0,4.0,4.0,2.0,29.0,19.0,65.5,31.0,31.0,100.0,77.0,3104.0,1.0,40.3
Cleveland Browns,2.0,1.0,3.0,2.0,9.0,8.0,6.0,3.0,2.0,2.0,22.0,16.0,72.7,34.0,33.0,97.1,80.0,3397.0,0.0,42.5
Seattle Seahawks,1.0,1.0,6.0,5.0,14.0,11.0,7.0,6.0,3.0,2.0,31.0,25.0,80.6,28.0,27.0,96.4,76.0,3085.0,0.0,40.6
San Francisco 49ers,0.0,0.0,5.0,5.0,10.0,3.0,10.0,4.0,3.0,2.0,28.0,14.0,50.0,50.0,49.0,98.0,56.0,2197.0,0.0,39.2
Chicago Bears,1.0,1.0,11.0,9.0,5.0,3.0,9.0,5.0,3.0,1.0,29.0,19.0,65.5,34.0,32.0,94.1,70.0,2855.0,1.0,40.8
Dallas Cowboys,2.0,2.0,6.0,6.0,11.0,9.0,13.0,6.0,7.0,4.0,39.0,27.0,69.2,37.0,37.0,100.0,57.0,2426.0,0.0,42.6
New England Patriots,1.0,1.0,5.0,4.0,15.0,10.0,7.0,5.0,1.0,0.0,29.0,20.0,69.0,21.0,19.0,90.5,82.0,3278.0,2.0,40.0
Los Angeles Raiders,3.0,3.0,7.0,7.0,13.0,10.0,7.0,7.0,4.0,2.0,34.0,29.0,85.3,30.0,29.0,96.7,67.0,2961.0,0.0,44.2
Miami Dolphins,2.0,2.0,9.0,9.0,12.0,11.0,11.0,8.0,5.0,3.0,39.0,33.0,84.6,35.0,34.0,97.1,57.0,2597.0,1.0,45.6
Houston Oilers,2.0,2.0,12.0,11.0,9.0,6.0,5.0,3.0,3.0,1.0,31.0,23.0,74.2,45.0,41.0,91.1,53.0,2298.0,2.0,43.4
Minnesota Vikings,0.0,0.0,9.0,9.0,3.0,3.0,7.0,3.0,5.0,2.0,24.0,17.0,70.8,35.0,34.0,97.1,68.0,3095.0,0.0,45.5
Tampa Bay Buccaneers,1.0,1.0,4.0,4.0,11.0,7.0,4.0,3.0,0.0,0.0,20.0,15.0,75.0,22.0,22.0,100.0,84.0,3389.0,0.0,40.3
Phoenix Cardinals,0.0,0.0,6.0,6.0,7.0,7.0,10.0,5.0,7.0,3.0,30.0,21.0,70.0,19.0,19.0,100.0,77.0,3490.0,1.0,45.3
New York Giants,0.0,0.0,7.0,7.0,9.0,7.0,12.0,9.0,3.0,1.0,31.0,24.0,77.4,30.0,29.0,96.7,64.0,2768.0,0.0,43.3
Cincinnati Bengals,0.0,0.0,10.0,9.0,10.0,8.0,6.0,5.0,6.0,2.0,32.0,24.0,75.0,27.0,27.0,100.0,65.0,2828.0,0.0,43.5
Kansas City Chiefs,2.0,2.0,11.0,11.0,8.0,8.0,7.0,4.0,2.0,0.0,30.0,25.0,83.3,35.0,35.0,100.0,57.0,2303.0,0.0,40.4
Indianapolis Colts,1.0,1.0,5.0,5.0,4.0,3.0,13.0,5.0,3.0,1.0,26.0,15.0,57.7,14.0,14.0,100.0,82.0,3492.0,0.0,42.6
Los Angeles Rams,0.0,0.0,4.0,4.0,8.0,8.0,3.0,3.0,2.0,2.0,17.0,17.0,100.0,26.0,25.0,96.2,75.0,2895.0,1.0,38.6
Avg Team,1.1,1.1,7.9,7.3,9.4,7.3,8.6,5.0,3.4,1.5,30.3,22.3,73.5,33.6,32.8,97.7,71.0,2960.8,0.6,41.7
