Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Cleveland Browns,0.0,0.0,5.0,5.0,8.0,6.0,9.0,4.0,2.0,1.0,24.0,16.0,66.7,40.0,40.0,100.0,97.0,3817.0,0.0,39.4
Philadelphia Eagles,2.0,2.0,5.0,4.0,13.0,8.0,13.0,6.0,0.0,0.0,33.0,20.0,60.6,40.0,40.0,100.0,87.0,3389.0,0.0,39.0
Los Angeles Rams,1.0,1.0,8.0,7.0,7.0,7.0,10.0,8.0,4.0,0.0,30.0,23.0,76.7,51.0,51.0,100.0,74.0,2873.0,1.0,38.8
Denver Broncos,3.0,3.0,14.0,13.0,8.0,8.0,7.0,3.0,1.0,0.0,33.0,27.0,81.8,40.0,39.0,97.5,80.0,3188.0,0.0,39.9
Minnesota Vikings,3.0,3.0,15.0,14.0,10.0,6.0,12.0,8.0,4.0,1.0,44.0,32.0,72.7,36.0,35.0,97.2,72.0,2864.0,0.0,39.8
Tampa Bay Buccaneers,0.0,0.0,9.0,9.0,6.0,6.0,10.0,5.0,3.0,2.0,28.0,22.0,78.6,35.0,34.0,97.1,86.0,3390.0,2.0,39.4
Atlanta Falcons,1.0,1.0,8.0,8.0,10.0,8.0,11.0,4.0,2.0,2.0,32.0,23.0,71.9,30.0,30.0,100.0,85.0,3513.0,1.0,41.3
New York Giants,0.0,0.0,11.0,10.0,14.0,13.0,11.0,5.0,2.0,1.0,38.0,29.0,76.3,37.0,35.0,94.6,70.0,3019.0,0.0,43.1
New Orleans Saints,0.0,0.0,8.0,7.0,11.0,10.0,6.0,3.0,4.0,0.0,29.0,20.0,69.0,45.0,44.0,97.8,71.0,2774.0,0.0,39.1
Washington Redskins,2.0,2.0,11.0,11.0,15.0,13.0,11.0,3.0,1.0,0.0,40.0,29.0,72.5,41.0,41.0,100.0,63.0,2706.0,1.0,43.0
Buffalo Bills,0.0,0.0,6.0,5.0,9.0,8.0,15.0,10.0,0.0,0.0,30.0,23.0,76.7,47.0,46.0,97.9,67.0,2643.0,2.0,39.4
San Francisco 49ers,3.0,3.0,8.0,8.0,9.0,8.0,15.0,10.0,1.0,0.0,36.0,29.0,80.6,51.0,49.0,96.1,56.0,2266.0,1.0,40.5
Pittsburgh Steelers,2.0,2.0,5.0,5.0,8.0,5.0,15.0,9.0,0.0,0.0,30.0,21.0,70.0,28.0,28.0,100.0,83.0,3409.0,1.0,41.1
Detroit Lions,0.0,0.0,3.0,3.0,9.0,8.0,8.0,8.0,1.0,1.0,21.0,20.0,95.2,36.0,36.0,100.0,83.0,3581.0,1.0,43.1
Indianapolis Colts,2.0,2.0,6.0,6.0,10.0,9.0,5.0,3.0,4.0,1.0,27.0,21.0,77.8,32.0,31.0,96.9,80.0,3435.0,1.0,42.9
San Diego Chargers,0.0,0.0,6.0,6.0,9.0,6.0,6.0,4.0,4.0,1.0,25.0,17.0,68.0,30.0,29.0,96.7,84.0,3315.0,0.0,39.5
New York Jets,1.0,1.0,7.0,6.0,4.0,3.0,8.0,4.0,1.0,0.0,21.0,14.0,66.7,30.0,29.0,96.7,87.0,3426.0,0.0,39.4
Phoenix Cardinals,0.0,0.0,7.0,7.0,6.0,5.0,11.0,5.0,2.0,1.0,26.0,18.0,69.2,29.0,28.0,96.6,82.0,3578.0,0.0,43.6
Cincinnati Bengals,0.0,0.0,10.0,10.0,5.0,3.0,5.0,1.0,0.0,0.0,20.0,14.0,70.0,52.0,50.0,96.2,65.0,2583.0,2.0,39.7
Green Bay Packers,1.0,1.0,9.0,9.0,6.0,4.0,9.0,7.0,3.0,1.0,28.0,22.0,78.6,42.0,42.0,100.0,66.0,2682.0,0.0,40.6
Chicago Bears,0.0,0.0,6.0,6.0,7.0,6.0,5.0,3.0,1.0,0.0,19.0,15.0,78.9,45.0,43.0,95.6,72.0,2844.0,0.0,39.5
Kansas City Chiefs,1.0,1.0,6.0,6.0,14.0,10.0,9.0,6.0,3.0,1.0,33.0,24.0,72.7,35.0,34.0,97.1,67.0,2688.0,0.0,40.1
Los Angeles Raiders,1.0,1.0,10.0,8.0,9.0,8.0,12.0,5.0,2.0,1.0,34.0,23.0,67.6,34.0,34.0,100.0,67.0,2711.0,0.0,40.5
Houston Oilers,1.0,1.0,9.0,8.0,14.0,9.0,11.0,5.0,2.0,2.0,37.0,25.0,67.6,40.0,40.0,100.0,58.0,2508.0,2.0,43.2
New England Patriots,0.0,0.0,7.0,7.0,16.0,11.0,14.0,9.0,3.0,3.0,40.0,30.0,75.0,30.0,27.0,90.0,64.0,2430.0,1.0,38.0
Seattle Seahawks,1.0,1.0,7.0,6.0,4.0,3.0,8.0,4.0,5.0,1.0,25.0,15.0,60.0,27.0,28.0,103.7,76.0,3035.0,1.0,39.9
Dallas Cowboys,1.0,1.0,2.0,2.0,5.0,3.0,9.0,4.0,3.0,0.0,20.0,10.0,50.0,25.0,24.0,96.0,82.0,3343.0,2.0,40.8
Miami Dolphins,1.0,1.0,8.0,8.0,6.0,5.0,8.0,4.0,3.0,1.0,26.0,19.0,73.1,39.0,38.0,97.4,59.0,2500.0,1.0,42.4
Avg Team,1.0,1.0,7.7,7.3,9.0,7.1,9.8,5.4,2.2,0.8,29.6,21.5,72.5,37.4,36.6,97.9,74.4,3018.2,0.7,40.6
