Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
San Francisco 49ers,0.0,0.0,5.0,4.0,10.0,9.0,6.0,4.0,3.0,2.0,24.0,19.0,79.2,39.0,39.0,100.0,99.0,4711.0,0.0,47.6
Philadelphia Eagles,1.0,1.0,11.0,11.0,9.0,8.0,13.0,11.0,3.0,1.0,37.0,32.0,86.5,45.0,43.0,95.6,76.0,3222.0,0.0,42.4
Minnesota Vikings,1.0,1.0,10.0,10.0,6.0,5.0,9.0,8.0,2.0,2.0,28.0,26.0,92.9,55.0,54.0,98.2,73.0,3202.0,0.0,43.9
Kansas City Chiefs,0.0,0.0,10.0,10.0,7.0,7.0,7.0,6.0,5.0,2.0,29.0,25.0,86.2,29.0,29.0,100.0,97.0,4406.0,1.0,45.4
Green Bay Packers,1.0,1.0,13.0,13.0,9.0,7.0,7.0,4.0,6.0,2.0,36.0,27.0,75.0,49.0,48.0,98.0,67.0,2935.0,1.0,43.8
Baltimore Ravens,0.0,0.0,6.0,6.0,14.0,9.0,8.0,6.0,2.0,0.0,30.0,21.0,70.0,47.0,46.0,97.9,74.0,3232.0,1.0,43.7
Arizona Cardinals,1.0,1.0,4.0,4.0,6.0,6.0,8.0,7.0,0.0,0.0,19.0,18.0,94.7,46.0,45.0,97.8,86.0,4045.0,0.0,47.0
New Orleans Saints,1.0,1.0,9.0,9.0,14.0,10.0,3.0,2.0,1.0,0.0,28.0,22.0,78.6,63.0,60.0,95.2,58.0,2528.0,0.0,43.6
New York Jets,0.0,0.0,6.0,6.0,15.0,12.0,14.0,11.0,1.0,1.0,36.0,30.0,83.3,32.0,32.0,100.0,80.0,3357.0,0.0,42.0
Buffalo Bills,0.0,0.0,12.0,12.0,9.0,9.0,9.0,6.0,3.0,1.0,33.0,28.0,84.8,24.0,24.0,100.0,90.0,4192.0,0.0,46.6
Denver Broncos,0.0,0.0,14.0,14.0,8.0,6.0,10.0,8.0,3.0,2.0,35.0,30.0,85.7,32.0,32.0,100.0,78.0,3387.0,0.0,43.4
Pittsburgh Steelers,1.0,1.0,7.0,7.0,16.0,15.0,5.0,4.0,2.0,0.0,31.0,27.0,87.1,41.0,41.0,100.0,72.0,3074.0,0.0,42.7
Dallas Cowboys,1.0,1.0,7.0,6.0,8.0,6.0,13.0,6.0,2.0,1.0,31.0,20.0,64.5,41.0,41.0,100.0,72.0,3249.0,0.0,45.1
Seattle Seahawks,0.0,0.0,9.0,9.0,11.0,10.0,6.0,5.0,0.0,0.0,26.0,24.0,92.3,28.0,28.0,100.0,89.0,4100.0,0.0,46.1
Houston Texans,0.0,0.0,13.0,11.0,9.0,6.0,6.0,2.0,4.0,2.0,32.0,21.0,65.6,44.0,43.0,97.7,67.0,2866.0,0.0,42.8
Cincinnati Bengals,0.0,0.0,11.0,10.0,10.0,8.0,3.0,3.0,4.0,2.0,28.0,23.0,82.1,29.0,28.0,96.6,86.0,3713.0,0.0,43.2
Oakland Raiders,0.0,0.0,3.0,3.0,8.0,8.0,10.0,9.0,8.0,6.0,29.0,26.0,89.7,17.0,17.0,100.0,96.0,4909.0,0.0,51.1
Cleveland Browns,1.0,1.0,11.0,11.0,6.0,6.0,6.0,5.0,1.0,0.0,25.0,23.0,92.0,23.0,22.0,95.7,94.0,3977.0,0.0,42.3
Miami Dolphins,0.0,0.0,9.0,9.0,8.0,7.0,9.0,8.0,2.0,1.0,28.0,25.0,89.3,38.0,37.0,97.4,75.0,3472.0,0.0,46.3
New York Giants,0.0,0.0,12.0,10.0,13.0,11.0,6.0,5.0,1.0,1.0,32.0,27.0,84.4,45.0,45.0,100.0,64.0,2604.0,0.0,40.7
San Diego Chargers,2.0,2.0,17.0,17.0,4.0,4.0,8.0,6.0,4.0,3.0,35.0,32.0,91.4,51.0,50.0,98.0,52.0,2342.0,0.0,45.0
Tennessee Titans,0.0,0.0,8.0,8.0,6.0,4.0,12.0,10.0,6.0,5.0,32.0,27.0,84.4,37.0,37.0,100.0,69.0,2995.0,0.0,43.4
Chicago Bears,0.0,0.0,9.0,9.0,6.0,6.0,10.0,7.0,3.0,2.0,28.0,24.0,85.7,33.0,33.0,100.0,77.0,3191.0,0.0,41.4
Tampa Bay Buccaneers,0.0,0.0,3.0,3.0,8.0,5.0,11.0,5.0,4.0,3.0,26.0,16.0,61.5,24.0,24.0,100.0,87.0,3626.0,0.0,41.7
Carolina Panthers,0.0,0.0,7.0,7.0,10.0,9.0,6.0,5.0,4.0,1.0,27.0,22.0,81.5,32.0,31.0,96.9,77.0,3396.0,1.0,44.1
New England Patriots,0.0,0.0,7.0,7.0,13.0,12.0,8.0,5.0,3.0,2.0,31.0,26.0,83.9,47.0,47.0,100.0,57.0,2261.0,1.0,39.7
Atlanta Falcons,0.0,0.0,6.0,6.0,12.0,8.0,7.0,3.0,4.0,2.0,29.0,19.0,65.5,43.0,42.0,97.7,63.0,2676.0,1.0,42.5
Indianapolis Colts,1.0,1.0,5.0,5.0,8.0,6.0,4.0,4.0,2.0,0.0,20.0,16.0,80.0,51.0,50.0,98.0,64.0,2837.0,0.0,44.3
Jacksonville Jaguars,0.0,0.0,8.0,7.0,4.0,4.0,7.0,3.0,9.0,4.0,28.0,18.0,64.3,31.0,30.0,96.8,72.0,3017.0,0.0,41.9
St. Louis Rams,0.0,0.0,5.0,5.0,5.0,4.0,7.0,4.0,7.0,6.0,24.0,19.0,79.2,16.0,16.0,100.0,90.0,4212.0,0.0,46.8
