Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
New York Giants,1.0,1.0,6.0,6.0,7.0,6.0,14.0,8.0,4.0,1.0,32.0,22.0,68.8,29.0,27.0,93.1,112.0,4572.0,1.0,40.8
St. Louis Rams,0.0,0.0,9.0,8.0,12.0,8.0,14.0,7.0,2.0,2.0,37.0,25.0,67.6,32.0,32.0,100.0,95.0,4027.0,1.0,42.4
Detroit Lions,0.0,0.0,10.0,10.0,9.0,8.0,5.0,5.0,5.0,3.0,29.0,26.0,89.7,40.0,39.0,97.5,86.0,3661.0,2.0,42.6
San Francisco 49ers,0.0,0.0,11.0,11.0,12.0,9.0,10.0,8.0,3.0,1.0,36.0,29.0,80.6,38.0,38.0,100.0,79.0,3223.0,1.0,40.8
Green Bay Packers,4.0,4.0,8.0,7.0,13.0,10.0,4.0,2.0,1.0,1.0,30.0,24.0,80.0,48.0,48.0,100.0,75.0,3378.0,0.0,45.0
Philadelphia Eagles,0.0,0.0,7.0,7.0,12.0,11.0,11.0,4.0,1.0,0.0,31.0,22.0,71.0,33.0,33.0,100.0,88.0,3702.0,1.0,42.1
New York Jets,1.0,1.0,11.0,10.0,17.0,11.0,6.0,2.0,6.0,4.0,41.0,28.0,68.3,36.0,36.0,100.0,75.0,3255.0,1.0,43.4
Atlanta Falcons,1.0,1.0,10.0,10.0,7.0,7.0,6.0,3.0,3.0,2.0,27.0,23.0,85.2,35.0,35.0,100.0,89.0,3498.0,0.0,39.3
Arizona Cardinals,1.0,1.0,7.0,7.0,8.0,6.0,11.0,5.0,2.0,0.0,29.0,19.0,65.5,29.0,28.0,96.6,92.0,4072.0,1.0,44.3
Oakland Raiders,0.0,0.0,5.0,3.0,6.0,4.0,10.0,5.0,1.0,1.0,22.0,13.0,59.1,35.0,33.0,94.3,93.0,4189.0,0.0,45.0
Denver Broncos,0.0,0.0,12.0,11.0,13.0,11.0,9.0,3.0,5.0,3.0,39.0,28.0,71.8,50.0,50.0,100.0,60.0,2598.0,0.0,43.3
Baltimore Ravens,0.0,0.0,9.0,8.0,12.0,12.0,11.0,6.0,2.0,0.0,34.0,26.0,76.5,32.0,32.0,100.0,83.0,3540.0,0.0,42.7
San Diego Chargers,0.0,0.0,8.0,7.0,12.0,12.0,11.0,7.0,0.0,0.0,31.0,26.0,83.9,27.0,26.0,96.3,90.0,4017.0,1.0,44.6
New England Patriots,0.0,0.0,11.0,11.0,9.0,7.0,8.0,6.0,1.0,1.0,29.0,25.0,86.2,40.0,40.0,100.0,79.0,3615.0,1.0,45.8
Washington Redskins,2.0,2.0,4.0,4.0,6.0,5.0,8.0,4.0,4.0,1.0,24.0,16.0,66.7,39.0,39.0,100.0,85.0,3833.0,1.0,45.1
Dallas Cowboys,1.0,1.0,16.0,16.0,9.0,9.0,10.0,7.0,2.0,1.0,38.0,34.0,89.5,24.0,24.0,100.0,86.0,3592.0,0.0,41.8
Kansas City Chiefs,0.0,0.0,9.0,9.0,3.0,3.0,13.0,12.0,2.0,2.0,27.0,26.0,96.3,36.0,35.0,97.2,83.0,3489.0,0.0,42.0
Jacksonville Jaguars,2.0,2.0,14.0,12.0,9.0,8.0,9.0,7.0,2.0,2.0,36.0,31.0,86.1,41.0,41.0,100.0,66.0,2964.0,0.0,44.9
Seattle Seahawks,0.0,0.0,9.0,9.0,10.0,7.0,7.0,5.0,2.0,1.0,28.0,22.0,78.6,37.0,37.0,100.0,78.0,3227.0,2.0,41.4
Minnesota Vikings,0.0,0.0,12.0,11.0,5.0,3.0,9.0,5.0,1.0,0.0,27.0,19.0,70.4,34.0,33.0,97.1,81.0,3407.0,0.0,42.1
Buffalo Bills,0.0,0.0,6.0,6.0,12.0,9.0,10.0,8.0,2.0,1.0,30.0,24.0,80.0,21.0,21.0,100.0,91.0,3806.0,1.0,41.8
Chicago Bears,0.0,0.0,9.0,8.0,10.0,8.0,6.0,4.0,1.0,1.0,26.0,21.0,80.8,20.0,20.0,100.0,96.0,4077.0,0.0,42.5
Tennessee Oilers,2.0,2.0,6.0,6.0,11.0,10.0,14.0,7.0,2.0,2.0,35.0,27.0,77.1,32.0,32.0,100.0,74.0,3081.0,0.0,41.6
Cincinnati Bengals,0.0,0.0,4.0,4.0,3.0,3.0,7.0,5.0,2.0,0.0,16.0,12.0,75.0,43.0,41.0,95.3,81.0,3471.0,0.0,42.9
New Orleans Saints,1.0,1.0,2.0,2.0,10.0,10.0,9.0,6.0,5.0,4.0,27.0,23.0,85.2,22.0,22.0,100.0,88.0,4038.0,0.0,45.9
Miami Dolphins,2.0,2.0,15.0,14.0,10.0,8.0,6.0,3.0,3.0,1.0,36.0,28.0,77.8,33.0,33.0,100.0,68.0,2962.0,0.0,43.6
Carolina Panthers,1.0,1.0,7.0,6.0,8.0,8.0,4.0,4.0,6.0,3.0,26.0,22.0,84.6,25.0,25.0,100.0,85.0,3604.0,0.0,42.4
Tampa Bay Buccaneers,0.0,0.0,5.0,5.0,3.0,2.0,6.0,5.0,3.0,1.0,17.0,13.0,76.5,35.0,32.0,91.4,84.0,3621.0,1.0,43.1
Pittsburgh Steelers,1.0,1.0,6.0,6.0,8.0,8.0,8.0,6.0,2.0,1.0,25.0,22.0,88.0,40.0,40.0,100.0,64.0,2729.0,0.0,42.6
Indianapolis Colts,0.0,0.0,9.0,9.0,14.0,12.0,15.0,10.0,3.0,1.0,41.0,32.0,78.0,21.0,21.0,100.0,67.0,3034.0,0.0,45.3
Avg Team,0.7,0.7,8.6,8.1,9.3,7.8,9.0,5.6,2.6,1.4,30.2,23.6,78.1,33.6,33.1,98.6,82.4,3542.7,0.5,43.0
