Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Philadelphia Eagles,2.0,2.0,10.0,9.0,11.0,8.0,6.0,3.0,3.0,1.0,32.0,23.0,71.9,43.0,42.0,97.7,104.0,4248.0,3.0,40.8
Minnesota Vikings,3.0,2.0,7.0,7.0,10.0,10.0,5.0,1.0,0.0,0.0,25.0,20.0,80.0,49.0,48.0,98.0,86.0,3468.0,2.0,40.3
San Francisco 49ers,1.0,1.0,10.0,9.0,11.0,9.0,11.0,7.0,5.0,1.0,38.0,27.0,71.1,41.0,40.0,97.6,80.0,3132.0,1.0,39.2
Los Angeles Raiders,1.0,1.0,7.0,7.0,6.0,3.0,11.0,6.0,4.0,1.0,29.0,18.0,62.1,39.0,37.0,94.9,91.0,3804.0,0.0,41.8
Los Angeles Rams,1.0,1.0,12.0,9.0,10.0,8.0,8.0,6.0,1.0,0.0,32.0,24.0,75.0,48.0,45.0,93.8,76.0,3003.0,0.0,39.5
New York Jets,0.0,0.0,9.0,9.0,8.0,7.0,10.0,7.0,1.0,0.0,28.0,23.0,82.1,43.0,43.0,100.0,85.0,3310.0,0.0,38.9
Atlanta Falcons,1.0,1.0,4.0,3.0,9.0,6.0,12.0,8.0,4.0,1.0,30.0,19.0,63.3,27.0,25.0,92.6,98.0,3920.0,0.0,40.0
New York Giants,0.0,0.0,7.0,7.0,12.0,9.0,8.0,7.0,3.0,1.0,30.0,24.0,80.0,41.0,39.0,95.1,81.0,3316.0,2.0,40.9
Houston Oilers,1.0,1.0,5.0,3.0,8.0,7.0,16.0,9.0,4.0,2.0,34.0,22.0,64.7,50.0,48.0,96.0,65.0,2523.0,0.0,38.8
New England Patriots,0.0,0.0,7.0,5.0,8.0,5.0,7.0,2.0,2.0,1.0,24.0,13.0,54.2,31.0,25.0,80.6,91.0,3482.0,0.0,38.3
Phoenix Cardinals,1.0,1.0,6.0,4.0,3.0,3.0,9.0,3.0,2.0,1.0,21.0,12.0,57.1,44.0,42.0,95.5,80.0,3269.0,1.0,40.9
Pittsburgh Steelers,1.0,1.0,11.0,11.0,10.0,9.0,12.0,6.0,2.0,1.0,36.0,28.0,77.8,35.0,34.0,97.1,71.0,3222.0,6.0,45.4
New Orleans Saints,1.0,1.0,12.0,11.0,11.0,8.0,8.0,5.0,4.0,1.0,36.0,26.0,72.2,33.0,32.0,97.0,73.0,2953.0,1.0,40.5
Detroit Lions,1.0,1.0,8.0,8.0,9.0,9.0,2.0,2.0,1.0,0.0,21.0,20.0,95.2,23.0,22.0,95.7,97.0,4110.0,0.0,42.4
Denver Broncos,1.0,1.0,10.0,9.0,13.0,6.0,8.0,5.0,4.0,2.0,36.0,23.0,63.9,37.0,36.0,97.3,68.0,2978.0,0.0,43.8
Cincinnati Bengals,1.0,1.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,1.0,18.0,12.0,66.7,59.0,56.0,94.9,64.0,2427.0,2.0,37.9
Green Bay Packers,0.0,0.0,6.0,5.0,7.0,5.0,10.0,2.0,2.0,1.0,25.0,13.0,52.0,29.0,23.0,79.3,86.0,3326.0,1.0,38.7
Seattle Seahawks,1.0,1.0,4.0,4.0,9.0,7.0,14.0,10.0,0.0,0.0,28.0,22.0,78.6,39.0,39.0,100.0,70.0,2858.0,0.0,40.8
Dallas Cowboys,0.0,0.0,5.0,4.0,7.0,4.0,10.0,4.0,3.0,1.0,25.0,13.0,52.0,32.0,32.0,100.0,80.0,3271.0,0.0,40.9
Chicago Bears,1.0,1.0,4.0,4.0,8.0,7.0,6.0,3.0,0.0,0.0,19.0,15.0,78.9,38.0,37.0,97.4,79.0,3282.0,0.0,41.5
Indianapolis Colts,0.0,0.0,8.0,8.0,6.0,5.0,10.0,6.0,8.0,6.0,32.0,25.0,78.1,40.0,39.0,97.5,64.0,2784.0,0.0,43.5
Washington Redskins,1.0,1.0,8.0,6.0,7.0,5.0,10.0,7.0,0.0,0.0,26.0,19.0,73.1,41.0,40.0,97.6,67.0,2601.0,1.0,38.8
San Diego Chargers,0.0,0.0,6.0,6.0,5.0,3.0,9.0,5.0,0.0,0.0,20.0,14.0,70.0,27.0,27.0,100.0,86.0,3789.0,1.0,44.1
Buffalo Bills,1.0,1.0,10.0,10.0,16.0,15.0,9.0,6.0,1.0,0.0,37.0,32.0,86.5,33.0,33.0,100.0,62.0,2451.0,0.0,39.5
Kansas City Chiefs,0.0,0.0,8.0,7.0,11.0,9.0,10.0,8.0,3.0,3.0,32.0,27.0,84.4,23.0,23.0,100.0,76.0,3059.0,0.0,40.3
Cleveland Browns,1.0,1.0,12.0,10.0,10.0,8.0,6.0,5.0,0.0,0.0,29.0,24.0,82.8,33.0,32.0,97.0,67.0,2657.0,2.0,39.7
Tampa Bay Buccaneers,1.0,1.0,9.0,8.0,9.0,7.0,7.0,3.0,4.0,2.0,30.0,21.0,70.0,28.0,28.0,100.0,68.0,2477.0,0.0,36.4
Miami Dolphins,0.0,0.0,6.0,5.0,8.0,5.0,3.0,1.0,6.0,1.0,23.0,12.0,52.2,39.0,37.0,94.9,64.0,2754.0,0.0,43.0
Avg Team,0.8,0.8,7.7,6.9,8.8,6.8,8.6,5.0,2.5,1.0,28.4,20.4,71.7,37.3,35.9,96.1,77.8,3159.8,0.8,40.6
