Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Washington Redskins,1.0,1.0,10.0,10.0,19.0,14.0,12.0,7.0,3.0,1.0,47.0,33.0,70.2,63.0,62.0,98.4,72.0,2796.0,0.0,38.8
Dallas Cowboys,0.0,0.0,5.0,5.0,8.0,8.0,12.0,9.0,2.0,0.0,27.0,22.0,81.5,59.0,57.0,96.6,83.0,3312.0,1.0,39.9
Kansas City Chiefs,1.0,1.0,5.0,5.0,6.0,6.0,14.0,10.0,4.0,2.0,30.0,24.0,80.0,45.0,44.0,97.8,93.0,3710.0,0.0,39.9
St. Louis Cardinals,1.0,0.0,6.0,4.0,8.0,3.0,10.0,6.0,3.0,2.0,28.0,15.0,53.6,47.0,45.0,95.7,85.0,3529.0,0.0,41.5
Los Angeles Raiders,0.0,0.0,11.0,9.0,9.0,8.0,6.0,4.0,1.0,0.0,27.0,21.0,77.8,53.0,51.0,96.2,78.0,3336.0,0.0,42.8
Minnesota Vikings,0.0,0.0,10.0,9.0,14.0,12.0,9.0,4.0,0.0,0.0,33.0,25.0,75.8,34.0,33.0,97.1,91.0,3780.0,0.0,41.5
Chicago Bears,1.0,1.0,9.0,9.0,4.0,0.0,6.0,3.0,5.0,1.0,25.0,14.0,56.0,38.0,35.0,92.1,94.0,3473.0,2.0,36.9
Seattle Seahawks,1.0,1.0,4.0,4.0,7.0,4.0,10.0,8.0,3.0,1.0,25.0,18.0,72.0,50.0,49.0,98.0,79.0,3118.0,0.0,39.5
Buffalo Bills,0.0,0.0,5.0,3.0,8.0,5.0,9.0,3.0,4.0,0.0,26.0,11.0,42.3,36.0,34.0,94.4,89.0,3533.0,0.0,39.7
New York Giants,1.0,1.0,13.0,13.0,12.0,11.0,11.0,8.0,5.0,2.0,42.0,35.0,83.3,23.0,22.0,95.7,85.0,3426.0,1.0,40.3
Miami Dolphins,2.0,2.0,6.0,6.0,8.0,5.0,6.0,3.0,5.0,2.0,27.0,18.0,66.7,48.0,45.0,93.8,75.0,3232.0,1.0,43.1
Pittsburgh Steelers,2.0,2.0,9.0,8.0,10.0,9.0,10.0,8.0,0.0,0.0,31.0,27.0,87.1,39.0,38.0,97.4,80.0,3352.0,0.0,41.9
Baltimore Colts,0.0,0.0,6.0,5.0,12.0,11.0,12.0,10.0,5.0,4.0,35.0,30.0,85.7,24.0,22.0,91.7,91.0,4124.0,0.0,45.3
Los Angeles Rams,0.0,0.0,8.0,4.0,5.0,4.0,8.0,3.0,1.0,0.0,20.0,11.0,55.0,46.0,42.0,91.3,83.0,3341.0,1.0,40.3
Tampa Bay Buccaneers,0.0,0.0,9.0,7.0,4.0,0.0,8.0,3.0,3.0,0.0,24.0,10.0,41.7,29.0,25.0,86.2,96.0,4050.0,1.0,42.2
Green Bay Packers,2.0,2.0,6.0,6.0,9.0,7.0,9.0,6.0,0.0,0.0,26.0,21.0,80.8,52.0,52.0,100.0,70.0,2911.0,1.0,41.6
San Francisco 49ers,0.0,0.0,11.0,11.0,10.0,10.0,5.0,3.0,4.0,1.0,30.0,25.0,83.3,51.0,51.0,100.0,66.0,2591.0,1.0,39.3
Denver Broncos,0.0,0.0,8.0,7.0,9.0,7.0,7.0,6.0,1.0,1.0,25.0,21.0,84.0,34.0,33.0,97.1,87.0,3620.0,0.0,41.6
New York Jets,4.0,4.0,4.0,3.0,7.0,5.0,8.0,4.0,1.0,0.0,24.0,16.0,66.7,37.0,37.0,100.0,82.0,3258.0,1.0,39.7
Detroit Lions,0.0,0.0,6.0,6.0,15.0,13.0,7.0,3.0,4.0,3.0,32.0,25.0,78.1,38.0,38.0,100.0,72.0,2952.0,1.0,41.0
New Orleans Saints,2.0,2.0,8.0,8.0,4.0,3.0,6.0,2.0,4.0,3.0,24.0,18.0,75.0,38.0,37.0,97.4,78.0,3178.0,0.0,40.7
Philadelphia Eagles,1.0,1.0,5.0,5.0,9.0,6.0,8.0,2.0,3.0,1.0,26.0,15.0,57.7,27.0,24.0,88.9,86.0,3521.0,0.0,40.9
New England Patriots,0.0,0.0,5.0,4.0,9.0,4.0,8.0,1.0,0.0,0.0,22.0,9.0,40.9,36.0,31.0,86.1,81.0,3615.0,0.0,44.6
Atlanta Falcons,0.0,0.0,5.0,4.0,5.0,4.0,11.0,9.0,1.0,0.0,22.0,17.0,77.3,45.0,43.0,95.6,71.0,2863.0,1.0,40.3
Houston Oilers,1.0,1.0,4.0,4.0,8.0,7.0,6.0,4.0,2.0,1.0,21.0,17.0,81.0,34.0,33.0,97.1,80.0,3176.0,1.0,39.7
Cleveland Browns,1.0,1.0,9.0,9.0,6.0,5.0,7.0,6.0,2.0,1.0,25.0,22.0,88.0,40.0,38.0,95.0,70.0,2854.0,0.0,40.8
Cincinnati Bengals,2.0,2.0,7.0,7.0,7.0,5.0,5.0,2.0,2.0,0.0,23.0,16.0,69.6,42.0,40.0,95.2,69.0,2888.0,2.0,41.9
San Diego Chargers,0.0,0.0,7.0,7.0,7.0,5.0,7.0,2.0,3.0,1.0,24.0,15.0,62.5,45.0,43.0,95.6,63.0,2763.0,0.0,43.9
Avg Team,0.8,0.8,7.2,6.5,8.5,6.5,8.5,5.0,2.5,1.0,27.5,19.7,71.5,41.2,39.4,95.8,80.3,3296.5,0.5,41.0
