Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Chicago Bears,0.0,0.0,6.0,6.0,12.0,12.0,11.0,8.0,0.0,0.0,29.0,26.0,89.7,41.0,41.0,100.0,96.0,3957.0,0.0,41.2
Philadelphia Eagles,2.0,2.0,11.0,11.0,12.0,10.0,10.0,8.0,5.0,2.0,40.0,33.0,82.5,45.0,45.0,100.0,78.0,3377.0,1.0,43.3
Tennessee Titans,0.0,0.0,6.0,6.0,7.0,7.0,19.0,15.0,1.0,1.0,33.0,29.0,87.9,40.0,40.0,100.0,87.0,3725.0,0.0,42.8
Baltimore Ravens,0.0,0.0,11.0,11.0,12.0,11.0,9.0,5.0,3.0,1.0,35.0,28.0,80.0,41.0,41.0,100.0,84.0,3777.0,0.0,45.0
Carolina Panthers,0.0,0.0,7.0,7.0,9.0,9.0,12.0,11.0,3.0,1.0,31.0,28.0,90.3,46.0,46.0,100.0,76.0,3349.0,3.0,44.1
Tampa Bay Buccaneers,0.0,0.0,12.0,12.0,15.0,15.0,8.0,5.0,3.0,0.0,38.0,32.0,84.2,36.0,35.0,97.2,77.0,3426.0,0.0,44.5
Minnesota Vikings,0.0,0.0,10.0,10.0,9.0,7.0,9.0,6.0,6.0,6.0,34.0,29.0,85.3,40.0,40.0,100.0,74.0,3521.0,1.0,47.6
Seattle Seahawks,0.0,0.0,7.0,7.0,10.0,9.0,6.0,5.0,4.0,3.0,27.0,24.0,88.9,30.0,30.0,100.0,90.0,4052.0,1.0,45.0
Pittsburgh Steelers,1.0,1.0,9.0,9.0,9.0,8.0,10.0,8.0,2.0,1.0,31.0,27.0,87.1,37.0,36.0,97.3,78.0,3107.0,0.0,39.8
Oakland Raiders,0.0,0.0,11.0,11.0,8.0,8.0,4.0,2.0,7.0,3.0,30.0,24.0,80.0,26.0,25.0,96.2,90.0,4391.0,0.0,48.8
Green Bay Packers,1.0,1.0,8.0,8.0,13.0,10.0,6.0,5.0,6.0,3.0,34.0,27.0,79.4,46.0,46.0,100.0,65.0,2688.0,0.0,41.4
Cincinnati Bengals,1.0,1.0,6.0,6.0,7.0,6.0,11.0,9.0,0.0,0.0,25.0,22.0,88.0,18.0,18.0,100.0,101.0,3984.0,1.0,39.4
New York Giants,1.0,1.0,15.0,15.0,15.0,14.0,7.0,5.0,1.0,1.0,39.0,36.0,92.3,41.0,41.0,100.0,64.0,2814.0,0.0,44.0
Washington Redskins,0.0,0.0,7.0,7.0,9.0,7.0,16.0,11.0,4.0,1.0,36.0,26.0,72.2,25.0,25.0,100.0,82.0,3362.0,1.0,41.0
Dallas Cowboys,0.0,0.0,1.0,1.0,8.0,7.0,11.0,10.0,2.0,2.0,22.0,20.0,90.9,42.0,42.0,100.0,78.0,3432.0,1.0,44.0
Miami Dolphins,0.0,0.0,4.0,4.0,7.0,7.0,13.0,9.0,1.0,1.0,25.0,21.0,84.0,40.0,40.0,100.0,74.0,3249.0,0.0,43.9
St. Louis Rams,0.0,0.0,8.0,8.0,7.0,7.0,13.0,10.0,8.0,6.0,36.0,31.0,86.1,19.0,19.0,100.0,83.0,4120.0,0.0,49.6
Atlanta Falcons,0.0,0.0,11.0,11.0,8.0,7.0,10.0,10.0,2.0,1.0,31.0,29.0,93.5,42.0,42.0,100.0,65.0,2647.0,2.0,40.7
Detroit Lions,0.0,0.0,3.0,3.0,5.0,4.0,6.0,6.0,8.0,8.0,22.0,21.0,95.5,26.0,25.0,96.2,90.0,3952.0,0.0,43.9
Kansas City Chiefs,0.0,0.0,9.0,9.0,7.0,4.0,4.0,3.0,2.0,0.0,22.0,16.0,72.7,31.0,31.0,100.0,82.0,3622.0,0.0,44.2
New Orleans Saints,0.0,0.0,6.0,6.0,9.0,8.0,10.0,7.0,2.0,1.0,27.0,22.0,81.5,54.0,53.0,98.1,53.0,2364.0,0.0,44.6
San Francisco 49ers,0.0,0.0,9.0,9.0,10.0,10.0,11.0,8.0,3.0,2.0,33.0,29.0,87.9,34.0,34.0,100.0,67.0,3203.0,1.0,47.8
Arizona Cardinals,0.0,0.0,9.0,9.0,11.0,9.0,6.0,6.0,2.0,1.0,28.0,25.0,89.3,44.0,44.0,100.0,60.0,2509.0,0.0,41.8
New England Patriots,0.0,0.0,12.0,10.0,16.0,16.0,11.0,9.0,1.0,1.0,40.0,36.0,90.0,40.0,40.0,100.0,50.0,2200.0,0.0,44.0
Buffalo Bills,1.0,1.0,8.0,7.0,11.0,11.0,15.0,10.0,3.0,1.0,38.0,30.0,78.9,34.0,34.0,100.0,58.0,2557.0,0.0,44.1
Cleveland Browns,0.0,0.0,10.0,10.0,14.0,12.0,6.0,5.0,6.0,3.0,36.0,30.0,83.3,18.0,18.0,100.0,76.0,3443.0,0.0,45.3
New York Jets,0.0,0.0,9.0,9.0,13.0,9.0,5.0,4.0,2.0,2.0,29.0,24.0,82.8,41.0,41.0,100.0,59.0,2533.0,1.0,42.9
San Diego Chargers,0.0,0.0,13.0,13.0,10.0,10.0,8.0,3.0,1.0,1.0,32.0,27.0,84.4,46.0,46.0,100.0,51.0,2332.0,0.0,45.7
Jacksonville Jaguars,0.0,0.0,7.0,7.0,6.0,3.0,7.0,5.0,5.0,4.0,25.0,19.0,76.0,33.0,33.0,100.0,67.0,2904.0,0.0,43.3
Houston Texans,0.0,0.0,10.0,9.0,10.0,10.0,10.0,8.0,3.0,2.0,33.0,29.0,87.9,37.0,37.0,100.0,53.0,2240.0,0.0,42.3
Indianapolis Colts,0.0,0.0,3.0,3.0,13.0,11.0,7.0,4.0,2.0,2.0,25.0,20.0,80.0,43.0,43.0,100.0,53.0,2343.0,0.0,44.2
Denver Broncos,0.0,0.0,8.0,7.0,9.0,8.0,11.0,5.0,6.0,5.0,34.0,25.0,73.5,40.0,39.0,97.5,46.0,2150.0,0.0,46.7
Avg Team,0.2,0.2,8.3,8.2,10.0,8.9,9.4,7.0,3.3,2.1,31.3,26.4,84.5,36.8,36.6,99.5,72.1,3166.6,0.4,43.9
