Tm,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt
Kansas City Chiefs,2.0,2.0,5.0,5.0,22.0,21.0,7.0,6.0,1.0,0.0,37.0,34.0,91.9,38.0,37.0,97.4,81.0,3132.0,0.0,38.7
Chicago Bears,1.0,1.0,8.0,8.0,8.0,5.0,13.0,8.0,7.0,4.0,37.0,26.0,70.3,37.0,36.0,97.3,78.0,3154.0,2.0,40.4
Philadelphia Eagles,2.0,2.0,7.0,5.0,12.0,9.0,7.0,4.0,1.0,1.0,29.0,21.0,72.4,48.0,45.0,93.8,74.0,3110.0,2.0,42.0
San Francisco 49ers,0.0,0.0,10.0,10.0,9.0,7.0,11.0,5.0,6.0,2.0,36.0,24.0,66.7,39.0,39.0,100.0,70.0,2574.0,1.0,36.8
Minnesota Vikings,0.0,0.0,10.0,10.0,9.0,9.0,9.0,6.0,0.0,0.0,28.0,25.0,89.3,38.0,38.0,100.0,79.0,3341.0,1.0,42.3
Atlanta Falcons,0.0,0.0,6.0,6.0,9.0,8.0,13.0,6.0,5.0,2.0,33.0,22.0,66.7,40.0,40.0,100.0,70.0,2913.0,0.0,41.6
New York Giants,2.0,2.0,8.0,8.0,4.0,4.0,12.0,7.0,2.0,0.0,28.0,21.0,75.0,39.0,38.0,97.4,75.0,3306.0,0.0,44.1
Buffalo Bills,0.0,0.0,11.0,9.0,8.0,5.0,10.0,6.0,0.0,0.0,29.0,20.0,69.0,52.0,50.0,96.2,58.0,2281.0,0.0,39.3
Los Angeles Rams,4.0,3.0,4.0,4.0,7.0,5.0,9.0,3.0,0.0,0.0,24.0,15.0,62.5,43.0,42.0,97.7,69.0,2702.0,1.0,39.2
Washington Redskins,2.0,2.0,10.0,10.0,14.0,12.0,6.0,3.0,8.0,3.0,40.0,30.0,75.0,41.0,41.0,100.0,55.0,2102.0,1.0,38.2
Detroit Lions,0.0,0.0,9.0,9.0,9.0,5.0,5.0,3.0,3.0,0.0,26.0,17.0,65.4,46.0,46.0,100.0,63.0,2560.0,0.0,40.6
Miami Dolphins,2.0,2.0,8.0,7.0,7.0,6.0,5.0,4.0,3.0,2.0,25.0,21.0,84.0,37.0,37.0,100.0,72.0,3022.0,0.0,42.0
New England Patriots,1.0,1.0,3.0,3.0,3.0,3.0,11.0,8.0,4.0,1.0,22.0,16.0,72.7,19.0,19.0,100.0,92.0,3835.0,2.0,41.7
Seattle Seahawks,2.0,2.0,7.0,7.0,14.0,8.0,6.0,5.0,3.0,1.0,32.0,23.0,71.9,34.0,33.0,97.1,67.0,2722.0,0.0,40.6
Cincinnati Bengals,0.0,0.0,6.0,6.0,6.0,5.0,9.0,6.0,1.0,0.0,22.0,17.0,77.3,44.0,41.0,93.2,65.0,2739.0,0.0,42.1
Denver Broncos,0.0,0.0,14.0,13.0,6.0,4.0,13.0,8.0,1.0,0.0,34.0,25.0,73.5,36.0,34.0,94.4,60.0,2656.0,1.0,44.3
Dallas Cowboys,0.0,0.0,4.0,4.0,9.0,7.0,8.0,7.0,4.0,0.0,25.0,18.0,72.0,26.0,26.0,100.0,79.0,3413.0,0.0,43.2
Indianapolis Colts,1.0,1.0,6.0,5.0,8.0,7.0,4.0,2.0,5.0,2.0,24.0,17.0,70.8,33.0,32.0,97.0,72.0,3127.0,1.0,43.4
New Orleans Saints,0.0,0.0,5.0,5.0,6.0,5.0,12.0,8.0,4.0,3.0,27.0,21.0,77.8,29.0,29.0,100.0,71.0,3033.0,1.0,42.7
San Diego Chargers,3.0,3.0,9.0,8.0,8.0,6.0,7.0,4.0,1.0,0.0,28.0,21.0,75.0,36.0,34.0,94.4,62.0,2482.0,1.0,40.0
Tampa Bay Buccaneers,0.0,0.0,7.0,7.0,13.0,10.0,5.0,4.0,2.0,2.0,27.0,23.0,85.2,27.0,27.0,100.0,72.0,2902.0,0.0,40.3
Cleveland Browns,0.0,0.0,5.0,5.0,8.0,5.0,7.0,4.0,0.0,0.0,20.0,14.0,70.0,27.0,24.0,88.9,78.0,3035.0,4.0,38.9
Phoenix Cardinals,1.0,1.0,4.0,4.0,10.0,7.0,6.0,3.0,6.0,2.0,27.0,17.0,63.0,31.0,31.0,100.0,67.0,2865.0,0.0,42.8
Los Angeles Raiders,1.0,1.0,5.0,5.0,3.0,2.0,9.0,6.0,2.0,1.0,20.0,15.0,75.0,42.0,40.0,95.2,62.0,2392.0,2.0,38.6
Green Bay Packers,0.0,0.0,9.0,9.0,13.0,10.0,4.0,2.0,4.0,2.0,30.0,23.0,76.7,29.0,28.0,96.6,65.0,2469.0,1.0,38.0
Pittsburgh Steelers,1.0,1.0,3.0,3.0,8.0,8.0,11.0,8.0,2.0,0.0,25.0,20.0,80.0,32.0,32.0,100.0,66.0,2492.0,1.0,37.8
New York Jets,2.0,2.0,12.0,12.0,7.0,6.0,5.0,3.0,0.0,0.0,26.0,23.0,88.5,32.0,32.0,100.0,61.0,2398.0,0.0,39.3
Houston Oilers,0.0,0.0,8.0,7.0,10.0,7.0,11.0,7.0,3.0,0.0,32.0,21.0,65.6,49.0,46.0,93.9,34.0,1530.0,0.0,45.0
Avg Team,1.0,0.9,7.3,6.9,8.9,7.0,8.4,5.2,2.8,1.0,28.3,21.1,74.4,36.6,35.6,97.4,68.5,2796.0,0.8,40.8
