Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Atlanta Falcons,16,27,289,1,10.7,46,945,0,20.5
2,Indianapolis Colts,16,36,301,0,8.4,60,1519,1,25.3
3,Carolina Panthers,16,41,452,1,11.0,51,1267,1,24.8
4,Dallas Cowboys,16,38,314,1,8.3,47,967,0,20.6
5,Green Bay Packers,16,40,403,0,10.1,80,1824,0,22.8
6,San Diego Chargers,16,23,265,1,11.5,87,1909,1,21.9
7,New Orleans Saints,16,25,358,1,14.3,74,1813,0,24.5
8,New England Patriots,16,20,180,0,9.0,70,1705,0,24.4
9,Philadelphia Eagles,16,39,229,0,5.9,81,1907,0,23.5
10,Jacksonville Jaguars,16,38,159,0,4.2,47,1069,1,22.7
11,New York Jets,16,27,238,0,8.8,70,1685,2,24.1
12,Washington Redskins,16,32,220,0,6.9,56,1104,0,19.7
13,Buffalo Bills,16,49,377,0,7.7,59,1271,0,21.5
14,Baltimore Ravens,16,38,287,1,7.6,77,1565,0,20.3
15,Arizona Cardinals,16,47,493,0,10.5,61,1248,0,20.5
16,San Francisco 49ers,16,57,495,0,8.7,65,1415,1,21.8
17,Denver Broncos,16,36,363,1,10.1,49,1115,1,22.8
18,Tampa Bay Buccaneers,16,38,311,0,8.2,46,878,0,19.1
19,Oakland Raiders,16,63,459,0,7.3,42,1078,1,25.7
20,Pittsburgh Steelers,16,33,325,0,9.8,74,1795,4,24.3
21,Cincinnati Bengals,16,39,393,0,10.1,58,1289,0,22.2
22,Tennessee Titans,16,29,208,0,7.2,71,1714,1,24.1
23,Minnesota Vikings,16,33,260,1,7.9,91,2060,0,22.6
24,Seattle Seahawks,16,43,479,1,11.1,46,1059,0,23.0
25,New York Giants,16,28,258,1,9.2,77,1619,0,21.0
26,Cleveland Browns,16,40,262,0,6.6,52,984,0,18.9
27,Miami Dolphins,16,43,369,0,8.6,71,1557,0,21.9
28,Houston Texans,16,24,104,0,4.3,71,1597,0,22.5
29,Kansas City Chiefs,16,40,285,0,7.1,60,1446,2,24.1
30,St. Louis Rams,16,41,260,0,6.3,43,1032,1,24.0
31,Chicago Bears,16,34,272,0,8.0,64,1552,0,24.3
32,Detroit Lions,16,41,354,0,8.6,58,1353,1,23.3
,Avg Team,,36.9,313.2,0.3,8.5,62.6,1416.9,0.6,22.6
,League Total,,1182,10022,10,8.5,2004,45341,18,22.6
,Avg Tm/G,,2.3,19.6,0.0,8.5,3.9,88.6,0.0,22.6
