Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,New Orleans Saints,16,24,99,0,4.1,39,1029,0,26.4
2,Arizona Cardinals,16,32,284,0,8.9,37,967,0,26.1
3,San Diego Chargers,16,35,366,0,10.5,67,1488,0,22.2
4,Houston Texans,16,32,396,0,12.4,45,1169,0,26.0
5,Detroit Lions,16,30,311,1,10.4,20,544,0,27.2
6,Green Bay Packers,16,22,191,1,8.7,58,1421,1,24.5
7,Tampa Bay Buccaneers,16,32,185,1,5.8,37,868,0,23.5
8,Dallas Cowboys,16,25,240,0,9.6,43,921,0,21.4
9,Cleveland Browns,16,42,295,0,7.0,31,695,0,22.4
10,Washington Redskins,16,42,397,1,9.5,43,1111,1,25.8
11,Miami Dolphins,16,36,349,0,9.7,46,1237,1,26.9
12,Pittsburgh Steelers,16,27,220,0,8.1,54,1249,1,23.1
13,Carolina Panthers,16,28,435,1,15.5,18,584,0,32.4
14,Atlanta Falcons,16,26,250,0,9.6,36,820,0,22.8
15,Baltimore Ravens,16,23,166,0,7.2,26,601,0,23.1
16,Buffalo Bills,16,38,246,0,6.5,32,639,0,20.0
17,New England Patriots,16,29,267,0,9.2,45,955,0,21.2
18,Denver Broncos,16,33,371,1,11.2,35,905,0,25.9
19,New York Giants,16,37,391,1,10.6,32,587,0,18.3
20,Philadelphia Eagles,16,29,238,1,8.2,52,1183,0,22.8
21,Seattle Seahawks,16,17,195,1,11.5,43,1035,0,24.1
22,Chicago Bears,16,33,335,1,10.2,35,614,0,17.5
23,Tennessee Titans,16,43,350,0,8.1,31,855,1,27.6
24,San Francisco 49ers,16,36,336,1,9.3,40,907,0,22.7
25,Jacksonville Jaguars,16,52,464,0,8.9,22,516,0,23.5
26,Minnesota Vikings,16,39,255,0,6.5,28,579,0,20.7
27,St. Louis Rams,16,28,192,0,6.9,35,849,1,24.3
28,Indianapolis Colts,16,35,205,0,5.9,26,587,0,22.6
29,Oakland Raiders,16,47,513,1,10.9,21,683,0,32.5
30,Cincinnati Bengals,16,30,226,1,7.5,44,1123,0,25.5
31,New York Jets,16,25,250,0,10.0,51,1110,0,21.8
32,Kansas City Chiefs,16,29,190,0,6.6,54,1293,0,23.9
,Avg Team,,32.4,287.8,0.4,8.9,38.3,910.1,0.2,23.8
,League Total,,1036,9208,13,8.9,1226,29124,6,23.8
,Avg Tm/G,,2.0,18.0,0.0,8.9,2.4,56.9,0.0,23.8
