Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Dallas Cowboys,16,22,216,0,9.8,85,1661,0,19.5
2,Miami Dolphins,16,35,265,0,7.6,85,1782,0,21.0
3,San Francisco 49ers,16,26,287,0,11.0,82,1857,0,22.6
4,Detroit Lions,16,29,442,1,15.2,80,1828,0,22.9
5,Denver Broncos,16,25,137,0,5.5,77,1671,2,21.7
6,Indianapolis Colts,16,37,374,0,10.1,68,1546,1,22.7
7,Washington Redskins,16,26,173,0,6.7,70,1434,1,20.5
8,Chicago Bears,16,28,257,1,9.2,72,1570,0,21.8
9,Arizona Cardinals,16,32,242,0,7.6,65,1593,2,24.5
10,Houston Oilers,16,35,288,1,8.2,78,1467,0,18.8
11,Cleveland Browns,16,34,296,0,8.7,63,1172,0,18.6
12,Philadelphia Eagles,16,38,484,2,12.7,61,1576,0,25.8
13,Cincinnati Bengals,16,27,154,0,5.7,65,1475,0,22.7
14,New York Giants,16,34,297,1,8.7,54,1129,0,20.9
15,Oakland Raiders,16,38,294,0,7.7,68,1469,0,21.6
16,San Diego Chargers,16,35,429,1,12.3,63,1496,0,23.7
17,New Orleans Saints,16,36,240,0,6.7,68,1348,0,19.8
18,Jacksonville Jaguars,16,46,323,0,7.0,54,1278,1,23.7
19,Carolina Panthers,16,39,342,0,8.8,62,1159,0,18.7
20,Tampa Bay Buccaneers,16,40,335,0,8.4,46,856,0,18.6
21,Minnesota Vikings,16,41,446,1,10.9,74,1581,0,21.4
22,Atlanta Falcons,16,28,184,0,6.6,59,1323,0,22.4
23,Seattle Seahawks,16,48,545,0,11.4,70,1669,2,23.8
24,Kansas City Chiefs,16,42,433,0,10.3,71,1448,0,20.4
25,New York Jets,16,62,737,0,11.9,42,987,0,23.5
26,Pittsburgh Steelers,16,22,186,0,8.5,88,1544,0,17.5
27,Buffalo Bills,16,23,224,1,9.7,73,1615,0,22.1
28,New England Patriots,16,40,342,0,8.6,67,1405,0,21.0
29,Green Bay Packers,16,36,279,0,7.8,74,1581,0,21.4
30,St. Louis Rams,16,38,392,1,10.3,59,1247,0,21.1
,Avg Team,,34.7,327.3,0.3,9.4,68.1,1458.9,0.3,21.4
,League Total,,1042,9819,10,9.4,2043,43767,9,21.4
,Avg Tm/G,,2.2,20.5,0.0,9.4,4.3,91.2,0.0,21.4
