Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Cincinnati Bengals,16,42,416,0,9.9,80,1612,1,20.2
2,Tampa Bay Buccaneers,16,52,668,1,12.8,64,1332,0,20.8
3,Buffalo Bills,16,34,220,0,6.5,61,1268,1,20.8
4,San Francisco 49ers,16,57,664,1,11.6,67,1389,0,20.7
5,New England Patriots,16,35,305,1,8.7,68,1326,0,19.5
6,Baltimore Colts,16,44,402,0,9.1,43,864,0,20.1
7,Green Bay Packers,16,50,511,0,10.2,70,1183,0,16.9
8,Dallas Cowboys,16,38,231,0,6.1,71,1508,0,21.2
9,Denver Broncos,16,46,388,0,8.4,47,1007,0,21.4
10,Miami Dolphins,16,45,286,0,6.4,60,1218,0,20.3
11,San Diego Chargers,16,31,168,0,5.4,88,1528,0,17.4
12,Philadelphia Eagles,16,34,246,0,7.2,60,1334,0,22.2
13,Seattle Seahawks,16,33,153,0,4.6,67,1177,0,17.6
14,Kansas City Chiefs,16,46,293,0,6.4,68,1296,0,19.1
15,Pittsburgh Steelers,16,34,358,2,10.5,52,1253,0,24.1
16,Minnesota Vikings,16,46,399,1,8.7,62,1260,0,20.3
17,New York Jets,16,31,149,0,4.8,63,1415,0,22.5
18,Chicago Bears,16,66,594,1,9.0,44,937,0,21.3
19,New Orleans Saints,16,36,282,0,7.8,50,966,0,19.3
20,Atlanta Falcons,16,59,577,2,9.8,67,1286,0,19.2
21,Houston Oilers,16,47,360,0,7.7,59,1201,0,20.4
22,Detroit Lions,16,39,299,0,7.7,70,1257,0,18.0
23,Washington Redskins,16,50,388,1,7.8,69,1275,0,18.5
24,Los Angeles Rams,16,52,481,0,9.3,60,1443,2,24.1
25,St. Louis Cardinals,16,37,276,0,7.5,55,1163,0,21.1
26,New York Giants,16,61,561,1,9.2,50,959,0,19.2
27,Cleveland Browns,16,30,253,0,8.4,45,1156,0,25.7
28,Oakland Raiders,16,45,514,0,11.4,49,1068,1,21.8
,Avg Team,,43.6,372.9,0.4,8.6,61.0,1238.6,0.2,20.3
,League Total,,1220,10442,11,8.6,1709,34681,5,20.3
,Avg Tm/G,,2.7,23.3,0.0,8.6,3.8,77.4,0.0,20.3
