Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,San Francisco 49ers,16,49,373,0,7.6,71,1598,1,22.5
2,Buffalo Bills,16,32,260,0,8.1,56,1157,0,20.7
3,Minnesota Vikings,16,40,356,0,8.9,79,1532,0,19.4
4,New York Giants,16,41,386,0,9.4,70,1362,0,19.5
5,Kansas City Chiefs,16,52,572,1,11.0,71,1278,0,18.0
6,Cincinnati Bengals,16,19,182,0,9.6,80,1611,1,20.1
7,Philadelphia Eagles,16,63,634,2,10.1,62,1261,0,20.3
8,Atlanta Falcons,16,47,477,3,10.1,59,1190,0,20.2
9,New England Patriots,16,60,565,0,9.4,81,1480,0,18.3
10,Los Angeles Rams,16,47,416,0,8.9,64,1282,0,20.0
11,Tampa Bay Buccaneers,16,39,414,3,10.6,46,1009,1,21.9
12,Denver Broncos,16,40,362,0,9.1,65,1299,0,20.0
13,Pittsburgh Steelers,16,34,364,0,10.7,56,1362,3,24.3
14,Houston Oilers,16,40,303,0,7.6,32,695,0,21.7
15,New York Jets,16,36,165,0,4.6,62,1307,0,21.1
16,San Diego Chargers,16,43,370,1,8.6,60,1088,0,18.1
17,New Orleans Saints,16,37,234,0,6.3,35,662,0,18.9
18,Cleveland Browns,16,44,268,0,6.1,78,1476,1,18.9
19,Seattle Seahawks,16,38,298,0,7.8,59,1002,0,17.0
20,Miami Dolphins,16,23,200,0,8.7,53,997,0,18.8
21,Dallas Cowboys,16,41,301,0,7.3,66,1358,0,20.6
22,Chicago Bears,16,23,110,0,4.8,64,1376,0,21.5
23,Green Bay Packers,16,44,287,0,6.5,62,1181,0,19.0
24,Indianapolis Colts,16,52,533,1,10.3,43,827,0,19.2
25,Detroit Lions,16,39,517,2,13.3,56,1096,0,19.6
26,Washington Redskins,16,36,220,0,6.1,50,1005,0,20.1
27,St. Louis Cardinals,16,44,296,0,6.7,50,886,0,17.7
28,Los Angeles Raiders,16,42,357,1,8.5,63,1064,0,16.9
,Avg Team,,40.9,350.7,0.5,8.6,60.5,1194.3,0.3,19.8
,League Total,,1145,9820,14,8.6,1693,33441,7,19.8
,Avg Tm/G,,2.6,21.9,0.0,8.6,3.8,74.6,0.0,19.8
