Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Miami Dolphins,16,27,371,1,13.7,63,1370,0,21.7
2,New York Jets,16,36,319,1,8.9,58,1135,0,19.6
3,Minnesota Vikings,16,36,328,0,9.1,68,1491,0,21.9
4,Los Angeles Rams,16,43,297,0,6.9,66,1253,0,19.0
5,San Francisco 49ers,16,33,294,1,8.9,72,1485,1,20.6
6,San Diego Chargers,16,36,274,0,7.6,68,1363,0,20.0
7,Chicago Bears,16,23,203,0,8.8,78,1827,0,23.4
8,Houston Oilers,16,45,345,0,7.7,39,970,0,24.9
9,Denver Broncos,16,38,325,0,8.6,64,1346,1,21.0
10,New England Patriots,16,56,598,0,10.7,76,1434,0,18.9
11,Cincinnati Bengals,16,42,554,1,13.2,81,1734,0,21.4
12,Cleveland Browns,16,36,304,0,8.4,51,884,0,17.3
13,Philadelphia Eagles,16,41,462,1,11.3,65,1293,0,19.9
14,New Orleans Saints,16,45,397,0,8.8,43,968,1,22.5
15,Kansas City Chiefs,16,48,530,1,11.0,69,1626,0,23.6
16,Dallas Cowboys,16,44,289,0,6.6,68,1310,0,19.3
17,New York Giants,16,29,247,0,8.5,79,1697,0,21.5
18,Atlanta Falcons,16,52,417,0,8.0,62,1135,0,18.3
19,Green Bay Packers,16,46,364,0,7.9,71,1570,2,22.1
20,Tampa Bay Buccaneers,16,47,519,0,11.0,51,1187,0,23.3
21,Detroit Lions,16,44,420,0,9.5,60,1313,1,21.9
22,Buffalo Bills,16,49,437,1,8.9,41,798,0,19.5
23,Washington Redskins,16,32,285,0,8.9,53,1186,2,22.4
24,Indianapolis Colts,16,43,572,1,13.3,59,1189,0,20.2
25,Seattle Seahawks,16,47,374,0,8.0,47,918,0,19.5
26,Pittsburgh Steelers,16,43,380,0,8.8,65,1566,0,24.1
27,St. Louis Cardinals,16,51,456,0,8.9,56,1150,0,20.5
28,Los Angeles Raiders,16,26,159,0,6.1,59,1165,0,19.7
,Avg Team,,40.6,377.3,0.3,9.3,61.9,1298.7,0.3,21.0
,League Total,,1138,10565,8,9.3,1732,36363,8,21.0
,Avg Tm/G,,2.5,23.6,0.0,9.3,3.9,81.2,0.0,21.0
