Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Indianapolis Colts,16,27,249,0,9.2,70,1700,0,24.3
2,Tennessee Titans,16,32,290,0,9.1,61,1524,0,25.0
3,New Orleans Saints,16,34,363,0,10.7,76,1827,1,24.0
4,Miami Dolphins,16,37,485,2,13.1,68,1655,0,24.3
5,Cleveland Browns,16,32,235,0,7.3,53,1228,1,23.2
6,San Diego Chargers,16,23,146,0,6.3,86,1943,1,22.6
7,New York Jets,16,29,288,0,9.9,73,1568,0,21.5
8,Pittsburgh Steelers,16,40,247,0,6.2,71,1357,0,19.1
9,Denver Broncos,16,28,330,1,11.8,63,1554,1,24.7
10,New York Giants,16,24,140,0,5.8,85,1912,0,22.5
11,Baltimore Ravens,16,38,245,0,6.4,76,1720,2,22.6
12,Minnesota Vikings,16,42,624,4,14.9,78,1830,0,23.5
13,New England Patriots,16,11,158,0,14.4,75,1672,2,22.3
14,Cincinnati Bengals,16,48,436,1,9.1,47,1059,0,22.5
15,Washington Redskins,16,33,385,2,11.7,55,1103,0,20.1
16,Atlanta Falcons,16,20,49,0,2.5,71,1536,0,21.6
17,Carolina Panthers,16,41,276,1,6.7,59,1292,0,21.9
18,Jacksonville Jaguars,16,31,269,0,8.7,51,1015,0,19.9
19,Houston Texans,16,21,235,1,11.2,73,1630,0,22.3
20,Detroit Lions,16,51,414,2,8.1,57,1332,0,23.4
21,San Francisco 49ers,16,39,364,0,9.3,65,1515,0,23.3
22,Buffalo Bills,16,18,187,0,10.4,63,1247,0,19.8
23,Kansas City Chiefs,16,33,307,0,9.3,62,1465,1,23.6
24,Green Bay Packers,16,33,249,0,7.5,72,1687,0,23.4
25,Dallas Cowboys,16,37,390,0,10.5,71,1510,1,21.3
26,Tampa Bay Buccaneers,16,39,392,0,10.1,74,1542,0,20.8
27,Arizona Cardinals,16,29,381,1,13.1,69,1724,1,25.0
28,St. Louis Rams,16,57,590,0,10.4,56,1469,0,26.2
29,Philadelphia Eagles,16,41,296,0,7.2,75,1698,1,22.6
30,Seattle Seahawks,16,44,444,1,10.1,47,1205,0,25.6
31,Chicago Bears,16,36,203,0,5.6,68,1656,0,24.4
32,Oakland Raiders,16,43,425,0,9.9,44,1074,1,24.4
,Avg Team,,34.1,315.4,0.5,9.3,66.1,1507.8,0.4,22.8
,League Total,,1091,10092,16,9.3,2114,48249,13,22.8
,Avg Tm/G,,2.1,19.7,0.0,9.3,4.1,94.2,0.0,22.8
