Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,New England Patriots,9,26,191,0,7.3,32,614,0,19.2
2,Miami Dolphins,9,14,77,0,5.5,33,704,0,21.3
3,New Orleans Saints,9,29,239,0,8.2,20,388,0,19.4
4,Cincinnati Bengals,9,17,68,0,4.0,45,851,0,18.9
5,Kansas City Chiefs,9,22,338,2,15.4,42,794,0,18.9
6,Seattle Seahawks,9,19,69,0,3.6,24,361,0,15.0
7,Atlanta Falcons,9,24,197,0,8.2,30,678,0,22.6
8,New York Jets,9,17,153,1,9.0,35,743,1,21.2
9,Baltimore Colts,9,26,226,0,8.7,25,538,0,21.5
10,San Diego Chargers,9,7,86,0,12.3,51,991,0,19.4
11,Chicago Bears,9,34,314,0,9.2,30,537,0,17.9
12,Tampa Bay Buccaneers,9,23,192,0,8.3,40,870,0,21.8
13,Green Bay Packers,9,27,286,0,10.6,45,875,1,19.4
14,Cleveland Browns,9,30,216,0,7.2,23,424,0,18.4
15,Minnesota Vikings,9,30,176,0,5.9,38,663,0,17.4
16,Denver Broncos,9,25,227,0,9.1,26,541,0,20.8
17,Philadelphia Eagles,9,31,316,0,10.2,39,885,0,22.7
18,Detroit Lions,9,26,237,0,9.1,38,755,0,19.9
19,Buffalo Bills,9,10,30,0,3.0,34,604,0,17.8
20,Los Angeles Raiders,9,17,71,0,4.2,43,851,0,19.8
21,Dallas Cowboys,9,21,118,0,5.6,41,936,0,22.8
22,Pittsburgh Steelers,9,28,182,0,6.5,36,821,0,22.8
23,Houston Oilers,9,35,293,0,8.4,26,564,0,21.7
24,San Francisco 49ers,9,20,224,1,11.2,40,857,0,21.4
25,Los Angeles Rams,9,31,401,1,12.9,36,844,0,23.4
26,St. Louis Cardinals,9,36,288,0,8.0,27,558,0,20.7
27,Washington Redskins,9,30,106,0,3.5,42,726,0,17.3
28,New York Giants,9,25,207,0,8.3,34,616,0,18.1
,Avg Team,,24.3,197.4,0.2,8.1,34.8,699.6,0.1,20.1
,League Total,,680,5528,5,8.1,975,19589,2,20.1
,Avg Tm/G,,2.7,21.9,0.0,8.1,3.9,77.7,0.0,20.1
