Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,New York Jets,16,34,221,0,6.5,72,1557,1,21.6
2,Carolina Panthers,16,38,303,0,8.0,69,1477,0,21.4
3,Indianapolis Colts,16,29,395,1,13.6,92,1960,0,21.3
4,San Diego Chargers,16,23,164,0,7.1,83,1846,2,22.2
5,Tampa Bay Buccaneers,16,31,279,0,9.0,58,1315,1,22.7
6,New England Patriots,16,31,365,1,11.8,86,2003,1,23.3
7,Denver Broncos,16,32,297,0,9.3,68,1635,1,24.0
8,Philadelphia Eagles,16,34,221,0,6.5,73,1693,0,23.2
9,Washington Redskins,16,65,718,1,11.0,57,1223,1,21.5
10,Atlanta Falcons,16,33,134,0,4.1,56,1117,1,19.9
11,Jacksonville Jaguars,16,38,429,2,11.3,50,995,0,19.9
12,Kansas City Chiefs,16,24,301,2,12.5,85,1908,0,22.4
13,Green Bay Packers,16,34,301,0,8.9,79,1594,0,20.2
14,Cincinnati Bengals,16,51,378,0,7.4,80,1573,0,19.7
15,Minnesota Vikings,16,26,169,0,6.5,75,1869,1,24.9
16,Seattle Seahawks,16,33,244,0,7.4,77,1677,0,21.8
17,New York Giants,16,38,356,0,9.4,66,1278,0,19.4
18,Pittsburgh Steelers,16,34,252,0,7.4,74,1595,1,21.6
19,Detroit Lions,16,46,367,0,8.0,54,1058,0,19.6
20,Oakland Raiders,16,35,395,0,11.3,62,1458,0,23.5
21,Buffalo Bills,16,37,315,0,8.5,77,1406,0,18.3
22,Houston Texans,16,30,265,0,8.8,60,1386,1,23.1
23,Cleveland Browns,16,48,313,0,6.5,59,1336,1,22.6
24,Arizona Cardinals,16,56,475,1,8.5,46,1017,1,22.1
25,St. Louis Rams,16,35,416,1,11.9,66,1680,1,25.5
26,San Francisco 49ers,16,51,445,0,8.7,56,1119,0,20.0
27,Tennessee Titans,16,31,195,1,6.3,69,1389,0,20.1
28,Chicago Bears,16,57,380,0,6.7,54,1160,0,21.5
29,Baltimore Ravens,16,36,281,0,7.8,65,1509,2,23.2
30,Miami Dolphins,16,45,258,0,5.7,51,1114,1,21.8
31,Dallas Cowboys,16,39,410,0,10.5,62,1083,0,17.5
32,New Orleans Saints,16,43,310,1,7.2,74,1710,0,23.1
,Avg Team,,38.0,326.9,0.3,8.6,67.3,1460.6,0.5,21.7
,League Total,,1217,10462,11,8.6,2155,46740,17,21.7
,Avg Tm/G,,2.4,20.4,0.0,8.6,4.2,91.3,0.0,21.7
