Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Indianapolis Colts,16,25,327,1,13.1,78,2029,2,26.0
2,Denver Broncos,16,39,268,0,6.9,55,1480,0,26.9
3,New York Jets,16,28,205,0,7.3,69,1462,0,21.2
4,Pittsburgh Steelers,16,38,219,0,5.8,70,1570,1,22.4
5,Baltimore Ravens,16,44,404,0,9.2,75,1636,0,21.8
6,Miami Dolphins,16,49,367,0,7.5,40,981,0,24.5
7,Jacksonville Jaguars,16,29,343,2,11.8,60,1262,0,21.0
8,Houston Texans,16,36,275,1,7.6,52,1215,1,23.4
9,Philadelphia Eagles,16,41,380,1,9.3,71,1647,0,23.2
10,New England Patriots,16,29,322,2,11.1,68,1547,0,22.8
11,St. Louis Rams,16,27,247,1,9.1,69,1701,2,24.7
12,Cincinnati Bengals,16,42,236,0,5.6,70,1472,0,21.0
13,Kansas City Chiefs,16,32,254,0,7.9,71,1646,0,23.2
14,Arizona Cardinals,16,44,547,1,12.4,58,1481,0,25.5
15,San Diego Chargers,16,27,216,0,8.0,90,1960,0,21.8
16,Buffalo Bills,16,36,265,0,7.4,60,1279,0,21.3
17,New York Giants,16,33,191,0,5.8,65,1455,0,22.4
18,Dallas Cowboys,16,31,334,0,10.8,80,1571,1,19.6
19,Minnesota Vikings,16,50,485,1,9.7,59,1369,1,23.2
20,Atlanta Falcons,16,25,279,0,11.2,53,1093,0,20.6
21,Cleveland Browns,16,43,312,0,7.3,48,1053,1,21.9
22,San Francisco 49ers,16,35,462,1,13.2,65,1373,0,21.1
23,Oakland Raiders,16,34,437,0,12.9,42,1200,0,28.6
24,Detroit Lions,16,38,267,1,7.0,63,1444,0,22.9
25,Chicago Bears,16,38,367,0,9.7,83,1730,0,20.8
26,Carolina Panthers,16,61,390,1,6.4,59,1302,0,22.1
27,New Orleans Saints,16,40,270,0,6.8,72,1598,0,22.2
28,Washington Redskins,16,45,319,0,7.1,67,1396,0,20.8
29,Tampa Bay Buccaneers,16,50,487,1,9.7,46,846,0,18.4
30,Tennessee Titans,16,33,278,0,8.4,58,1263,0,21.8
31,Seattle Seahawks,16,39,343,0,8.8,61,1499,0,24.6
32,Green Bay Packers,16,55,503,1,9.1,60,1348,0,22.5
,Avg Team,,38.0,332.0,0.5,8.7,63.7,1434.6,0.3,22.5
,League Total,,1216,10623,15,8.7,2037,45908,9,22.5
,Avg Tm/G,,2.4,20.7,0.0,8.7,4.0,89.7,0.0,22.5
