Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Buffalo Bills,16,31,251,0,8.1,73,1129,0,15.5
2,Houston Oilers,16,23,186,1,8.1,71,1329,1,18.7
3,Miami Dolphins,16,40,397,0,9.9,53,1092,0,20.6
4,Kansas City Chiefs,16,44,411,2,9.3,81,1391,0,17.2
5,Seattle Seahawks,16,29,254,2,8.8,51,910,0,17.8
6,Tampa Bay Buccaneers,16,39,352,0,9.0,43,1036,0,24.1
7,Pittsburgh Steelers,16,16,105,0,6.6,56,1245,1,22.2
8,New York Giants,16,41,291,0,7.1,65,1245,1,19.2
9,San Diego Chargers,16,28,131,0,4.7,62,1048,0,16.9
10,Chicago Bears,16,39,322,0,8.3,73,1494,0,20.5
11,New York Jets,16,35,269,0,7.7,61,1185,1,19.4
12,Cincinnati Bengals,16,36,352,1,9.8,43,945,0,22.0
13,Atlanta Falcons,16,39,314,0,8.1,49,814,0,16.6
14,Dallas Cowboys,16,43,438,1,10.2,55,1136,1,20.7
15,Philadelphia Eagles,16,37,338,1,9.1,74,1408,0,19.0
16,Green Bay Packers,16,34,266,0,7.8,56,1125,0,20.1
17,Los Angeles Rams,16,46,420,0,9.1,68,1406,0,20.7
18,Los Angeles Raiders,16,24,153,0,6.4,49,1026,0,20.9
19,Denver Broncos,16,22,159,0,7.2,69,1319,0,19.1
20,Minnesota Vikings,16,44,513,0,11.7,62,1350,0,21.8
21,Phoenix Cardinals,16,41,258,0,6.3,56,1060,0,18.9
22,Indianapolis Colts,16,42,334,0,8.0,49,961,0,19.6
23,San Francisco 49ers,16,30,215,0,7.2,66,1284,0,19.5
24,Cleveland Browns,16,41,425,0,10.4,45,805,0,17.9
25,New Orleans Saints,16,43,302,0,7.0,36,583,0,16.2
26,Detroit Lions,16,29,233,0,8.0,70,1229,1,17.6
27,New England Patriots,16,50,503,0,10.1,38,665,0,17.5
28,Washington Redskins,16,30,205,0,6.8,58,1008,0,17.4
,Avg Team,,35.6,299.9,0.3,8.4,58.3,1115.3,0.2,19.1
,League Total,,996,8397,8,8.4,1632,31228,6,19.1
,Avg Tm/G,,2.2,18.7,0.0,8.4,3.6,69.7,0.0,19.1
