Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Indianapolis Colts,16,25,272,0,10.9,89,1978,1,22.2
2,Denver Broncos,16,36,266,0,7.4,67,1696,0,25.3
3,Washington Redskins,16,40,189,0,4.7,72,1503,0,20.9
4,Seattle Seahawks,16,41,343,0,8.4,82,1802,1,22.0
5,Carolina Panthers,16,36,235,0,6.5,80,1702,0,21.3
6,Cincinnati Bengals,16,32,260,0,8.1,85,1787,1,21.0
7,Baltimore Ravens,16,55,481,1,8.7,62,1352,0,21.8
8,Atlanta Falcons,16,35,238,0,6.8,59,1138,0,19.3
9,Chicago Bears,16,39,312,1,8.0,63,1255,0,19.9
10,Pittsburgh Steelers,16,37,336,0,9.1,77,1685,0,21.9
11,Jacksonville Jaguars,16,29,236,1,8.1,56,1327,0,23.7
12,Buffalo Bills,16,42,285,0,6.8,64,1308,1,20.4
13,St. Louis Rams,16,39,410,1,10.5,70,1781,0,25.4
14,Cleveland Browns,16,36,347,0,9.6,56,1182,0,21.1
15,New York Jets,16,36,305,0,8.5,60,1250,0,20.8
16,San Diego Chargers,16,26,244,0,9.4,83,1856,0,22.4
17,San Francisco 49ers,16,62,471,0,7.6,48,960,0,20.0
18,Dallas Cowboys,16,33,250,0,7.6,66,1432,0,21.7
19,Detroit Lions,16,50,520,2,10.4,55,1239,1,22.5
20,New England Patriots,16,42,405,0,9.6,68,1487,0,21.9
21,Tampa Bay Buccaneers,16,49,458,0,9.3,63,1368,1,21.7
22,Kansas City Chiefs,16,23,179,0,7.8,83,2053,1,24.7
23,Miami Dolphins,16,46,227,0,4.9,56,1425,0,25.4
24,New York Giants,16,36,309,1,8.6,85,1867,1,22.0
25,Minnesota Vikings,16,45,495,0,11.0,67,1416,0,21.1
26,Houston Texans,16,33,219,1,6.6,55,1194,0,21.7
27,Tennessee Titans,16,32,144,0,4.5,57,1290,0,22.6
28,Oakland Raiders,16,39,460,0,11.8,56,1369,0,24.4
29,Green Bay Packers,16,49,339,0,6.9,65,1404,0,21.6
30,New Orleans Saints,16,33,260,0,7.9,61,1404,0,23.0
31,Philadelphia Eagles,16,57,310,0,5.4,67,1416,1,21.1
32,Arizona Cardinals,16,39,328,1,8.4,60,1700,3,28.3
,Avg Team,,39.1,316.9,0.3,8.1,66.8,1488.3,0.4,22.3
,League Total,,1252,10141,9,8.1,2137,47626,12,22.3
,Avg Tm/G,,2.4,19.8,0.0,8.1,4.2,93.0,0.0,22.3
