Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Tennessee Titans,16,28,311,2,11.1,74,1482,0,20.0
2,Tampa Bay Buccaneers,16,42,433,0,10.3,72,1567,0,21.8
3,Oakland Raiders,16,21,297,0,14.1,74,1826,1,24.7
4,Jacksonville Jaguars,16,39,286,0,7.3,59,1151,0,19.5
5,New York Giants,16,30,230,0,7.7,74,1661,0,22.4
6,Miami Dolphins,16,39,273,0,7.0,69,1540,0,22.3
7,Atlanta Falcons,16,23,109,0,4.7,73,1607,0,22.0
8,Kansas City Chiefs,16,27,274,0,10.1,88,1880,0,21.4
9,San Francisco 49ers,16,37,340,2,9.2,73,1665,1,22.8
10,Denver Broncos,16,23,223,0,9.7,81,1781,0,22.0
11,Philadelphia Eagles,16,30,420,2,14.0,76,1637,1,21.5
12,Cleveland Browns,16,42,408,1,9.7,67,1366,0,20.4
13,Seattle Seahawks,16,17,202,1,11.9,73,1591,2,21.8
14,Indianapolis Colts,16,27,156,0,5.8,74,1515,0,20.5
15,Buffalo Bills,16,29,294,0,10.1,76,1634,2,21.5
16,New York Jets,16,33,203,0,6.2,74,1574,1,21.3
17,Baltimore Ravens,16,40,471,2,11.8,67,1512,1,22.6
18,Dallas Cowboys,16,58,602,0,10.4,48,1095,0,22.8
19,St. Louis Rams,16,34,463,1,13.6,57,1354,2,23.8
20,New England Patriots,16,24,181,0,7.5,73,1493,0,20.5
21,Green Bay Packers,16,41,286,0,7.0,83,1800,0,21.7
22,San Diego Chargers,16,36,369,1,10.3,53,1059,0,20.0
23,Cincinnati Bengals,16,41,611,3,14.9,57,1191,1,20.9
24,Pittsburgh Steelers,16,32,352,1,11.0,78,1671,1,21.4
25,Minnesota Vikings,16,21,131,0,6.2,76,1749,2,23.0
26,Arizona Cardinals,16,42,547,3,13.0,58,1407,0,24.3
27,Carolina Panthers,16,63,554,0,8.8,50,926,0,18.5
28,Chicago Bears,16,46,386,0,8.4,61,1361,0,22.3
29,Washington Redskins,16,37,507,1,13.7,62,1392,1,22.5
30,New Orleans Saints,16,38,209,0,5.5,85,1817,0,21.4
31,Detroit Lions,16,53,239,0,4.5,68,1560,0,22.9
32,Houston Texans,16,58,328,0,5.7,52,1156,1,22.2
,Avg Team,,36.0,342.8,0.7,9.5,68.9,1500.6,0.5,21.8
,League Total,,1151,10971,22,9.5,2205,48020,17,21.8
,Avg Tm/G,,2.2,21.4,0.0,9.5,4.3,93.8,0.0,21.8
