Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Minnesota Vikings,16,27,325,1,12.0,73,2008,4,27.5
2,Atlanta Falcons,16,20,112,0,5.6,69,1613,1,23.4
3,Pittsburgh Steelers,16,30,310,0,10.3,64,1212,0,18.9
4,Dallas Cowboys,16,34,210,0,6.2,69,1274,0,18.5
5,Chicago Bears,16,38,349,1,9.2,55,1097,0,19.9
6,Buffalo Bills,16,32,374,1,11.7,77,1638,0,21.3
7,Philadelphia Eagles,16,61,511,1,8.4,40,764,0,19.1
8,Tennessee Oilers,16,34,332,0,9.8,55,1114,0,20.3
9,New Orleans Saints,16,53,649,0,12.2,52,1128,0,21.7
10,New England Patriots,16,43,493,0,11.5,71,1335,0,18.8
11,Denver Broncos,16,43,381,0,8.9,89,2006,0,22.5
12,Miami Dolphins,16,43,339,0,7.9,56,1227,1,21.9
13,New York Jets,16,30,309,1,10.3,60,1370,0,22.8
14,Tampa Bay Buccaneers,16,38,302,1,7.9,62,1333,1,21.5
15,Kansas City Chiefs,16,41,513,1,12.5,69,1374,0,19.9
16,Cincinnati Bengals,16,36,503,1,14.0,46,1199,0,26.1
17,New York Giants,16,53,587,1,11.1,51,1234,0,24.2
18,Detroit Lions,16,47,471,1,10.0,49,1196,1,24.4
19,Seattle Seahawks,16,33,369,1,11.2,68,1311,0,19.3
20,Indianapolis Colts,16,42,451,0,10.7,65,1688,1,26.0
21,Arizona Cardinals,16,38,313,0,8.2,56,1200,0,21.4
22,San Francisco 49ers,16,36,341,0,9.5,67,1296,0,19.3
23,Jacksonville Jaguars,16,40,332,0,8.3,76,1858,1,24.4
24,Green Bay Packers,16,27,237,1,8.8,74,1807,2,24.4
25,St. Louis Rams,16,58,652,1,11.2,47,1020,0,21.7
26,Oakland Raiders,16,53,787,1,14.8,60,1388,0,23.1
27,Baltimore Ravens,16,40,284,1,7.1,57,1168,2,20.5
28,Washington Redskins,16,32,261,0,8.2,61,1569,2,25.7
29,San Diego Chargers,16,49,515,1,10.5,54,1484,1,27.5
30,Carolina Panthers,16,20,94,0,4.7,65,1439,1,22.1
,Avg Team,,39.0,390.2,0.5,10.0,61.9,1378.3,0.6,22.3
,League Total,,1171,11706,16,10.0,1857,41350,18,22.3
,Avg Tm/G,,2.4,24.4,0.0,10.0,3.9,86.1,0.0,22.3
