Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Washington Redskins,16,40,393,0,9.8,60,1238,0,20.6
2,Miami Dolphins,16,29,185,0,6.4,47,1010,0,21.5
3,New York Jets,16,22,322,1,14.6,71,1496,0,21.1
4,Tampa Bay Buccaneers,16,39,489,0,12.5,59,1393,0,23.6
5,Kansas City Chiefs,16,38,327,1,8.6,87,2043,0,23.5
6,Indianapolis Colts,16,32,319,0,10.0,93,1999,2,21.5
7,Philadelphia Eagles,16,35,272,0,7.8,74,1590,1,21.5
8,Denver Broncos,16,46,560,1,12.2,73,1679,0,23.0
9,Seattle Seahawks,16,29,140,0,4.8,79,1626,0,20.6
10,Green Bay Packers,16,32,316,0,9.9,82,1707,1,20.8
11,Jacksonville Jaguars,16,40,420,0,10.5,58,1227,0,21.2
12,Arizona Cardinals,16,41,472,2,11.5,48,1042,0,21.7
13,San Francisco 49ers,16,28,258,1,9.2,77,1641,0,21.3
14,Cincinnati Bengals,16,47,403,0,8.6,71,1470,0,20.7
15,Buffalo Bills,16,52,577,0,11.1,55,1080,0,19.6
16,Tennessee Titans,16,30,276,1,9.2,81,1521,0,18.8
17,Carolina Panthers,16,35,402,1,11.5,70,1425,0,20.4
18,New York Giants,16,40,432,2,10.8,56,1128,0,20.1
19,Minnesota Vikings,16,29,310,0,10.7,75,1608,0,21.4
20,Cleveland Browns,16,33,316,0,9.6,60,1231,0,20.5
21,St. Louis Rams,16,32,484,2,15.1,83,1985,2,23.9
22,Baltimore Ravens,16,42,345,0,8.2,70,1495,1,21.4
23,New England Patriots,16,38,240,1,6.3,77,1623,0,21.1
24,Dallas Cowboys,16,34,227,0,6.7,66,1448,0,21.9
25,New Orleans Saints,16,36,294,0,8.2,67,1587,2,23.7
26,Chicago Bears,16,36,277,0,7.7,64,1367,1,21.4
27,Pittsburgh Steelers,16,47,299,0,6.4,66,1359,1,20.6
28,Oakland Raiders,16,52,669,0,12.9,57,1474,0,25.9
29,Detroit Lions,16,59,390,1,6.6,53,1313,1,24.8
30,Houston Texans,16,43,410,1,9.5,53,1149,0,21.7
31,Atlanta Falcons,16,35,301,1,8.6,62,1204,0,19.4
32,San Diego Chargers,16,38,409,2,10.8,67,1437,1,21.4
,Avg Team,,37.8,360.6,0.6,9.5,67.5,1456.1,0.4,21.6
,League Total,,1209,11540,18,9.5,2161,46595,13,21.6
,Avg Tm/G,,2.4,22.5,0.0,9.5,4.2,91.0,0.0,21.6
