Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Indianapolis Colts,16,22,305,1,13.9,81,2029,3,25.0
2,San Diego Chargers,16,29,311,0,10.7,75,1566,0,20.9
3,Denver Broncos,16,31,334,2,10.8,62,1424,1,23.0
4,Jacksonville Jaguars,16,28,218,0,7.8,67,1323,2,19.7
5,Dallas Cowboys,16,35,406,1,11.6,86,1979,1,23.0
6,Minnesota Vikings,16,43,440,1,10.2,65,1441,0,22.2
7,New England Patriots,16,14,75,0,5.4,92,2030,1,22.1
8,Detroit Lions,16,36,434,0,12.1,65,1750,2,26.9
9,Pittsburgh Steelers,16,31,266,1,8.6,73,1647,1,22.6
10,Carolina Panthers,16,55,579,1,10.5,56,1333,0,23.8
11,New York Jets,16,32,268,0,8.4,51,1270,1,24.9
12,Tennessee Titans,16,31,274,1,8.8,58,1404,0,24.2
13,New Orleans Saints,16,35,335,1,9.6,56,1256,1,22.4
14,Tampa Bay Buccaneers,16,38,280,0,7.4,68,1328,1,19.5
15,Cincinnati Bengals,16,33,299,1,9.1,76,1732,0,22.8
16,Baltimore Ravens,16,38,375,0,9.9,61,1444,0,23.7
17,Buffalo Bills,16,37,196,0,5.3,56,1150,1,20.5
18,Miami Dolphins,16,39,387,0,9.9,50,1292,2,25.8
19,Cleveland Browns,16,34,308,1,9.1,76,1590,0,20.9
20,Washington Redskins,16,32,202,0,6.3,66,1289,1,19.5
21,Kansas City Chiefs,16,50,387,1,7.7,51,1105,0,21.7
22,Houston Texans,16,19,151,0,7.9,69,1593,0,23.1
23,Atlanta Falcons,16,41,307,0,7.5,50,1148,1,23.0
24,New York Giants,16,28,173,0,6.2,69,1596,1,23.1
25,Green Bay Packers,16,19,113,0,5.9,77,1610,0,20.9
26,Seattle Seahawks,16,37,362,0,9.8,72,1790,0,24.9
27,Chicago Bears,16,40,236,0,5.9,71,1370,1,19.3
28,St. Louis Rams,16,48,396,0,8.3,58,1578,2,27.2
29,Philadelphia Eagles,16,36,409,1,11.4,69,1536,0,22.3
30,Oakland Raiders,16,40,389,2,9.7,43,963,1,22.4
31,Arizona Cardinals,16,38,496,1,13.1,60,1389,0,23.2
32,San Francisco 49ers,16,53,402,1,7.6,45,982,1,21.8
,Avg Team,,35.1,319.1,0.5,9.1,64.8,1466.8,0.8,22.6
,League Total,,1122,10210,17,9.1,2074,46937,25,22.6
,Avg Tm/G,,2.2,19.9,0.0,9.1,4.1,91.7,0.0,22.6
