Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Kansas City Chiefs,16,39,255,0,6.5,80,1672,0,20.9
2,Tennessee Oilers,16,36,430,0,11.9,71,1528,0,21.5
3,San Francisco 49ers,16,41,270,0,6.6,82,1746,0,21.3
4,Jacksonville Jaguars,16,29,241,0,8.3,77,1730,0,22.5
5,Miami Dolphins,16,43,323,0,7.5,53,1018,0,19.2
6,Denver Broncos,16,26,235,1,9.0,89,1827,0,20.5
7,Washington Redskins,16,33,237,0,7.2,67,1515,0,22.6
8,New York Giants,16,40,382,0,9.6,49,1163,1,23.7
9,New England Patriots,16,38,437,0,11.5,75,1651,1,22.0
10,Indianapolis Colts,16,43,491,0,11.4,64,1544,1,24.1
11,Pittsburgh Steelers,16,23,271,0,11.8,74,1556,1,21.0
12,Minnesota Vikings,16,49,566,1,11.6,67,1398,0,20.9
13,Philadelphia Eagles,16,48,515,1,10.7,66,1548,0,23.5
14,Cincinnati Bengals,16,35,407,2,11.6,67,1406,0,21.0
15,Tampa Bay Buccaneers,16,42,388,0,9.2,44,957,1,21.8
16,Atlanta Falcons,16,21,55,0,2.6,52,1167,0,22.4
17,Green Bay Packers,16,32,255,0,8.0,78,1599,0,20.5
18,Carolina Panthers,16,38,428,2,11.3,55,1276,1,23.2
19,New Orleans Saints,16,50,706,1,14.1,51,1139,0,22.3
20,Detroit Lions,16,51,434,1,8.5,61,1269,0,20.8
21,St. Louis Rams,16,60,618,1,10.3,54,1262,1,23.4
22,Oakland Raiders,16,52,431,0,8.3,48,1124,0,23.4
23,Dallas Cowboys,16,40,365,0,9.1,65,1172,0,18.0
24,Arizona Cardinals,16,40,441,1,11.0,42,945,1,22.5
25,New York Jets,16,47,459,0,9.8,54,1134,0,21.0
26,Seattle Seahawks,16,38,463,2,12.2,77,1779,1,23.1
27,Baltimore Ravens,16,53,460,0,8.7,58,1323,1,22.8
28,Buffalo Bills,16,44,366,0,8.3,55,1385,3,25.2
29,San Diego Chargers,16,39,416,0,10.7,63,1517,1,24.1
30,Chicago Bears,16,52,727,2,14.0,52,1237,0,23.8
,Avg Team,,40.7,403.5,0.5,9.9,63.0,1386.2,0.5,22.0
,League Total,,1222,12105,15,9.9,1890,41587,14,22.0
,Avg Tm/G,,2.5,25.2,0.0,9.9,3.9,86.6,0.0,22.0
