Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,New York Giants,16,44,247,0,5.6,29,646,0,22.3
2,Los Angeles Rams,16,43,533,2,12.4,47,984,0,20.9
3,Houston Oilers,16,28,249,0,8.9,60,1062,0,17.7
4,Dallas Cowboys,16,32,169,0,5.3,66,1225,1,18.6
5,San Francisco 49ers,16,15,171,0,11.4,61,1196,0,19.6
6,New York Jets,16,26,156,0,6.0,47,911,0,19.4
7,Miami Dolphins,16,32,356,1,11.1,62,1239,0,20.0
8,Buffalo Bills,16,29,247,0,8.5,43,850,0,19.8
9,Chicago Bears,16,22,115,0,5.2,53,918,0,17.3
10,Denver Broncos,16,33,337,0,10.2,63,1119,0,17.8
11,San Diego Chargers,16,36,292,0,8.1,64,1063,0,16.6
12,Kansas City Chiefs,16,43,352,0,8.2,49,1007,0,20.6
13,Seattle Seahawks,16,47,475,1,10.1,52,967,1,18.6
14,Indianapolis Colts,16,41,352,1,8.6,37,551,0,14.9
15,Philadelphia Eagles,16,35,311,1,8.9,53,1133,0,21.4
16,Atlanta Falcons,16,41,350,0,8.5,55,1064,0,19.3
17,Los Angeles Raiders,16,35,301,0,8.6,45,783,0,17.4
18,Phoenix Cardinals,16,30,234,0,7.8,51,994,0,19.5
19,Detroit Lions,16,45,377,0,8.4,30,609,0,20.3
20,Washington Redskins,16,34,343,2,10.1,36,722,0,20.1
21,Minnesota Vikings,16,46,560,1,12.2,58,1420,1,24.5
22,Tampa Bay Buccaneers,16,53,394,0,7.4,28,499,0,17.8
23,New England Patriots,16,34,313,1,9.2,44,921,0,20.9
24,Pittsburgh Steelers,16,50,669,3,13.4,54,1165,1,21.6
25,Cleveland Browns,16,49,438,0,8.9,46,814,0,17.7
26,New Orleans Saints,16,36,341,1,9.5,40,788,0,19.7
27,Green Bay Packers,16,38,350,0,9.2,70,1407,0,20.1
28,Cincinnati Bengals,16,47,416,0,8.9,38,831,0,21.9
,Avg Team,,37.3,339.3,0.5,9.1,49.3,960.3,0.1,19.5
,League Total,,1044,9500,14,9.1,1381,26888,4,19.5
,Avg Tm/G,,2.3,21.2,0.0,9.1,3.1,60.0,0.0,19.5
