Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Miami Dolphins,16,33,382,1,11.6,65,1380,0,21.2
2,Tampa Bay Buccaneers,16,22,117,0,5.3,49,1236,1,25.2
3,Indianapolis Colts,16,45,313,0,7.0,36,630,0,17.5
4,Minnesota Vikings,16,34,339,1,10.0,50,925,0,18.5
5,Kansas City Chiefs,16,41,328,1,8.0,64,1203,0,18.8
6,Houston Oilers,16,31,255,0,8.2,63,989,0,15.7
7,Chicago Bears,16,38,351,1,9.2,50,1027,0,20.5
8,Pittsburgh Steelers,16,39,308,0,7.9,52,1052,0,20.2
9,Detroit Lions,16,30,356,0,11.9,45,948,0,21.1
10,Dallas Cowboys,16,34,397,0,11.7,60,1217,0,20.3
11,San Francisco 49ers,16,23,177,0,7.7,66,1273,0,19.3
12,Cincinnati Bengals,16,32,284,1,8.9,46,1079,2,23.5
13,New York Giants,16,46,548,2,11.9,64,1207,0,18.9
14,Los Angeles Raiders,16,40,385,0,9.6,35,690,0,19.7
15,Phoenix Cardinals,16,22,141,0,6.4,42,767,0,18.3
16,New York Jets,16,26,189,0,7.3,33,552,0,16.7
17,Buffalo Bills,16,22,185,0,8.4,60,1215,1,20.3
18,Denver Broncos,16,38,383,0,10.1,13,254,0,19.5
19,Washington Redskins,16,27,332,1,12.3,54,1074,1,19.9
20,New Orleans Saints,16,31,218,0,7.0,40,923,0,23.1
21,Cleveland Browns,16,26,221,0,8.5,51,907,0,17.8
22,Seattle Seahawks,16,57,415,1,7.3,36,685,0,19.0
23,San Diego Chargers,16,24,244,1,10.2,54,962,0,17.8
24,Green Bay Packers,16,26,230,1,8.8,57,901,0,15.8
25,Atlanta Falcons,16,44,427,3,9.7,55,1059,0,19.3
26,Philadelphia Eagles,16,36,295,0,8.2,53,1027,1,19.4
27,New England Patriots,16,59,499,1,8.5,45,749,0,16.6
28,Los Angeles Rams,16,48,522,1,10.9,55,1128,0,20.5
,Avg Team,,34.8,318.2,0.6,9.1,49.8,966.4,0.2,19.4
,League Total,,974,8909,17,9.1,1393,27059,6,19.4
,Avg Tm/G,,2.2,19.9,0.0,9.1,3.1,60.4,0.0,19.4
