Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,San Francisco 49ers,16,34,290,0,8.5,68,1408,0,20.7
2,Green Bay Packers,16,34,288,0,8.5,76,1520,0,20.0
3,New York Jets,16,34,446,1,13.1,63,1355,0,21.5
4,Tampa Bay Buccaneers,16,44,380,1,8.6,63,1321,0,21.0
5,New England Patriots,16,26,124,0,4.8,75,1658,0,22.1
6,Cincinnati Bengals,16,47,374,0,8.0,46,1157,1,25.2
7,Cleveland Browns,16,52,647,1,12.4,65,1215,0,18.7
8,Philadelphia Eagles,16,56,489,0,8.7,67,1430,0,21.3
9,Oakland Raiders,16,34,491,0,14.4,75,1657,1,22.1
10,Chicago Bears,16,45,327,0,7.3,66,1353,0,20.5
11,Pittsburgh Steelers,16,28,334,0,11.9,73,1561,1,21.4
12,Jacksonville Jaguars,16,38,295,0,7.8,64,1266,0,19.8
13,St. Louis Rams,16,17,167,0,9.8,86,2194,2,25.5
14,Denver Broncos,16,48,517,1,10.8,69,1526,1,22.1
15,Miami Dolphins,16,30,136,0,4.5,59,1189,0,20.2
16,Atlanta Falcons,16,17,130,0,7.6,64,1286,0,20.1
17,Kansas City Chiefs,16,31,288,1,9.3,65,1474,1,22.7
18,Dallas Cowboys,16,38,493,0,13.0,54,1164,0,21.6
19,Baltimore Ravens,16,33,183,0,5.5,64,1393,0,21.8
20,Seattle Seahawks,16,43,462,1,10.7,64,1273,1,19.9
21,Washington Redskins,16,44,434,1,9.9,54,945,0,17.5
22,Tennessee Titans,16,36,264,0,7.3,57,1418,0,24.9
23,New York Giants,16,45,543,1,12.1,66,1593,0,24.1
24,Buffalo Bills,16,40,418,0,10.5,52,987,0,19.0
25,Detroit Lions,16,39,369,1,9.5,53,1143,0,21.6
26,San Diego Chargers,16,32,334,0,10.4,64,1671,0,26.1
27,Arizona Cardinals,16,48,481,0,10.0,53,967,1,18.2
28,Indianapolis Colts,16,35,486,1,13.9,87,2006,0,23.1
29,Carolina Panthers,16,42,425,1,10.1,60,1340,0,22.3
30,Minnesota Vikings,16,34,350,0,10.3,59,1266,1,21.5
31,New Orleans Saints,16,36,316,1,8.8,66,1472,0,22.3
,Avg Team,,37.4,365.7,0.4,9.8,64.4,1393.8,0.3,21.6
,League Total,,1160,11337,12,9.8,1997,43208,10,21.6
,Avg Tm/G,,2.3,22.9,0.0,9.8,4.0,87.1,0.0,21.6
