Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Miami Dolphins,16,48,368,0,7.7,48,1058,0,22.0
2,Chicago Bears,16,42,527,2,12.5,52,1115,1,21.4
3,Washington Redskins,16,35,235,0,6.7,76,1610,0,21.2
4,Minnesota Vikings,16,37,577,0,15.6,53,1314,0,24.8
5,Pittsburgh Steelers,16,32,284,0,8.9,69,1509,1,21.9
6,Houston Oilers,16,31,251,0,8.1,78,1675,0,21.5
7,Tampa Bay Buccaneers,16,38,248,0,6.5,51,972,0,19.1
8,St. Louis Rams,16,41,495,0,12.1,58,1290,2,22.2
9,Dallas Cowboys,16,32,249,0,7.8,70,1431,0,20.4
10,San Francisco 49ers,16,36,235,0,6.5,77,1414,0,18.4
11,Kansas City Chiefs,16,42,492,1,11.7,64,1300,0,20.3
12,Denver Broncos,16,23,261,1,11.3,76,1602,1,21.1
13,Jacksonville Jaguars,16,44,400,0,9.1,71,1674,0,23.6
14,Buffalo Bills,16,40,246,1,6.2,65,1255,0,19.3
15,San Diego Chargers,16,51,612,1,12.0,59,1497,0,25.4
16,Indianapolis Colts,16,38,413,0,10.9,67,1666,0,24.9
17,Oakland Raiders,16,38,272,0,7.2,55,1129,0,20.5
18,Detroit Lions,16,42,519,1,12.4,52,1298,0,25.0
19,Cincinnati Bengals,16,38,502,0,13.2,69,1642,1,23.8
20,Philadelphia Eagles,16,36,330,1,9.2,73,1715,0,23.5
21,Carolina Panthers,16,32,175,0,5.5,71,1429,0,20.1
22,Seattle Seahawks,16,52,593,0,11.4,72,1642,0,22.8
23,Green Bay Packers,16,29,237,0,8.2,76,1649,0,21.7
24,New York Jets,16,40,429,0,10.7,58,1485,1,25.6
25,New York Giants,16,45,432,2,9.6,42,948,0,22.6
26,New Orleans Saints,16,43,546,1,12.7,52,1155,0,22.2
27,Arizona Cardinals,16,37,403,1,10.9,61,1290,1,21.1
28,New England Patriots,16,34,334,0,9.8,81,1683,0,20.8
29,Atlanta Falcons,16,32,413,1,12.9,53,1314,1,24.8
30,Baltimore Ravens,16,27,273,0,10.1,70,1402,0,20.0
,Avg Team,,37.8,379.9,0.4,10.0,64.0,1405.4,0.3,22.0
,League Total,,1135,11396,13,10.0,1919,42163,9,22.0
,Avg Tm/G,,2.4,23.7,0.0,10.0,4.0,87.8,0.0,22.0
