Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Buffalo Bills,16,36,222,0,6.2,69,1117,0,16.2
2,Indianapolis Colts,16,37,418,1,11.3,67,1480,1,22.1
3,Chicago Bears,16,40,447,0,11.2,56,1130,0,20.2
4,Kansas City Chiefs,16,48,473,0,9.9,57,1380,2,24.2
5,Cincinnati Bengals,16,32,280,0,8.8,61,1335,0,21.9
6,Philadelphia Eagles,16,47,393,0,8.4,63,1266,0,20.1
7,Miami Dolphins,16,35,318,0,9.1,53,1109,0,20.9
8,New England Patriots,16,37,217,0,5.9,45,888,0,19.7
9,San Diego Chargers,16,56,558,0,10.0,47,1055,1,22.4
10,Cleveland Browns,16,32,304,1,9.5,58,973,0,16.8
11,Houston Oilers,16,35,206,0,5.9,69,1362,1,19.7
12,Green Bay Packers,16,39,314,0,8.1,49,966,0,19.7
13,Seattle Seahawks,16,36,202,0,5.6,66,1207,0,18.3
14,Tampa Bay Buccaneers,16,38,273,0,7.2,52,1129,0,21.7
15,Detroit Lions,16,57,483,1,8.5,56,1076,0,19.2
16,Atlanta Falcons,16,51,297,0,5.8,48,982,0,20.5
17,New Orleans Saints,16,39,248,0,6.4,43,823,0,19.1
18,Los Angeles Rams,16,43,347,0,8.1,81,1563,1,19.3
19,San Francisco 49ers,16,47,426,0,9.1,73,1362,0,18.7
20,New York Giants,16,38,303,0,8.0,73,1269,0,17.4
21,New York Jets,16,34,201,0,5.9,70,1491,0,21.3
22,Denver Broncos,16,33,364,1,11.0,52,1035,0,19.9
23,Phoenix Cardinals,16,41,416,1,10.1,65,1379,1,21.2
24,Pittsburgh Steelers,16,40,418,0,10.5,63,1351,1,21.4
25,Dallas Cowboys,16,37,239,0,6.5,56,1060,0,18.9
26,Minnesota Vikings,16,39,405,0,10.4,81,1622,0,20.0
27,Los Angeles Raiders,16,47,397,0,8.4,61,1299,0,21.3
28,Washington Redskins,16,39,448,1,11.5,61,1111,0,18.2
,Avg Team,,40.5,343.5,0.2,8.5,60.5,1207.9,0.3,20.0
,League Total,,1133,9617,6,8.5,1695,33820,8,20.0
,Avg Tm/G,,2.5,21.5,0.0,8.5,3.8,75.5,0.0,20.0
