Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,San Francisco 49ers,16,38,278,0,7.3,78,1675,0,21.5
2,Minnesota Vikings,16,40,297,0,7.4,70,1392,0,19.9
3,Kansas City Chiefs,16,54,559,1,10.4,75,1528,0,20.4
4,Denver Broncos,16,55,524,0,9.5,46,824,0,17.9
5,New England Patriots,16,48,392,0,8.2,55,1082,0,19.7
6,Miami Dolphins,16,32,229,0,7.2,54,1024,0,19.0
7,Houston Oilers,16,47,354,0,7.5,61,1280,0,21.0
8,Cincinnati Bengals,16,41,310,0,7.6,68,1298,0,19.1
9,New York Jets,16,47,367,1,7.8,50,1063,0,21.3
10,Seattle Seahawks,16,36,185,0,5.1,59,952,0,16.1
11,Cleveland Browns,16,30,309,0,10.3,61,1155,1,18.9
12,New Orleans Saints,16,51,573,2,11.2,44,938,0,21.3
13,Baltimore Colts,16,55,642,1,11.7,61,1138,0,18.7
14,Los Angeles Rams,16,39,251,0,6.4,71,1325,0,18.7
15,San Diego Chargers,16,35,299,0,8.5,70,1426,0,20.4
16,Detroit Lions,16,39,302,0,7.7,71,1146,0,16.1
17,Philadelphia Eagles,16,57,511,0,9.0,45,804,0,17.9
18,Buffalo Bills,16,42,403,0,9.6,53,949,0,17.9
19,Pittsburgh Steelers,16,44,418,1,9.5,65,1507,1,23.2
20,Tampa Bay Buccaneers,16,59,603,1,10.2,50,1039,0,20.8
21,Washington Redskins,16,41,407,1,9.9,91,1772,0,19.5
22,Atlanta Falcons,16,34,179,0,5.3,60,1212,0,20.2
23,Chicago Bears,16,44,322,0,7.3,66,1229,0,18.6
24,Los Angeles Raiders,16,35,334,2,9.5,68,1227,0,18.0
25,Green Bay Packers,16,43,384,1,8.9,78,1429,0,18.3
26,Dallas Cowboys,16,53,588,1,11.1,78,1806,0,23.2
27,New York Giants,16,47,283,0,6.0,67,1296,0,19.3
28,St. Louis Cardinals,16,47,307,0,6.5,66,1300,1,19.7
,Avg Team,,44.0,378.9,0.4,8.6,63.6,1243.4,0.1,19.5
,League Total,,1233,10610,12,8.6,1781,34816,3,19.5
,Avg Tm/G,,2.8,23.7,0.0,8.6,4.0,77.7,0.0,19.5
