Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Minnesota Vikings,16,42,426,0,10.1,43,851,0,19.8
2,Buffalo Bills,16,15,53,0,3.5,62,1266,0,20.4
3,Denver Broncos,16,28,170,0,6.1,62,1096,0,17.7
4,Miami Dolphins,16,30,332,0,11.1,66,1270,0,19.2
5,New York Jets,16,29,164,0,5.7,60,921,1,15.4
6,Los Angeles Raiders,16,41,341,0,8.3,58,1059,1,18.3
7,Dallas Cowboys,16,28,231,0,8.3,69,1169,1,16.9
8,Houston Oilers,16,29,192,0,6.6,63,1071,0,17.0
9,Indianapolis Colts,16,47,516,1,11.0,33,573,0,17.4
10,Kansas City Chiefs,16,27,190,0,7.0,57,1171,0,20.5
11,Detroit Lions,16,35,340,1,9.7,63,1095,0,17.4
12,Cleveland Browns,16,40,388,0,9.7,50,1022,0,20.4
13,New York Giants,16,35,322,1,9.2,55,940,0,17.1
14,New England Patriots,16,37,303,1,8.2,51,850,0,16.7
15,Atlanta Falcons,16,45,387,0,8.6,67,1419,1,21.2
16,San Diego Chargers,16,32,267,0,8.3,52,1034,0,19.9
17,San Francisco 49ers,16,30,239,0,8.0,66,1288,1,19.5
18,Chicago Bears,16,28,205,0,7.3,58,1134,0,19.6
19,Phoenix Cardinals,16,48,313,0,6.5,42,958,1,22.8
20,New Orleans Saints,16,50,470,0,9.4,35,851,2,24.3
21,Washington Redskins,16,31,190,0,6.1,66,1153,0,17.5
22,Los Angeles Rams,16,33,292,0,8.8,39,671,0,17.2
23,Seattle Seahawks,16,40,289,0,7.2,51,858,0,16.8
24,Cincinnati Bengals,16,38,456,2,12.0,38,741,0,19.5
25,Tampa Bay Buccaneers,16,49,559,1,11.4,32,720,0,22.5
26,Philadelphia Eagles,16,42,431,1,10.3,60,1146,0,19.1
27,Green Bay Packers,16,35,375,1,10.7,46,942,0,20.5
28,Pittsburgh Steelers,16,29,210,0,7.2,43,825,0,19.2
,Avg Team,,35.5,310.0,0.3,8.7,53.1,1003.4,0.3,18.9
,League Total,,993,8679,9,8.7,1487,28094,8,18.9
,Avg Tm/G,,2.2,19.4,0.0,8.7,3.3,62.7,0.0,18.9
