Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Los Angeles Raiders,67.0,667.0,1.0,10.0,56.0,1216.0,0.0,21.7,7583.0
St. Louis Cardinals,47.0,399.0,0.0,8.5,74.0,1563.0,0.0,21.1,8740.0
Minnesota Vikings,31.0,217.0,0.0,7.0,86.0,1775.0,0.0,20.6,7230.0
Dallas Cowboys,54.0,446.0,0.0,8.3,63.0,1199.0,0.0,19.0,7372.0
New York Giants,55.0,368.0,0.0,6.7,61.0,1117.0,0.0,18.3,7287.0
Washington Redskins,55.0,474.0,0.0,8.6,60.0,1174.0,0.0,19.6,7401.0
Green Bay Packers,48.0,351.0,0.0,7.3,67.0,1362.0,1.0,20.3,7467.0
Pittsburgh Steelers,61.0,696.0,1.0,11.4,54.0,1026.0,0.0,19.0,7524.0
Chicago Bears,63.0,558.0,0.0,8.9,49.0,896.0,0.0,18.3,7121.0
Atlanta Falcons,41.0,264.0,0.0,6.4,70.0,1367.0,0.0,19.5,7183.0
New England Patriots,48.0,430.0,0.0,9.0,63.0,1246.0,0.0,19.8,7393.0
Detroit Lions,36.0,241.0,0.0,6.7,74.0,1347.0,0.0,18.2,7372.0
Buffalo Bills,33.0,297.0,1.0,9.0,76.0,1422.0,0.0,18.7,6718.0
Indianapolis Colts,38.0,278.0,0.0,7.3,69.0,1331.0,1.0,19.3,6149.0
New Orleans Saints,33.0,268.0,0.0,8.1,72.0,1465.0,0.0,20.3,7122.0
Tampa Bay Buccaneers,34.0,207.0,0.0,6.1,68.0,1354.0,0.0,19.9,7255.0
Cleveland Browns,40.0,322.0,0.0,8.1,61.0,1157.0,0.0,19.0,6777.0
New York Jets,35.0,324.0,0.0,9.3,65.0,1498.0,1.0,23.0,7420.0
Cincinnati Bengals,38.0,473.0,0.0,12.4,61.0,1155.0,0.0,18.9,7466.0
Philadelphia Eagles,40.0,250.0,0.0,6.3,59.0,1156.0,1.0,19.6,6567.0
Los Angeles Rams,40.0,489.0,2.0,12.2,58.0,1244.0,1.0,21.4,7015.0
Seattle Seahawks,44.0,484.0,1.0,11.0,54.0,1007.0,0.0,18.6,6866.0
Kansas City Chiefs,42.0,346.0,0.0,8.2,56.0,1061.0,0.0,18.9,6762.0
San Diego Chargers,33.0,212.0,1.0,6.4,63.0,1319.0,0.0,20.9,8132.0
Houston Oilers,26.0,152.0,0.0,5.8,69.0,1352.0,0.0,19.6,6788.0
San Francisco 49ers,45.0,521.0,1.0,11.6,47.0,1039.0,0.0,22.1,8143.0
Denver Broncos,41.0,318.0,0.0,7.8,45.0,897.0,0.0,19.9,6524.0
Miami Dolphins,39.0,365.0,0.0,9.4,44.0,799.0,0.0,18.2,8288.0
Avg Team,43.1,372.0,0.3,8.6,62.3,1233.7,0.2,19.8,7273.8
