Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
New York Giants,44.0,373.0,0.0,8.5,39.0,783.0,0.0,20.1,3992.0
Washington Redskins,38.0,295.0,0.0,7.8,30.0,649.0,0.0,21.6,4134.0
Los Angeles Rams,22.0,242.0,1.0,11.0,45.0,869.0,0.0,19.3,4328.0
St. Louis Cardinals,32.0,192.0,0.0,6.0,35.0,702.0,0.0,20.1,3667.0
San Francisco 49ers,30.0,332.0,1.0,11.1,36.0,742.0,0.0,20.6,4480.0
Houston Oilers,19.0,104.0,0.0,5.5,45.0,905.0,0.0,20.1,3786.0
Pittsburgh Steelers,36.0,317.0,0.0,8.8,28.0,569.0,0.0,20.3,3982.0
Dallas Cowboys,30.0,242.0,0.0,8.1,33.0,651.0,0.0,19.7,4443.0
Los Angeles Raiders,27.0,209.0,0.0,7.7,36.0,754.0,0.0,20.9,4210.0
Detroit Lions,26.0,275.0,0.0,10.6,36.0,750.0,1.0,20.8,3792.0
Buffalo Bills,26.0,119.0,0.0,4.6,36.0,792.0,0.0,22.0,3934.0
Denver Broncos,21.0,305.0,2.0,14.5,40.0,818.0,0.0,20.5,4173.0
Philadelphia Eagles,22.0,108.0,0.0,4.9,39.0,768.0,0.0,19.7,3836.0
Cleveland Browns,23.0,134.0,0.0,5.8,38.0,754.0,0.0,19.8,3805.0
Minnesota Vikings,24.0,196.0,0.0,8.2,37.0,786.0,0.0,21.2,4049.0
Green Bay Packers,26.0,198.0,0.0,7.6,34.0,664.0,0.0,19.5,4016.0
Chicago Bears,24.0,142.0,0.0,5.9,34.0,622.0,0.0,18.3,3553.0
Tampa Bay Buccaneers,25.0,143.0,0.0,5.7,33.0,548.0,0.0,16.6,3723.0
San Diego Chargers,12.0,138.0,0.0,11.5,45.0,890.0,0.0,19.8,5170.0
New York Jets,23.0,184.0,0.0,8.0,33.0,667.0,0.0,20.2,4363.0
Baltimore Colts,14.0,78.0,0.0,5.6,42.0,753.0,0.0,17.9,3484.0
Atlanta Falcons,24.0,273.0,0.0,11.4,29.0,513.0,0.0,17.7,4040.0
Seattle Seahawks,21.0,228.0,0.0,10.9,29.0,544.0,0.0,18.8,3628.0
Kansas City Chiefs,15.0,129.0,0.0,8.6,34.0,723.0,0.0,21.3,3693.0
Cincinnati Bengals,17.0,95.0,0.0,5.6,31.0,643.0,0.0,20.7,4188.0
New Orleans Saints,21.0,144.0,0.0,6.9,26.0,577.0,0.0,22.2,3549.0
Miami Dolphins,22.0,194.0,1.0,8.8,24.0,507.0,0.0,21.1,3489.0
New England Patriots,16.0,139.0,0.0,8.7,28.0,646.0,1.0,23.1,3592.0
Avg Team,24.3,197.4,0.2,8.1,34.8,699.6,0.1,20.1,3967.8
