Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Houston Oilers,50.0,281.0,1.0,5.6,74.0,1436.0,0.0,19.4,6627.0
Cincinnati Bengals,37.0,373.0,1.0,10.1,86.0,1810.0,0.0,21.0,7276.0
Denver Broncos,41.0,379.0,0.0,9.2,75.0,1523.0,0.0,20.3,7818.0
Los Angeles Rams,40.0,461.0,1.0,11.5,71.0,1605.0,0.0,22.6,7216.0
Pittsburgh Steelers,56.0,424.0,0.0,7.6,55.0,1141.0,0.0,20.7,6991.0
New England Patriots,46.0,383.0,0.0,8.3,63.0,1123.0,0.0,17.8,7526.0
Philadelphia Eagles,41.0,381.0,0.0,9.3,67.0,1441.0,1.0,21.5,7366.0
New Orleans Saints,25.0,152.0,0.0,6.1,82.0,1840.0,2.0,22.4,7475.0
Atlanta Falcons,31.0,188.0,0.0,6.1,75.0,1627.0,0.0,21.7,7430.0
Green Bay Packers,49.0,414.0,1.0,8.4,56.0,1168.0,1.0,20.9,7099.0
Buffalo Bills,33.0,343.0,0.0,10.4,72.0,1345.0,0.0,18.7,7251.0
New York Giants,32.0,388.0,2.0,12.1,73.0,1328.0,0.0,18.2,6279.0
New York Jets,39.0,345.0,0.0,8.8,66.0,1282.0,0.0,19.4,6519.0
Seattle Seahawks,37.0,337.0,0.0,9.1,67.0,1467.0,1.0,21.9,6700.0
San Diego Chargers,36.0,475.0,2.0,13.2,68.0,1636.0,2.0,24.1,7588.0
Washington Redskins,32.0,452.0,2.0,14.1,71.0,1685.0,0.0,23.7,7171.0
Los Angeles Raiders,40.0,487.0,0.0,12.2,62.0,1358.0,0.0,21.9,7022.0
Indianapolis Colts,42.0,339.0,1.0,8.1,60.0,1254.0,1.0,20.9,6291.0
Kansas City Chiefs,43.0,316.0,0.0,7.3,59.0,1300.0,1.0,22.0,7491.0
Arizona Cardinals,42.0,286.0,0.0,6.8,57.0,1079.0,0.0,18.9,6234.0
Miami Dolphins,33.0,241.0,0.0,7.3,66.0,1294.0,0.0,19.6,7740.0
Minnesota Vikings,39.0,238.0,0.0,6.1,60.0,1296.0,0.0,21.6,7686.0
San Francisco 49ers,40.0,334.0,0.0,8.4,58.0,1244.0,1.0,21.4,7882.0
Tampa Bay Buccaneers,28.0,248.0,1.0,8.9,70.0,1422.0,0.0,20.3,6596.0
Detroit Lions,25.0,256.0,0.0,10.2,71.0,1675.0,4.0,23.6,7140.0
Dallas Cowboys,44.0,404.0,1.0,9.2,50.0,1284.0,1.0,25.7,7130.0
Chicago Bears,27.0,218.0,1.0,8.1,66.0,1402.0,0.0,21.2,6429.0
Cleveland Browns,46.0,462.0,2.0,10.0,42.0,1031.0,1.0,24.5,6448.0
Avg Team,38.4,343.0,0.6,8.9,65.8,1396.3,0.6,21.2,7086.5
