Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
New Orleans Saints,40.0,388.0,0.0,9.7,83.0,1879.0,2.0,22.6,7717.0
Miami Dolphins,52.0,564.0,0.0,10.8,70.0,1660.0,1.0,23.7,6978.0
Dallas Cowboys,44.0,390.0,0.0,8.9,78.0,1603.0,0.0,20.6,7423.0
Baltimore Ravens,60.0,616.0,2.0,10.3,61.0,1264.0,0.0,20.7,6629.0
Chicago Bears,46.0,510.0,1.0,11.1,74.0,1607.0,0.0,21.7,6517.0
Tennessee Titans,40.0,173.0,0.0,4.3,79.0,1558.0,0.0,19.7,7640.0
San Francisco 49ers,35.0,303.0,1.0,8.7,84.0,1716.0,0.0,20.4,7053.0
St. Louis Rams,30.0,143.0,0.0,4.8,84.0,1604.0,0.0,19.1,8158.0
Arizona Cardinals,49.0,329.0,0.0,6.7,65.0,1293.0,0.0,19.9,6532.0
Cleveland Browns,36.0,432.0,0.0,12.0,75.0,1504.0,1.0,20.1,6614.0
Houston Texans,40.0,329.0,0.0,8.2,69.0,1450.0,0.0,21.0,7363.0
Buffalo Bills,46.0,491.0,2.0,10.7,63.0,1542.0,3.0,24.5,6928.0
Oakland Raiders,24.0,132.0,0.0,5.5,83.0,1700.0,0.0,20.5,7153.0
Pittsburgh Steelers,44.0,365.0,0.0,8.3,62.0,1335.0,0.0,21.5,7247.0
Detroit Lions,40.0,420.0,2.0,10.5,66.0,1568.0,2.0,23.8,6885.0
New York Giants,38.0,253.0,0.0,6.7,66.0,1658.0,2.0,25.1,7049.0
Minnesota Vikings,31.0,275.0,1.0,8.9,73.0,1448.0,0.0,19.8,8335.0
Seattle Seahawks,30.0,230.0,0.0,7.7,74.0,1529.0,0.0,20.7,7579.0
Cincinnati Bengals,35.0,328.0,0.0,9.4,68.0,1403.0,0.0,20.6,7107.0
Green Bay Packers,33.0,254.0,0.0,7.7,70.0,1522.0,0.0,21.7,8352.0
Kansas City Chiefs,24.0,232.0,0.0,9.7,75.0,1820.0,2.0,24.3,9009.0
Jacksonville Jaguars,42.0,405.0,0.0,9.6,57.0,1087.0,0.0,19.1,6616.0
Atlanta Falcons,37.0,457.0,1.0,12.4,61.0,1331.0,0.0,21.8,7152.0
Philadelphia Eagles,41.0,377.0,0.0,9.2,56.0,1214.0,0.0,21.7,7449.0
Washington Redskins,42.0,331.0,0.0,7.9,55.0,1203.0,0.0,21.9,6149.0
New England Patriots,40.0,230.0,0.0,5.8,56.0,1302.0,1.0,23.3,7501.0
Denver Broncos,43.0,400.0,0.0,9.3,53.0,1122.0,0.0,21.2,7947.0
Tampa Bay Buccaneers,33.0,213.0,1.0,6.5,60.0,1450.0,0.0,24.2,6975.0
San Diego Chargers,29.0,243.0,0.0,8.4,62.0,1478.0,1.0,23.8,7432.0
Indianapolis Colts,24.0,171.0,0.0,7.1,66.0,1545.0,1.0,23.4,8367.0
Carolina Panthers,28.0,165.0,0.0,5.9,61.0,1307.0,0.0,21.4,6991.0
New York Jets,41.0,313.0,0.0,7.6,46.0,1038.0,1.0,22.6,7001.0
Avg Team,38.0,326.9,0.3,8.6,67.3,1460.6,0.5,21.7,7307.8
