Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
St. Louis Rams,55.0,587.0,0.0,10.7,73.0,1618.0,0.0,22.2,7889.0
Green Bay Packers,61.0,515.0,0.0,8.4,61.0,1282.0,0.0,21.0,7768.0
New England Patriots,45.0,383.0,0.0,8.5,75.0,1691.0,0.0,22.5,7862.0
Buffalo Bills,47.0,476.0,0.0,10.1,70.0,1302.0,0.0,18.6,7123.0
Pittsburgh Steelers,48.0,474.0,1.0,9.9,69.0,1530.0,0.0,22.2,8023.0
New York Jets,38.0,323.0,0.0,8.5,77.0,1613.0,0.0,20.9,6353.0
Kansas City Chiefs,58.0,561.0,1.0,9.7,55.0,1306.0,2.0,23.7,7341.0
Seattle Seahawks,40.0,384.0,1.0,9.6,72.0,1620.0,0.0,22.5,7699.0
Atlanta Falcons,39.0,383.0,1.0,9.8,70.0,1506.0,0.0,21.5,7729.0
Minnesota Vikings,35.0,414.0,1.0,11.8,72.0,1612.0,0.0,22.4,8292.0
Tampa Bay Buccaneers,29.0,293.0,0.0,10.1,76.0,1443.0,0.0,19.0,6737.0
Carolina Panthers,49.0,500.0,1.0,10.2,55.0,1163.0,0.0,21.1,6548.0
Jacksonville Jaguars,29.0,243.0,0.0,8.4,74.0,1532.0,1.0,20.7,6628.0
New Orleans Saints,29.0,268.0,0.0,9.2,73.0,1690.0,0.0,23.2,7368.0
Oakland Raiders,37.0,374.0,0.0,10.1,64.0,1390.0,1.0,21.7,7606.0
New York Giants,31.0,218.0,0.0,7.0,70.0,1448.0,1.0,20.7,6474.0
Cincinnati Bengals,21.0,103.0,0.0,4.9,80.0,1788.0,0.0,22.4,7255.0
San Diego Chargers,31.0,338.0,1.0,10.9,70.0,1502.0,2.0,21.5,7313.0
Philadelphia Eagles,29.0,293.0,0.0,10.1,71.0,1487.0,1.0,20.9,6972.0
Cleveland Browns,25.0,255.0,1.0,10.2,74.0,1455.0,0.0,19.7,6981.0
Houston Oilers,35.0,339.0,0.0,9.7,64.0,1277.0,0.0,20.0,6814.0
Arizona Cardinals,23.0,172.0,0.0,7.5,73.0,1519.0,0.0,20.8,6939.0
Chicago Bears,24.0,179.0,0.0,7.5,71.0,1459.0,0.0,20.5,7405.0
Washington Redskins,26.0,315.0,1.0,12.1,69.0,1646.0,0.0,23.9,7398.0
Indianapolis Colts,29.0,192.0,0.0,6.6,63.0,1332.0,1.0,21.1,6774.0
Denver Broncos,31.0,358.0,0.0,11.5,60.0,1392.0,0.0,23.2,8095.0
Detroit Lions,24.0,189.0,0.0,7.9,67.0,1367.0,0.0,20.4,7920.0
San Francisco 49ers,27.0,272.0,1.0,10.1,58.0,1183.0,0.0,20.4,7891.0
Miami Dolphins,24.0,163.0,0.0,6.8,59.0,1338.0,0.0,22.7,7433.0
Dallas Cowboys,23.0,255.0,0.0,11.1,58.0,1276.0,0.0,22.0,7520.0
Avg Team,34.7,327.3,0.3,9.4,68.1,1458.9,0.3,21.4,7338.3
