Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Oakland Raiders,42.0,272.0,0.0,6.5,53.0,1268.0,0.0,23.9,7126.0
New York Jets,49.0,422.0,0.0,8.6,37.0,771.0,0.0,20.8,7231.0
Miami Dolphins,41.0,424.0,1.0,10.3,43.0,958.0,0.0,22.3,7109.0
Indianapolis Colts,39.0,268.0,0.0,6.9,43.0,1047.0,0.0,24.3,6681.0
Kansas City Chiefs,45.0,355.0,0.0,7.9,35.0,791.0,0.0,22.6,6683.0
Cincinnati Bengals,43.0,350.0,0.0,8.1,34.0,700.0,0.0,20.6,6959.0
Minnesota Vikings,34.0,311.0,1.0,9.1,42.0,1190.0,2.0,28.3,6958.0
Seattle Seahawks,42.0,450.0,1.0,10.7,34.0,868.0,1.0,25.5,7647.0
New York Giants,36.0,367.0,1.0,10.2,39.0,971.0,1.0,24.9,7451.0
Detroit Lions,30.0,209.0,0.0,7.0,44.0,1220.0,0.0,27.7,7227.0
Baltimore Ravens,40.0,450.0,1.0,11.3,34.0,857.0,0.0,25.2,7234.0
St. Louis Rams,39.0,300.0,1.0,7.7,35.0,830.0,0.0,23.7,6017.0
New England Patriots,47.0,473.0,0.0,10.1,25.0,469.0,0.0,18.8,7158.0
Washington Redskins,32.0,153.0,0.0,4.8,40.0,999.0,2.0,25.0,7012.0
San Francisco 49ers,30.0,226.0,0.0,7.5,42.0,993.0,0.0,23.6,6409.0
Buffalo Bills,31.0,232.0,0.0,7.5,41.0,772.0,0.0,18.8,7036.0
Arizona Cardinals,39.0,289.0,0.0,7.4,32.0,770.0,1.0,24.1,7751.0
Tennessee Titans,38.0,307.0,0.0,8.1,33.0,680.0,0.0,20.6,6365.0
Cleveland Browns,29.0,325.0,1.0,11.2,41.0,1041.0,0.0,25.4,7051.0
Houston Texans,52.0,377.0,0.0,7.3,18.0,430.0,0.0,23.9,6617.0
Green Bay Packers,31.0,167.0,0.0,5.4,36.0,881.0,0.0,24.5,6723.0
Philadelphia Eagles,39.0,443.0,2.0,11.4,27.0,565.0,0.0,20.9,7092.0
Chicago Bears,31.0,242.0,0.0,7.8,33.0,892.0,0.0,27.0,6831.0
Jacksonville Jaguars,31.0,361.0,1.0,11.6,31.0,721.0,0.0,23.3,6983.0
Dallas Cowboys,33.0,183.0,0.0,5.5,28.0,704.0,0.0,25.1,6455.0
New Orleans Saints,32.0,275.0,1.0,8.6,28.0,605.0,0.0,21.6,7576.0
Pittsburgh Steelers,28.0,231.0,1.0,8.3,29.0,701.0,0.0,24.2,7478.0
Denver Broncos,29.0,283.0,1.0,9.8,27.0,588.0,0.0,21.8,6805.0
Atlanta Falcons,27.0,255.0,0.0,9.4,26.0,667.0,0.0,25.7,7130.0
Carolina Panthers,30.0,282.0,0.0,9.4,22.0,407.0,0.0,18.5,6844.0
Tampa Bay Buccaneers,29.0,288.0,0.0,9.9,21.0,506.0,0.0,24.1,6998.0
San Diego Chargers,20.0,84.0,0.0,4.2,28.0,583.0,0.0,20.8,6880.0
Avg Team,35.6,301.7,0.4,8.5,33.8,795.2,0.2,23.5,6984.9
