Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Los Angeles Raiders,56.0,484.0,1.0,8.6,64.0,1252.0,0.0,19.6,7503.0
St. Louis Cardinals,45.0,528.0,2.0,11.7,70.0,1548.0,0.0,22.1,7003.0
Washington Redskins,51.0,550.0,0.0,10.8,60.0,1175.0,0.0,19.6,7574.0
Detroit Lions,43.0,420.0,1.0,9.8,67.0,1321.0,0.0,19.7,6617.0
Green Bay Packers,33.0,316.0,1.0,9.6,76.0,1470.0,0.0,19.3,7076.0
Indianapolis Colts,35.0,250.0,0.0,7.1,74.0,1443.0,0.0,19.5,6839.0
Chicago Bears,57.0,482.0,0.0,8.5,50.0,1115.0,2.0,22.3,7180.0
Miami Dolphins,40.0,297.0,1.0,7.4,65.0,1185.0,0.0,18.2,7923.0
Dallas Cowboys,46.0,252.0,0.0,5.5,59.0,1208.0,0.0,20.5,7469.0
Cleveland Browns,41.0,350.0,1.0,8.5,62.0,1213.0,1.0,19.6,7215.0
Seattle Seahawks,39.0,457.0,1.0,11.7,64.0,1322.0,0.0,20.7,7504.0
San Diego Chargers,37.0,334.0,0.0,9.0,65.0,1137.0,0.0,17.5,7114.0
Pittsburgh Steelers,36.0,310.0,0.0,8.6,66.0,1304.0,0.0,19.8,6596.0
Houston Oilers,43.0,341.0,0.0,7.9,59.0,1139.0,0.0,19.3,7128.0
New York Jets,39.0,341.0,0.0,8.7,63.0,1189.0,2.0,18.9,7359.0
New Orleans Saints,47.0,377.0,0.0,8.0,55.0,1332.0,1.0,24.2,6707.0
Denver Broncos,48.0,552.0,2.0,11.5,53.0,1094.0,0.0,20.6,7133.0
Tampa Bay Buccaneers,26.0,110.0,0.0,4.2,75.0,1302.0,0.0,17.4,6182.0
Los Angeles Rams,42.0,361.0,0.0,8.6,59.0,1160.0,0.0,19.7,6460.0
New England Patriots,42.0,396.0,1.0,9.4,58.0,1147.0,0.0,19.8,7300.0
Atlanta Falcons,44.0,292.0,0.0,6.6,54.0,1035.0,0.0,19.2,6996.0
Philadelphia Eagles,44.0,374.0,1.0,8.5,53.0,945.0,0.0,17.8,6636.0
Cincinnati Bengals,29.0,235.0,0.0,8.1,63.0,1389.0,0.0,22.0,8296.0
Kansas City Chiefs,35.0,265.0,0.0,7.6,56.0,1117.0,1.0,19.9,5973.0
New York Giants,41.0,287.0,0.0,7.0,50.0,868.0,0.0,17.4,6908.0
Minnesota Vikings,31.0,215.0,0.0,6.9,56.0,1200.0,0.0,21.4,7322.0
Buffalo Bills,32.0,247.0,1.0,7.7,55.0,1074.0,0.0,19.5,6766.0
San Francisco 49ers,43.0,397.0,1.0,9.2,42.0,757.0,0.0,18.0,7455.0
Avg Team,40.9,350.7,0.5,8.6,60.5,1194.3,0.3,19.8,7079.8
