Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Arizona Cardinals,50.0,383.0,0.0,7.7,76.0,1719.0,0.0,22.6,7954.0
Philadelphia Eagles,53.0,448.0,0.0,8.5,71.0,1578.0,0.0,22.2,7451.0
New Orleans Saints,46.0,320.0,0.0,7.0,75.0,1516.0,0.0,20.2,7140.0
Green Bay Packers,45.0,381.0,1.0,8.5,75.0,1418.0,0.0,18.9,7112.0
Oakland Raiders,37.0,206.0,0.0,5.6,80.0,1832.0,0.0,22.9,7284.0
Tennessee Titans,45.0,418.0,1.0,9.3,70.0,1697.0,0.0,24.2,7539.0
Houston Texans,30.0,223.0,0.0,7.4,84.0,2173.0,2.0,25.9,6859.0
Minnesota Vikings,41.0,344.0,1.0,8.4,71.0,1549.0,1.0,21.8,6825.0
New York Giants,49.0,453.0,1.0,9.2,63.0,1529.0,1.0,24.3,8014.0
Kansas City Chiefs,43.0,293.0,0.0,6.8,68.0,1591.0,1.0,23.4,8352.0
Miami Dolphins,43.0,390.0,0.0,9.1,68.0,1501.0,0.0,22.1,7295.0
Tampa Bay Buccaneers,51.0,492.0,0.0,9.6,59.0,1148.0,0.0,19.5,6725.0
New England Patriots,40.0,314.0,0.0,7.9,70.0,1555.0,0.0,22.2,7724.0
Dallas Cowboys,45.0,284.0,0.0,6.3,64.0,1523.0,0.0,23.8,7400.0
San Francisco 49ers,28.0,212.0,1.0,7.6,81.0,1540.0,0.0,19.0,5694.0
Detroit Lions,36.0,274.0,0.0,7.6,73.0,1576.0,0.0,21.6,6443.0
San Diego Chargers,39.0,245.0,0.0,6.3,69.0,1667.0,0.0,24.2,7756.0
New York Jets,34.0,219.0,0.0,6.4,71.0,1728.0,1.0,24.3,6324.0
Cleveland Browns,37.0,373.0,1.0,10.1,68.0,1506.0,1.0,22.1,6710.0
St. Louis Rams,30.0,175.0,0.0,5.8,74.0,1580.0,1.0,21.4,7631.0
Buffalo Bills,28.0,279.0,0.0,10.0,75.0,1992.0,1.0,26.6,6745.0
Jacksonville Jaguars,53.0,415.0,0.0,7.8,50.0,1197.0,1.0,23.9,6923.0
Pittsburgh Steelers,46.0,470.0,2.0,10.2,56.0,1208.0,0.0,21.6,7116.0
Atlanta Falcons,31.0,261.0,0.0,8.4,70.0,1482.0,0.0,21.2,7317.0
Chicago Bears,46.0,417.0,1.0,9.1,55.0,1092.0,0.0,19.9,5845.0
Baltimore Ravens,39.0,431.0,0.0,11.1,60.0,1289.0,0.0,21.5,6776.0
Cincinnati Bengals,28.0,157.0,0.0,5.6,67.0,1580.0,0.0,23.6,7661.0
Carolina Panthers,41.0,444.0,0.0,10.8,53.0,1083.0,0.0,20.4,6769.0
Seattle Seahawks,31.0,177.0,0.0,5.7,61.0,1347.0,0.0,22.1,7656.0
Washington Redskins,30.0,180.0,0.0,6.0,62.0,1438.0,2.0,23.2,7172.0
Denver Broncos,33.0,281.0,0.0,8.5,47.0,975.0,0.0,20.7,7167.0
Indianapolis Colts,24.0,182.0,0.0,7.6,51.0,1017.0,0.0,19.9,7216.0
Avg Team,39.1,316.9,0.3,8.1,66.8,1488.3,0.4,22.3,7143.6
