Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Washington Redskins,48.0,388.0,0.0,8.1,62.0,1113.0,0.0,18.0,7242.0
New England Patriots,29.0,134.0,0.0,4.6,77.0,1395.0,0.0,18.1,6159.0
Detroit Lions,35.0,361.0,0.0,10.3,70.0,1466.0,0.0,20.9,7147.0
New Orleans Saints,45.0,400.0,0.0,8.9,58.0,1205.0,0.0,20.8,6227.0
Cleveland Browns,31.0,209.0,0.0,6.7,71.0,1276.0,2.0,18.0,6127.0
Indianapolis Colts,36.0,402.0,0.0,11.2,65.0,1189.0,0.0,18.3,6256.0
San Francisco 49ers,48.0,356.0,0.0,7.4,53.0,965.0,0.0,18.2,7447.0
Phoenix Cardinals,40.0,342.0,0.0,8.6,60.0,1068.0,0.0,17.8,6450.0
Denver Broncos,33.0,256.0,0.0,7.8,66.0,1260.0,0.0,19.1,7089.0
Minnesota Vikings,33.0,225.0,0.0,6.8,66.0,1249.0,0.0,18.9,6814.0
Los Angeles Raiders,34.0,295.0,0.0,8.7,64.0,1237.0,0.0,19.3,6472.0
Los Angeles Rams,35.0,346.0,0.0,9.9,63.0,1279.0,1.0,20.3,7248.0
Green Bay Packers,32.0,308.0,0.0,9.6,63.0,1303.0,1.0,20.7,6723.0
Philadelphia Eagles,40.0,315.0,0.0,7.9,54.0,965.0,0.0,17.9,7452.0
Atlanta Falcons,35.0,279.0,1.0,8.0,58.0,1229.0,1.0,21.2,6878.0
Dallas Cowboys,39.0,250.0,0.0,6.4,54.0,1102.0,1.0,20.4,5789.0
Cincinnati Bengals,30.0,255.0,1.0,8.5,62.0,1266.0,0.0,20.4,6888.0
New York Jets,30.0,319.0,1.0,10.6,61.0,1129.0,0.0,18.5,6617.0
Chicago Bears,36.0,399.0,1.0,11.1,54.0,879.0,0.0,16.3,6599.0
San Diego Chargers,35.0,336.0,2.0,9.6,55.0,1188.0,0.0,21.6,6631.0
New York Giants,43.0,467.0,1.0,10.9,46.0,884.0,0.0,19.2,6323.0
Pittsburgh Steelers,39.0,398.0,1.0,10.2,50.0,956.0,0.0,19.1,6179.0
Tampa Bay Buccaneers,23.0,184.0,0.0,8.0,63.0,1175.0,0.0,18.7,6259.0
Seattle Seahawks,36.0,337.0,0.0,9.4,50.0,985.0,0.0,19.7,6314.0
Kansas City Chiefs,37.0,254.0,0.0,6.9,46.0,784.0,0.0,17.0,6433.0
Miami Dolphins,39.0,233.0,0.0,6.0,43.0,780.0,0.0,18.1,6176.0
Houston Oilers,30.0,172.0,0.0,5.7,47.0,861.0,0.0,18.3,7594.0
Buffalo Bills,25.0,177.0,0.0,7.1,51.0,1040.0,0.0,20.4,6769.0
Avg Team,35.6,299.9,0.3,8.4,58.3,1115.3,0.2,19.1,6653.6
