Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Oakland Raiders,52.0,380.0,1.0,7.3,71.0,1411.0,0.0,19.9,7302.0
Cleveland Browns,50.0,369.0,0.0,7.4,72.0,1537.0,0.0,21.3,8156.0
New York Giants,64.0,502.0,0.0,7.8,57.0,1120.0,0.0,19.6,6344.0
St. Louis Cardinals,43.0,453.0,1.0,10.5,75.0,1625.0,0.0,21.7,7560.0
Los Angeles Rams,49.0,676.0,3.0,13.8,68.0,1244.0,0.0,18.3,7202.0
Washington Redskins,49.0,507.0,2.0,10.3,67.0,1673.0,0.0,25.0,8095.0
Houston Oilers,41.0,325.0,0.0,7.9,72.0,1722.0,2.0,23.9,6888.0
Detroit Lions,52.0,450.0,1.0,8.7,61.0,1164.0,0.0,19.1,7888.0
Atlanta Falcons,50.0,383.0,0.0,7.7,62.0,1419.0,0.0,22.9,7892.0
New Orleans Saints,41.0,426.0,0.0,10.4,70.0,1523.0,0.0,21.8,7100.0
Chicago Bears,45.0,518.0,1.0,11.5,64.0,1214.0,0.0,19.0,6673.0
New York Jets,50.0,337.0,0.0,6.7,58.0,1151.0,0.0,19.8,7119.0
Minnesota Vikings,39.0,303.0,0.0,7.8,67.0,1328.0,1.0,19.8,7794.0
Pittsburgh Steelers,50.0,412.0,0.0,8.2,53.0,1096.0,0.0,20.7,7341.0
Kansas City Chiefs,50.0,528.0,0.0,10.6,52.0,1043.0,0.0,20.1,7377.0
San Diego Chargers,31.0,378.0,0.0,12.2,70.0,1422.0,0.0,20.3,8696.0
Seattle Seahawks,32.0,293.0,0.0,9.2,69.0,1278.0,0.0,18.5,6994.0
Philadelphia Eagles,58.0,422.0,0.0,7.3,43.0,832.0,0.0,19.3,7072.0
Miami Dolphins,45.0,458.0,1.0,10.2,54.0,1228.0,1.0,22.7,7263.0
Denver Broncos,51.0,441.0,0.0,8.6,47.0,801.0,0.0,17.0,7135.0
Dallas Cowboys,45.0,235.0,0.0,5.2,53.0,981.0,0.0,18.5,7355.0
Green Bay Packers,40.0,306.0,1.0,7.7,58.0,1066.0,0.0,18.4,6682.0
Baltimore Colts,12.0,56.0,0.0,4.7,84.0,1651.0,0.0,19.7,6949.0
New England Patriots,31.0,199.0,0.0,6.4,65.0,1190.0,0.0,18.3,7369.0
San Francisco 49ers,48.0,344.0,0.0,7.2,45.0,909.0,1.0,20.2,7043.0
Buffalo Bills,35.0,292.0,0.0,8.3,57.0,1085.0,0.0,19.0,7205.0
Tampa Bay Buccaneers,38.0,244.0,0.0,6.4,46.0,912.0,0.0,19.8,6444.0
Cincinnati Bengals,29.0,205.0,0.0,7.1,49.0,1056.0,0.0,21.6,7457.0
Avg Team,43.6,372.9,0.4,8.6,61.0,1238.6,0.2,20.3,7299.8
