Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
New Orleans Saints,37.0,288.0,0.0,7.8,87.0,2027.0,0.0,23.3,7918.0
Minnesota Vikings,45.0,307.0,0.0,6.8,77.0,1647.0,0.0,21.4,7443.0
Carolina Panthers,39.0,420.0,1.0,10.8,76.0,1769.0,2.0,23.3,6717.0
Indianapolis Colts,29.0,290.0,1.0,10.0,84.0,1832.0,1.0,21.8,8414.0
San Diego Chargers,44.0,415.0,1.0,9.4,66.0,1716.0,2.0,26.0,7547.0
Arizona Cardinals,43.0,472.0,0.0,11.0,67.0,1487.0,0.0,22.2,7073.0
Detroit Lions,29.0,255.0,0.0,8.8,80.0,1876.0,0.0,23.5,7479.0
Tennessee Titans,36.0,282.0,0.0,7.8,71.0,1413.0,1.0,19.9,7388.0
Buffalo Bills,24.0,225.0,1.0,9.4,83.0,1651.0,0.0,19.9,7289.0
New York Giants,47.0,376.0,0.0,8.0,60.0,1062.0,0.0,17.7,6990.0
Washington Redskins,41.0,431.0,1.0,10.5,65.0,1354.0,0.0,20.8,6421.0
Seattle Seahawks,33.0,352.0,0.0,10.7,72.0,1496.0,0.0,20.8,6976.0
Baltimore Ravens,48.0,563.0,0.0,11.7,57.0,1347.0,0.0,23.6,7306.0
Kansas City Chiefs,44.0,326.0,0.0,7.4,61.0,1292.0,0.0,21.2,7501.0
Dallas Cowboys,41.0,493.0,1.0,12.0,64.0,1476.0,0.0,23.1,6531.0
Atlanta Falcons,34.0,463.0,0.0,13.6,70.0,1598.0,1.0,22.8,7524.0
Miami Dolphins,43.0,471.0,0.0,11.0,57.0,1222.0,0.0,21.4,6695.0
Denver Broncos,31.0,405.0,1.0,13.1,67.0,1576.0,0.0,23.5,7082.0
St. Louis Rams,43.0,400.0,0.0,9.3,55.0,1123.0,0.0,20.4,8505.0
Chicago Bears,45.0,405.0,0.0,9.0,51.0,1060.0,0.0,20.8,6464.0
Jacksonville Jaguars,38.0,333.0,0.0,8.8,58.0,1164.0,1.0,20.1,6885.0
Pittsburgh Steelers,50.0,420.0,0.0,8.4,46.0,884.0,0.0,19.2,7489.0
Oakland Raiders,29.0,339.0,1.0,11.7,66.0,1524.0,1.0,23.1,7410.0
Philadelphia Eagles,44.0,508.0,0.0,11.5,49.0,1165.0,1.0,23.8,6908.0
Cincinnati Bengals,31.0,290.0,0.0,9.4,62.0,1230.0,0.0,19.8,6641.0
Cleveland Browns,31.0,247.0,0.0,8.0,62.0,1285.0,0.0,20.7,6052.0
New England Patriots,33.0,440.0,2.0,13.3,59.0,1184.0,0.0,20.1,6719.0
Tampa Bay Buccaneers,38.0,396.0,1.0,10.4,54.0,1208.0,0.0,22.4,6586.0
New York Jets,34.0,323.0,0.0,9.5,56.0,1196.0,0.0,21.4,6439.0
Green Bay Packers,33.0,251.0,1.0,7.6,54.0,1008.0,0.0,18.7,6870.0
San Francisco 49ers,23.0,151.0,0.0,6.6,61.0,1336.0,0.0,21.9,7338.0
Avg Team,37.4,365.7,0.4,9.8,64.4,1393.8,0.3,21.6,7116.1
