Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Phoenix Cardinals,40.0,469.0,0.0,11.7,83.0,1650.0,0.0,19.9,7136.0
New Orleans Saints,53.0,428.0,1.0,8.1,63.0,1284.0,1.0,20.4,7273.0
New England Patriots,45.0,379.0,0.0,8.4,69.0,1462.0,0.0,21.2,7602.0
Atlanta Falcons,32.0,341.0,1.0,10.7,80.0,1509.0,0.0,18.9,6931.0
Dallas Cowboys,31.0,197.0,0.0,6.4,77.0,1709.0,1.0,22.2,6600.0
New York Jets,33.0,299.0,0.0,9.1,75.0,1309.0,0.0,17.5,7209.0
Detroit Lions,47.0,572.0,0.0,12.2,61.0,1272.0,0.0,20.9,7263.0
Chicago Bears,32.0,220.0,0.0,6.9,73.0,1539.0,1.0,21.1,7324.0
Green Bay Packers,35.0,289.0,0.0,8.3,69.0,1239.0,0.0,18.0,7657.0
San Diego Chargers,38.0,272.0,0.0,7.2,64.0,1235.0,1.0,19.3,6750.0
Los Angeles Rams,35.0,332.0,0.0,9.5,67.0,1328.0,0.0,19.8,7940.0
Cleveland Browns,49.0,496.0,0.0,10.1,50.0,932.0,0.0,18.6,6704.0
New York Giants,46.0,582.0,1.0,12.7,51.0,926.0,0.0,18.2,6767.0
Minnesota Vikings,45.0,448.0,0.0,10.0,51.0,1122.0,1.0,22.0,7197.0
Pittsburgh Steelers,40.0,278.0,0.0,7.0,56.0,1304.0,1.0,23.3,6079.0
Kansas City Chiefs,44.0,331.0,0.0,7.5,52.0,915.0,0.0,17.6,6667.0
Seattle Seahawks,30.0,251.0,0.0,8.4,65.0,1246.0,1.0,19.2,6466.0
Tampa Bay Buccaneers,32.0,296.0,0.0,9.3,62.0,1055.0,0.0,17.0,6528.0
Miami Dolphins,33.0,338.0,1.0,10.2,61.0,1153.0,1.0,18.9,7122.0
Los Angeles Raiders,40.0,378.0,0.0,9.5,54.0,1002.0,0.0,18.6,6760.0
Houston Oilers,19.0,122.0,0.0,6.4,74.0,1285.0,0.0,17.4,7064.0
Cincinnati Bengals,36.0,209.0,0.0,5.8,54.0,941.0,0.0,17.4,7658.0
San Francisco 49ers,39.0,429.0,0.0,11.0,51.0,954.0,0.0,18.7,7934.0
Denver Broncos,45.0,344.0,0.0,7.6,43.0,876.0,0.0,20.4,6756.0
Indianapolis Colts,26.0,322.0,1.0,12.4,60.0,1164.0,0.0,19.4,6474.0
Buffalo Bills,33.0,301.0,0.0,9.1,53.0,1058.0,0.0,20.0,7467.0
Philadelphia Eagles,37.0,331.0,0.0,8.9,49.0,828.0,0.0,16.9,6983.0
Washington Redskins,26.0,226.0,0.0,8.7,58.0,1176.0,1.0,20.3,7794.0
Avg Team,37.2,338.6,0.2,9.1,61.6,1195.5,0.3,19.4,7075.2
