Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Washington Redskins,56.0,615.0,0.0,11.0,59.0,1139.0,0.0,19.3,7609.0
New York Giants,55.0,448.0,0.0,8.1,56.0,1128.0,0.0,20.1,6669.0
Atlanta Falcons,31.0,221.0,0.0,7.1,79.0,1700.0,1.0,21.5,6384.0
New York Jets,42.0,497.0,2.0,11.8,65.0,1221.0,0.0,18.8,6816.0
San Diego Chargers,45.0,508.0,1.0,11.3,62.0,1137.0,0.0,18.3,6559.0
St. Louis Cardinals,44.0,550.0,1.0,12.5,63.0,1317.0,0.0,20.9,7717.0
Chicago Bears,50.0,484.0,2.0,9.7,57.0,1193.0,1.0,20.9,7073.0
Minnesota Vikings,36.0,420.0,1.0,11.7,71.0,1421.0,0.0,20.0,7051.0
Detroit Lions,35.0,303.0,0.0,8.7,71.0,1428.0,0.0,20.1,6286.0
Dallas Cowboys,41.0,353.0,0.0,8.6,64.0,1295.0,0.0,20.2,7139.0
Houston Oilers,37.0,249.0,0.0,6.7,67.0,1225.0,0.0,18.3,6970.0
Los Angeles Raiders,44.0,356.0,1.0,8.1,60.0,1174.0,0.0,19.6,7149.0
Los Angeles Rams,40.0,245.0,0.0,6.1,63.0,1282.0,1.0,20.3,6421.0
Kansas City Chiefs,32.0,346.0,1.0,10.8,70.0,1437.0,2.0,20.5,6547.0
Cincinnati Bengals,34.0,293.0,0.0,8.6,67.0,1161.0,0.0,17.3,7052.0
Philadelphia Eagles,34.0,202.0,0.0,5.9,66.0,1112.0,0.0,16.8,7091.0
Seattle Seahawks,32.0,322.0,0.0,10.1,64.0,1236.0,0.0,19.3,6628.0
New Orleans Saints,41.0,468.0,0.0,11.4,55.0,1147.0,0.0,20.9,6844.0
Denver Broncos,48.0,486.0,1.0,10.1,46.0,952.0,0.0,20.7,7316.0
Green Bay Packers,35.0,245.0,0.0,7.0,59.0,1032.0,0.0,17.5,6053.0
Indianapolis Colts,38.0,210.0,0.0,5.5,55.0,1115.0,0.0,20.3,6554.0
Pittsburgh Steelers,36.0,244.0,0.0,6.8,56.0,1060.0,0.0,18.9,5992.0
Cleveland Browns,44.0,487.0,0.0,11.1,48.0,846.0,0.0,17.6,6749.0
Miami Dolphins,37.0,290.0,0.0,7.8,54.0,952.0,0.0,17.6,6968.0
San Francisco 49ers,34.0,365.0,1.0,10.7,55.0,1144.0,1.0,20.8,7764.0
Tampa Bay Buccaneers,31.0,257.0,0.0,8.3,56.0,1037.0,0.0,18.5,6097.0
Buffalo Bills,31.0,232.0,0.0,7.5,45.0,872.0,0.0,19.4,6247.0
New England Patriots,25.0,213.0,0.0,8.5,48.0,901.0,0.0,18.8,5849.0
Avg Team,38.9,353.9,0.4,9.1,60.0,1166.6,0.2,19.4,6771.2
