Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Detroit Lions,28.0,233.0,0.0,8.3,96.0,2050.0,0.0,21.4,7433.0
Chicago Bears,39.0,330.0,1.0,8.5,80.0,1999.0,1.0,25.0,7537.0
St. Louis Rams,37.0,395.0,0.0,10.7,76.0,1764.0,0.0,23.2,6910.0
Kansas City Chiefs,32.0,209.0,0.0,6.5,77.0,1666.0,1.0,21.6,6919.0
Houston Texans,45.0,449.0,0.0,10.0,64.0,1449.0,1.0,22.6,8249.0
Miami Dolphins,33.0,237.0,0.0,7.2,75.0,1739.0,2.0,23.2,7623.0
Cleveland Browns,39.0,456.0,1.0,11.7,69.0,1670.0,3.0,24.2,6449.0
New York Giants,36.0,393.0,1.0,10.9,71.0,1482.0,0.0,20.9,8031.0
Seattle Seahawks,46.0,346.0,0.0,7.5,60.0,1316.0,0.0,21.9,7114.0
Minnesota Vikings,48.0,455.0,0.0,9.5,56.0,1297.0,2.0,23.2,8117.0
Cincinnati Bengals,40.0,474.0,0.0,11.9,62.0,1356.0,1.0,21.9,7087.0
Oakland Raiders,36.0,177.0,0.0,4.9,66.0,1199.0,0.0,18.2,5953.0
Tampa Bay Buccaneers,40.0,462.0,1.0,11.6,62.0,1630.0,1.0,26.3,6898.0
Pittsburgh Steelers,36.0,290.0,0.0,8.1,66.0,1581.0,0.0,24.0,8242.0
Tennessee Titans,33.0,220.0,0.0,6.7,69.0,1417.0,0.0,20.5,7300.0
San Francisco 49ers,49.0,216.0,0.0,4.4,52.0,1135.0,0.0,21.8,6283.0
Denver Broncos,44.0,419.0,1.0,9.5,57.0,1217.0,1.0,21.4,7387.0
Arizona Cardinals,45.0,308.0,0.0,6.8,54.0,1284.0,1.0,23.8,7297.0
Baltimore Ravens,39.0,290.0,0.0,7.4,59.0,1547.0,1.0,26.2,7690.0
Washington Redskins,32.0,152.0,0.0,4.8,65.0,1413.0,0.0,21.7,6861.0
Buffalo Bills,33.0,218.0,0.0,6.6,64.0,1517.0,0.0,23.7,6402.0
New York Jets,50.0,457.0,0.0,9.1,44.0,1074.0,1.0,24.4,6969.0
Philadelphia Eagles,35.0,471.0,2.0,13.5,58.0,1191.0,0.0,20.5,7740.0
Jacksonville Jaguars,27.0,233.0,0.0,8.6,66.0,1492.0,0.0,22.6,7361.0
New England Patriots,38.0,432.0,0.0,11.4,54.0,1226.0,0.0,22.7,8119.0
New Orleans Saints,33.0,152.0,0.0,4.6,57.0,1393.0,1.0,24.4,8205.0
San Diego Chargers,26.0,183.0,1.0,7.0,63.0,1442.0,0.0,22.9,7638.0
Green Bay Packers,34.0,236.0,0.0,6.9,54.0,1193.0,0.0,22.1,7852.0
Dallas Cowboys,39.0,426.0,2.0,10.9,47.0,1032.0,0.0,22.0,8054.0
Carolina Panthers,34.0,282.0,0.0,8.3,51.0,1015.0,0.0,19.9,6869.0
Indianapolis Colts,29.0,151.0,0.0,5.2,55.0,1219.0,1.0,22.2,7295.0
Atlanta Falcons,27.0,270.0,0.0,10.0,55.0,1336.0,0.0,24.3,7249.0
Avg Team,36.9,313.2,0.3,8.5,62.6,1416.9,0.6,22.6,7347.9
