Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
St. Louis Cardinals,58.0,461.0,0.0,7.9,72.0,1459.0,0.0,20.3,7628.0
New York Giants,55.0,377.0,0.0,6.9,71.0,1333.0,0.0,18.8,7410.0
Dallas Cowboys,51.0,461.0,1.0,9.0,71.0,1351.0,0.0,19.0,8104.0
Green Bay Packers,41.0,329.0,1.0,8.0,79.0,1339.0,0.0,16.9,8235.0
Los Angeles Raiders,58.0,666.0,1.0,11.5,61.0,1175.0,0.0,19.3,8062.0
Chicago Bears,56.0,447.0,1.0,8.0,58.0,953.0,0.0,16.4,7633.0
Atlanta Falcons,46.0,489.0,1.0,10.6,67.0,1258.0,0.0,18.8,7896.0
Washington Redskins,49.0,387.0,0.0,7.9,63.0,1301.0,0.0,20.7,8137.0
Tampa Bay Buccaneers,42.0,299.0,0.0,7.1,68.0,1314.0,0.0,19.3,6525.0
Pittsburgh Steelers,51.0,421.0,0.0,8.3,59.0,1068.0,0.0,18.1,7034.0
Buffalo Bills,44.0,241.0,0.0,5.5,64.0,1363.0,0.0,21.3,6903.0
Philadelphia Eagles,45.0,259.0,0.0,5.8,62.0,1168.0,0.0,18.8,6405.0
Detroit Lions,46.0,522.0,1.0,11.3,61.0,1191.0,0.0,19.5,7208.0
San Diego Chargers,33.0,213.0,0.0,6.5,74.0,1377.0,0.0,18.6,8032.0
Los Angeles Rams,55.0,538.0,1.0,9.8,52.0,946.0,0.0,18.2,7163.0
Baltimore Colts,44.0,294.0,0.0,6.7,62.0,1198.0,0.0,19.3,6943.0
Cleveland Browns,42.0,310.0,0.0,7.4,63.0,1290.0,0.0,20.5,7474.0
Seattle Seahawks,34.0,366.0,1.0,10.8,71.0,1575.0,1.0,22.2,7494.0
New Orleans Saints,39.0,275.0,0.0,7.1,66.0,1339.0,0.0,20.3,6861.0
New York Jets,38.0,420.0,1.0,11.1,66.0,1375.0,0.0,20.8,7632.0
Houston Oilers,20.0,159.0,0.0,8.0,83.0,1676.0,2.0,20.2,7123.0
Cincinnati Bengals,49.0,410.0,0.0,8.4,54.0,1097.0,0.0,20.3,7180.0
Miami Dolphins,55.0,581.0,1.0,10.6,47.0,1085.0,0.0,23.1,7060.0
New England Patriots,44.0,399.0,0.0,9.1,57.0,1155.0,0.0,20.3,7229.0
Kansas City Chiefs,40.0,291.0,0.0,7.3,54.0,929.0,0.0,17.2,7272.0
Denver Broncos,38.0,420.0,1.0,11.1,56.0,1077.0,0.0,19.2,6825.0
Minnesota Vikings,24.0,210.0,0.0,8.8,68.0,1466.0,0.0,21.6,7110.0
San Francisco 49ers,36.0,365.0,1.0,10.1,52.0,958.0,0.0,18.4,7606.0
Avg Team,44.0,378.9,0.4,8.6,63.6,1243.4,0.1,19.5,7363.7
