Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
New York Jets,44.0,426.0,0.0,9.7,62.0,1633.0,1.0,26.3,7299.0
Cincinnati Bengals,53.0,610.0,1.0,11.5,45.0,1026.0,0.0,22.8,6985.0
Arizona Cardinals,46.0,696.0,4.0,15.1,52.0,1246.0,0.0,24.0,7521.0
Washington Redskins,37.0,328.0,0.0,8.9,56.0,1239.0,0.0,22.1,7234.0
Seattle Seahawks,42.0,464.0,0.0,11.0,46.0,1142.0,0.0,24.8,6833.0
Chicago Bears,30.0,470.0,2.0,15.7,57.0,1238.0,1.0,21.7,7096.0
Minnesota Vikings,33.0,277.0,0.0,8.4,53.0,1428.0,1.0,26.9,7312.0
Kansas City Chiefs,40.0,475.0,0.0,11.9,46.0,979.0,0.0,21.3,6628.0
Denver Broncos,47.0,596.0,2.0,12.7,39.0,956.0,0.0,24.5,6906.0
Cleveland Browns,38.0,423.0,1.0,11.1,48.0,1134.0,0.0,23.6,6387.0
Miami Dolphins,46.0,526.0,0.0,11.4,39.0,942.0,0.0,24.2,6845.0
New England Patriots,38.0,393.0,1.0,10.3,46.0,986.0,0.0,21.4,8393.0
San Francisco 49ers,44.0,544.0,1.0,12.4,39.0,1060.0,1.0,27.2,6856.0
St. Louis Rams,27.0,297.0,1.0,11.0,55.0,1280.0,0.0,23.3,6485.0
Jacksonville Jaguars,34.0,148.0,0.0,4.4,47.0,1055.0,0.0,22.4,5668.0
Houston Texans,51.0,529.0,1.0,10.4,29.0,730.0,0.0,25.2,7387.0
New York Giants,28.0,171.0,0.0,6.1,52.0,1209.0,0.0,23.3,7808.0
Tennessee Titans,47.0,490.0,1.0,10.4,32.0,832.0,1.0,26.0,6875.0
Baltimore Ravens,36.0,345.0,1.0,9.6,42.0,1047.0,0.0,24.9,7070.0
Oakland Raiders,32.0,264.0,0.0,8.3,43.0,1011.0,1.0,23.5,7503.0
Tampa Bay Buccaneers,29.0,231.0,0.0,8.0,46.0,1024.0,0.0,22.3,6539.0
Detroit Lions,38.0,301.0,0.0,7.9,37.0,887.0,0.0,24.0,7809.0
San Diego Chargers,31.0,264.0,0.0,8.5,43.0,1100.0,1.0,25.6,7928.0
Dallas Cowboys,41.0,293.0,0.0,7.1,33.0,768.0,0.0,23.3,7315.0
Carolina Panthers,32.0,176.0,0.0,5.5,39.0,926.0,1.0,23.7,7595.0
New Orleans Saints,29.0,294.0,1.0,10.1,42.0,1111.0,0.0,26.5,9052.0
Philadelphia Eagles,30.0,212.0,0.0,7.1,39.0,815.0,0.0,20.9,7721.0
Pittsburgh Steelers,33.0,347.0,1.0,10.5,35.0,877.0,0.0,25.1,7468.0
Green Bay Packers,27.0,295.0,1.0,10.9,41.0,1005.0,1.0,24.5,8051.0
Buffalo Bills,26.0,329.0,1.0,12.7,37.0,853.0,0.0,23.1,6953.0
Indianapolis Colts,32.0,108.0,0.0,3.4,31.0,578.0,0.0,18.6,5546.0
Atlanta Falcons,33.0,315.0,0.0,9.5,24.0,563.0,0.0,23.5,7181.0
Avg Team,36.7,363.7,0.6,9.9,43.0,1021.3,0.3,23.8,7195.3
