Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
San Diego Chargers,49.0,391.0,0.0,8.0,84.0,1804.0,0.0,21.5,7552.0
Atlanta Falcons,43.0,613.0,1.0,14.3,79.0,1572.0,0.0,19.9,6808.0
Houston Texans,40.0,266.0,0.0,6.7,80.0,1700.0,0.0,21.3,6489.0
Detroit Lions,47.0,576.0,2.0,12.3,70.0,1584.0,1.0,22.6,6744.0
Oakland Raiders,38.0,492.0,2.0,12.9,77.0,1596.0,1.0,20.7,6896.0
Pittsburgh Steelers,45.0,551.0,2.0,12.2,68.0,1405.0,0.0,20.7,6995.0
Chicago Bears,39.0,461.0,1.0,11.8,73.0,1738.0,2.0,23.8,6836.0
New Orleans Saints,40.0,360.0,0.0,9.0,72.0,1524.0,0.0,21.2,7533.0
Dallas Cowboys,51.0,390.0,0.0,7.6,60.0,1292.0,1.0,21.5,6999.0
New England Patriots,50.0,462.0,0.0,9.2,60.0,1428.0,1.0,23.8,7221.0
Baltimore Ravens,53.0,410.0,0.0,7.7,57.0,1222.0,0.0,21.4,6828.0
St. Louis Rams,39.0,337.0,0.0,8.6,70.0,1488.0,0.0,21.3,7758.0
Cleveland Browns,37.0,302.0,0.0,8.2,71.0,1501.0,0.0,21.1,6573.0
New York Giants,32.0,163.0,0.0,5.1,75.0,1492.0,0.0,19.9,6826.0
Minnesota Vikings,36.0,247.0,0.0,6.9,71.0,1428.0,0.0,20.1,8180.0
Carolina Panthers,45.0,453.0,1.0,10.1,60.0,1345.0,1.0,22.4,7106.0
Tennessee Titans,37.0,429.0,1.0,11.6,68.0,1299.0,0.0,19.1,7554.0
Arizona Cardinals,22.0,140.0,0.0,6.4,82.0,1881.0,1.0,22.9,6785.0
Buffalo Bills,41.0,248.0,0.0,6.0,63.0,1369.0,0.0,21.7,6363.0
Cincinnati Bengals,30.0,331.0,1.0,11.0,74.0,1474.0,0.0,19.9,7408.0
San Francisco 49ers,40.0,276.0,0.0,6.9,64.0,1327.0,1.0,20.7,7457.0
Jacksonville Jaguars,34.0,376.0,0.0,11.1,67.0,1316.0,0.0,19.6,7189.0
Green Bay Packers,35.0,277.0,0.0,7.9,64.0,1511.0,0.0,23.6,7716.0
Denver Broncos,39.0,442.0,2.0,11.3,59.0,1302.0,0.0,22.1,7509.0
Seattle Seahawks,34.0,320.0,1.0,9.4,64.0,1336.0,0.0,20.9,7647.0
Philadelphia Eagles,31.0,378.0,2.0,12.2,65.0,1387.0,0.0,21.3,7074.0
Indianapolis Colts,31.0,240.0,0.0,7.7,64.0,1510.0,0.0,23.6,7766.0
Kansas City Chiefs,33.0,542.0,2.0,16.4,62.0,1577.0,2.0,25.4,8167.0
New York Jets,30.0,332.0,0.0,11.1,60.0,1461.0,1.0,24.4,6943.0
Tampa Bay Buccaneers,35.0,242.0,0.0,6.9,55.0,1042.0,0.0,18.9,6944.0
Miami Dolphins,31.0,288.0,0.0,9.3,57.0,1202.0,0.0,21.1,6332.0
Washington Redskins,22.0,205.0,0.0,9.3,66.0,1482.0,1.0,22.5,6604.0
Avg Team,37.8,360.6,0.6,9.5,67.5,1456.1,0.4,21.6,7150.1
