Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Los Angeles Rams,49.0,341.0,0.0,7.0,47.0,1122.0,0.0,23.9,6028.0
Kansas City Chiefs,40.0,592.0,2.0,14.8,40.0,943.0,1.0,23.6,7197.0
Jacksonville Jaguars,40.0,220.0,0.0,5.5,37.0,881.0,1.0,23.8,6657.0
Cincinnati Bengals,38.0,246.0,0.0,6.5,39.0,1003.0,0.0,25.7,7224.0
New York Giants,45.0,275.0,0.0,6.1,31.0,739.0,0.0,23.8,6453.0
New England Patriots,45.0,309.0,0.0,6.9,29.0,542.0,0.0,18.7,7179.0
Miami Dolphins,36.0,328.0,1.0,9.1,36.0,879.0,1.0,24.4,6747.0
New York Jets,27.0,149.0,0.0,5.5,43.0,881.0,0.0,20.5,6477.0
Houston Texans,39.0,427.0,1.0,10.9,30.0,557.0,0.0,18.6,6261.0
Chicago Bears,27.0,215.0,1.0,8.0,42.0,897.0,0.0,21.4,6986.0
Minnesota Vikings,34.0,354.0,2.0,10.4,33.0,902.0,1.0,27.3,6580.0
Oakland Raiders,41.0,380.0,0.0,9.3,26.0,534.0,0.0,20.5,6973.0
Buffalo Bills,28.0,314.0,0.0,11.2,39.0,829.0,0.0,21.3,7023.0
Carolina Panthers,29.0,202.0,0.0,7.0,37.0,828.0,0.0,22.4,6806.0
Seattle Seahawks,30.0,249.0,0.0,8.3,35.0,808.0,0.0,23.1,7070.0
Cleveland Browns,30.0,200.0,0.0,6.7,34.0,634.0,0.0,18.6,6239.0
Tennessee Titans,30.0,236.0,0.0,7.9,33.0,629.0,0.0,19.1,6772.0
Arizona Cardinals,38.0,230.0,0.0,6.1,25.0,544.0,0.0,21.8,6931.0
San Francisco 49ers,23.0,216.0,0.0,9.4,38.0,749.0,0.0,19.7,6150.0
San Diego Chargers,32.0,212.0,0.0,6.6,28.0,508.0,0.0,18.1,6616.0
Baltimore Ravens,32.0,246.0,0.0,7.7,28.0,636.0,0.0,22.7,6688.0
Denver Broncos,37.0,316.0,0.0,8.5,21.0,481.0,0.0,22.9,6195.0
Green Bay Packers,26.0,235.0,0.0,9.0,32.0,631.0,0.0,19.7,7012.0
Washington Redskins,29.0,344.0,1.0,11.9,27.0,570.0,0.0,21.1,7558.0
Detroit Lions,20.0,246.0,2.0,12.3,35.0,793.0,0.0,22.7,6676.0
Philadelphia Eagles,19.0,246.0,0.0,12.9,35.0,956.0,2.0,27.3,6813.0
Indianapolis Colts,22.0,182.0,0.0,8.3,32.0,804.0,1.0,25.1,7105.0
Dallas Cowboys,28.0,198.0,0.0,7.1,24.0,492.0,0.0,20.5,6885.0
New Orleans Saints,23.0,221.0,0.0,9.6,28.0,462.0,0.0,16.5,7683.0
Pittsburgh Steelers,22.0,185.0,0.0,8.4,28.0,603.0,0.0,21.5,6925.0
Tampa Bay Buccaneers,29.0,266.0,0.0,9.2,21.0,307.0,0.0,14.6,6354.0
Atlanta Falcons,24.0,273.0,0.0,11.4,23.0,484.0,0.0,21.0,7645.0
Avg Team,31.6,270.4,0.3,8.6,32.4,707.1,0.2,21.8,6809.6
