Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Los Angeles Raiders,71.0,785.0,0.0,11.1,54.0,1132.0,0.0,21.0,7634.0
St. Louis Cardinals,40.0,393.0,0.0,9.8,78.0,1421.0,0.0,18.2,7368.0
Pittsburgh Steelers,49.0,483.0,2.0,9.9,65.0,1337.0,0.0,20.6,7408.0
Seattle Seahawks,53.0,483.0,0.0,9.1,58.0,1166.0,0.0,20.1,7211.0
Indianapolis Colts,42.0,449.0,1.0,10.7,67.0,1403.0,0.0,20.9,7183.0
Washington Redskins,47.0,508.0,0.0,10.8,60.0,1349.0,0.0,22.5,7620.0
Buffalo Bills,38.0,293.0,0.0,7.7,68.0,1334.0,0.0,19.6,6623.0
Detroit Lions,38.0,403.0,1.0,10.6,68.0,1494.0,0.0,22.0,6768.0
Tampa Bay Buccaneers,25.0,229.0,0.0,9.2,80.0,1622.0,0.0,20.3,6930.0
Green Bay Packers,38.0,370.0,0.0,9.7,67.0,1318.0,0.0,19.7,7460.0
New York Giants,53.0,442.0,0.0,8.3,50.0,866.0,0.0,17.3,7594.0
Atlanta Falcons,31.0,223.0,0.0,7.2,72.0,1406.0,1.0,19.5,7169.0
Dallas Cowboys,40.0,237.0,0.0,5.9,62.0,1210.0,0.0,19.5,7439.0
Kansas City Chiefs,43.0,381.0,0.0,8.9,59.0,1117.0,0.0,18.9,6692.0
New Orleans Saints,30.0,215.0,0.0,7.2,71.0,1547.0,0.0,21.8,6741.0
Philadelphia Eagles,45.0,393.0,0.0,8.7,56.0,1160.0,0.0,20.7,7256.0
Cleveland Browns,47.0,371.0,1.0,7.9,53.0,1217.0,0.0,23.0,6741.0
New England Patriots,42.0,530.0,2.0,12.6,57.0,1119.0,0.0,19.6,7497.0
Cincinnati Bengals,32.0,268.0,0.0,8.4,67.0,1385.0,0.0,20.7,7982.0
Denver Broncos,46.0,429.0,0.0,9.3,52.0,1203.0,0.0,23.1,7413.0
Chicago Bears,54.0,503.0,0.0,9.3,43.0,1089.0,2.0,25.3,7722.0
Houston Oilers,30.0,250.0,0.0,8.3,67.0,1515.0,0.0,22.6,6868.0
San Francisco 49ers,38.0,258.0,0.0,6.8,58.0,1269.0,1.0,21.9,7839.0
San Diego Chargers,25.0,213.0,0.0,8.5,71.0,1494.0,1.0,21.0,8551.0
Los Angeles Rams,38.0,501.0,1.0,13.2,56.0,1394.0,3.0,24.9,6843.0
Minnesota Vikings,25.0,250.0,0.0,10.0,68.0,1576.0,0.0,23.2,7346.0
New York Jets,39.0,386.0,0.0,9.9,53.0,1043.0,0.0,19.7,7784.0
Miami Dolphins,39.0,319.0,0.0,8.2,52.0,1177.0,0.0,22.6,7515.0
Avg Team,40.6,377.3,0.3,9.3,61.9,1298.7,0.3,21.0,7328.5
