Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Chicago Bears,46.0,321.0,0.0,7.0,79.0,1694.0,0.0,21.4,7248.0
San Diego Chargers,47.0,489.0,3.0,10.4,75.0,1613.0,1.0,21.5,7101.0
Buffalo Bills,39.0,346.0,0.0,8.9,78.0,1538.0,0.0,19.7,6856.0
New York Jets,59.0,674.0,1.0,11.4,54.0,1236.0,2.0,22.9,6995.0
Seattle Seahawks,37.0,248.0,0.0,6.7,76.0,1550.0,0.0,20.4,7842.0
Baltimore Ravens,42.0,564.0,2.0,13.4,71.0,1435.0,0.0,20.2,7501.0
Arizona Cardinals,41.0,461.0,0.0,11.2,70.0,1696.0,0.0,24.2,7364.0
Dallas Cowboys,47.0,512.0,1.0,10.9,63.0,1520.0,0.0,24.1,7151.0
Oakland Raiders,27.0,210.0,0.0,7.8,81.0,1699.0,0.0,21.0,7493.0
St. Louis Rams,40.0,274.0,0.0,6.9,68.0,1454.0,0.0,21.4,6893.0
Detroit Lions,48.0,433.0,0.0,9.0,59.0,1364.0,0.0,23.1,7914.0
New Orleans Saints,48.0,496.0,0.0,10.3,58.0,1374.0,1.0,23.7,6247.0
Green Bay Packers,56.0,515.0,0.0,9.2,49.0,1119.0,0.0,22.8,7458.0
Carolina Panthers,41.0,310.0,0.0,7.6,64.0,1500.0,0.0,23.4,6738.0
Atlanta Falcons,52.0,483.0,0.0,9.3,51.0,1198.0,2.0,23.5,6753.0
Tampa Bay Buccaneers,51.0,645.0,1.0,12.6,51.0,1075.0,0.0,21.1,6290.0
Cincinnati Bengals,26.0,201.0,0.0,7.7,74.0,1708.0,1.0,23.1,7496.0
Philadelphia Eagles,31.0,234.0,0.0,7.5,69.0,1520.0,1.0,22.0,7776.0
Minnesota Vikings,34.0,444.0,0.0,13.1,65.0,1414.0,0.0,21.8,7494.0
Pittsburgh Steelers,32.0,222.0,0.0,6.9,67.0,1493.0,1.0,22.3,7545.0
Indianapolis Colts,31.0,248.0,0.0,8.0,68.0,1442.0,0.0,21.2,7048.0
New England Patriots,45.0,467.0,0.0,10.4,53.0,1337.0,1.0,25.2,7086.0
New York Giants,47.0,455.0,1.0,9.7,51.0,963.0,0.0,18.9,6183.0
Washington Redskins,38.0,442.0,1.0,11.6,59.0,1283.0,1.0,21.7,6911.0
Denver Broncos,41.0,555.0,3.0,13.5,54.0,1203.0,0.0,22.3,7914.0
Miami Dolphins,32.0,335.0,0.0,10.5,63.0,1298.0,0.0,20.6,6918.0
Jacksonville Jaguars,36.0,412.0,0.0,11.4,58.0,1233.0,1.0,21.3,7306.0
San Francisco 49ers,41.0,482.0,1.0,11.8,50.0,1133.0,1.0,22.7,7086.0
Tennessee Oilers,32.0,244.0,0.0,7.6,58.0,1150.0,0.0,19.8,6651.0
Kansas City Chiefs,35.0,383.0,1.0,10.9,54.0,1345.0,1.0,24.9,7051.0
Avg Team,40.7,403.5,0.5,9.9,63.0,1386.2,0.5,22.0,7143.6
