Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Kansas City Chiefs,50.0,605.0,1.0,12.1,51.0,1430.0,1.0,28.0,7366.0
New York Jets,43.0,273.0,0.0,6.3,58.0,1342.0,0.0,23.1,7076.0
Cincinnati Bengals,40.0,436.0,0.0,10.9,45.0,1241.0,0.0,27.6,7370.0
Oakland Raiders,37.0,261.0,0.0,7.1,47.0,1027.0,0.0,21.9,5976.0
Indianapolis Colts,45.0,312.0,0.0,6.9,38.0,1065.0,0.0,28.0,8093.0
St. Louis Rams,37.0,482.0,2.0,13.0,45.0,1099.0,0.0,24.4,6915.0
Minnesota Vikings,27.0,297.0,0.0,11.0,54.0,1173.0,0.0,21.7,6819.0
San Francisco 49ers,35.0,227.0,0.0,6.5,45.0,1104.0,0.0,24.5,6943.0
Jacksonville Jaguars,37.0,264.0,0.0,7.1,43.0,1033.0,0.0,24.0,6424.0
Tennessee Titans,30.0,207.0,0.0,6.9,48.0,1121.0,0.0,23.4,6594.0
Chicago Bears,21.0,109.0,0.0,5.2,55.0,1290.0,1.0,23.5,6865.0
Seattle Seahawks,36.0,252.0,0.0,7.0,39.0,820.0,0.0,21.0,7306.0
New York Giants,29.0,224.0,0.0,7.7,44.0,1025.0,0.0,23.3,7324.0
Philadelphia Eagles,41.0,531.0,2.0,13.0,32.0,874.0,2.0,27.3,8049.0
Denver Broncos,41.0,296.0,0.0,7.2,32.0,802.0,0.0,25.1,7674.0
New England Patriots,41.0,431.0,1.0,10.5,31.0,693.0,0.0,22.4,7164.0
Baltimore Ravens,32.0,292.0,0.0,9.1,38.0,1077.0,1.0,28.3,7420.0
Buffalo Bills,37.0,354.0,1.0,9.6,33.0,770.0,1.0,23.3,6505.0
Atlanta Falcons,18.0,239.0,1.0,13.3,50.0,1174.0,0.0,23.5,7791.0
Carolina Panthers,30.0,239.0,1.0,8.0,37.0,805.0,0.0,21.8,6923.0
Pittsburgh Steelers,32.0,321.0,1.0,10.0,35.0,758.0,0.0,21.7,7811.0
Miami Dolphins,25.0,204.0,0.0,8.2,41.0,1082.0,0.0,26.4,7270.0
Washington Redskins,29.0,208.0,0.0,7.2,36.0,783.0,0.0,21.8,7159.0
Cleveland Browns,27.0,181.0,0.0,6.7,37.0,801.0,0.0,21.6,6410.0
Dallas Cowboys,30.0,275.0,0.0,9.2,33.0,790.0,0.0,23.9,7434.0
Tampa Bay Buccaneers,23.0,249.0,0.0,10.8,36.0,819.0,0.0,22.8,6051.0
Green Bay Packers,29.0,333.0,2.0,11.5,29.0,555.0,0.0,19.1,7287.0
Detroit Lions,32.0,284.0,0.0,8.9,25.0,612.0,0.0,24.5,6637.0
Houston Texans,34.0,208.0,0.0,6.1,20.0,422.0,0.0,21.1,6353.0
San Diego Chargers,23.0,203.0,0.0,8.8,26.0,577.0,0.0,22.2,6491.0
Arizona Cardinals,26.0,277.0,1.0,10.7,22.0,417.0,0.0,19.0,6015.0
New Orleans Saints,19.0,134.0,0.0,7.1,21.0,543.0,0.0,25.9,7425.0
Avg Team,32.4,287.8,0.4,8.9,38.3,910.1,0.2,23.8,7029.4
