Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Los Angeles Rams,39.0,345.0,2.0,8.8,63.0,1054.0,0.0,16.7,6472.0
New England Patriots,37.0,274.0,0.0,7.4,64.0,1376.0,1.0,21.5,5651.0
Philadelphia Eagles,47.0,555.0,1.0,11.8,48.0,987.0,0.0,20.6,7023.0
Atlanta Falcons,29.0,196.0,0.0,6.8,64.0,1532.0,2.0,23.9,6921.0
San Diego Chargers,44.0,359.0,0.0,8.2,45.0,812.0,0.0,18.0,6661.0
Green Bay Packers,35.0,315.0,1.0,9.0,54.0,1017.0,0.0,18.8,6442.0
Seattle Seahawks,38.0,283.0,0.0,7.4,50.0,885.0,0.0,17.7,5156.0
New Orleans Saints,45.0,231.0,0.0,5.1,42.0,815.0,0.0,19.4,6106.0
Cleveland Browns,44.0,429.0,1.0,9.8,43.0,880.0,0.0,20.5,6170.0
Denver Broncos,34.0,353.0,0.0,10.4,51.0,1028.0,0.0,20.2,6310.0
Washington Redskins,37.0,355.0,2.0,9.6,48.0,973.0,0.0,20.3,6482.0
Los Angeles Raiders,41.0,402.0,0.0,9.8,43.0,744.0,0.0,17.3,5925.0
Buffalo Bills,43.0,464.0,0.0,10.8,41.0,761.0,0.0,18.6,7347.0
Phoenix Cardinals,33.0,364.0,0.0,11.0,51.0,1127.0,0.0,22.1,6354.0
New York Jets,30.0,232.0,0.0,7.7,54.0,950.0,0.0,17.6,5912.0
Cincinnati Bengals,24.0,285.0,1.0,11.9,59.0,1058.0,0.0,17.9,5661.0
New York Giants,27.0,240.0,0.0,8.9,56.0,1098.0,1.0,19.6,6024.0
San Francisco 49ers,40.0,389.0,1.0,9.7,42.0,879.0,0.0,20.9,7673.0
Dallas Cowboys,44.0,550.0,2.0,12.5,37.0,699.0,0.0,18.9,7011.0
Pittsburgh Steelers,32.0,364.0,1.0,11.4,48.0,847.0,0.0,17.6,6499.0
Detroit Lions,21.0,190.0,1.0,9.0,59.0,1193.0,1.0,20.2,6185.0
Chicago Bears,23.0,176.0,0.0,7.7,56.0,1143.0,1.0,20.4,6566.0
Houston Oilers,33.0,194.0,0.0,5.9,46.0,885.0,0.0,19.2,6943.0
Minnesota Vikings,33.0,336.0,0.0,10.2,45.0,874.0,0.0,19.4,6487.0
Kansas City Chiefs,39.0,402.0,2.0,10.3,39.0,722.0,0.0,18.5,5788.0
Indianapolis Colts,25.0,275.0,2.0,11.0,51.0,1001.0,0.0,19.6,5930.0
Tampa Bay Buccaneers,26.0,160.0,0.0,6.2,50.0,881.0,0.0,17.6,6209.0
Miami Dolphins,31.0,191.0,0.0,6.2,44.0,838.0,0.0,19.0,6685.0
Avg Team,34.8,318.2,0.6,9.1,49.8,966.4,0.2,19.4,6378.3
